#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 635 (Div. 2),Apr/15/2020 17:35,2725,3,39,1539,Specialist
2,Codeforces Round 636 (Div. 3),Apr/21/2020 17:35,1990,3,18,1557,Specialist
3,"Codeforces Round 637 (Div. 2) - Thanks, Ivan Belonogov!",Apr/23/2020 17:45,3586,3,8,1565,Specialist
4,Educational Codeforces Round 86 (Rated for Div. 2),Apr/26/2020 17:35,8653,2,-72,1493,Specialist
5,Codeforces Round 638 (Div. 2),May/01/2020 17:35,570,4,173,1666,Expert
6,Codeforces Round 641 (Div. 2),May/12/2020 15:35,861,3,57,1723,Expert
7,Educational Codeforces Round 87 (Rated for Div. 2),May/17/2020 12:20,4971,3,-79,1644,Expert
8,Codeforces Round 645 (Div. 2),May/26/2020 17:35,5922,2,-63,1581,Specialist
9,Codeforces Round 648 (Div. 2),Jun/07/2020 17:35,2202,4,39,1620,Expert
10,Codeforces Round 652 (Div. 2),Jun/23/2020 17:05,2940,3,-9,1611,Expert
11,Codeforces Round 654 (Div. 2),Jul/01/2020 16:35,7805,2,-99,1512,Specialist
12,Codeforces Round 663 (Div. 2),Aug/09/2020 17:35,4176,3,-20,1492,Specialist
13,Codeforces Round 822 (Div. 2),Sep/23/2022 15:05,4664,2,-72,1420,Specialist
14,Codeforces Round 823 (Div. 2),Sep/25/2022 17:35,669,3,125,1545,Specialist
15,Codeforces Global Round 22,Sep/30/2022 17:35,2807,2,-7,1538,Specialist
16,Codeforces Round 824 (Div. 2),Oct/02/2022 17:35,41,5,262,1800,Expert
17,Codeforces Round 825 (Div. 2),Oct/10/2022 17:35,129,4,116,1916,Candidate Master
18,Educational Codeforces Round 137 (Rated for Div. 2),Oct/17/2022 17:35,45,5,137,2053,Candidate Master
19,Educational Codeforces Round 138 (Rated for Div. 2),Oct/20/2022 17:35,21,5,128,2181,Master
20,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,673,4,-22,2159,Master
