#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 810 (Div. 2),Jul/24/2022 17:35,953,3,605,605,Newbie
2,Codeforces Round 817 (Div. 4),Aug/30/2022 17:50,62,7,508,1113,Newbie
3,Codeforces Round 818 (Div. 2),Sep/02/2022 17:35,342,4,352,1465,Specialist
4,Educational Codeforces Round 135 (Rated for Div. 2),Sep/08/2022 17:35,47,5,329,1794,Expert
5,Codeforces Round 821 (Div. 2),Sep/19/2022 17:35,15,5,276,2070,Candidate Master
6,Codeforces Round 822 (Div. 2),Sep/23/2022 15:05,64,5,111,2181,Master
7,Codeforces Global Round 22,Sep/30/2022 17:35,2054,2,-122,2059,Candidate Master
8,Dytechlab Cup 2022,Oct/07/2022 17:35,1505,3,-79,1980,Candidate Master
9,Codeforces Global Round 23,Oct/15/2022 17:35,779,4,34,2014,Candidate Master
10,Codeforces Round 832 (Div. 2),Nov/04/2022 17:35,3696,3,-146,1868,Expert
11,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,407,4,107,1975,Candidate Master
12,Codeforces Round 833 (Div. 2),Nov/12/2022 17:35,180,4,43,2018,Candidate Master
13,Educational Codeforces Round 140 (Rated for Div. 2),Dec/16/2022 17:35,295,3,17,2035,Candidate Master
14,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,531,4,73,2108,Master
15,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",Jan/29/2023 17:35,836,4,-17,2091,Candidate Master
16,Codeforces Round 851 (Div. 2),Feb/09/2023 17:35,92,5,55,2146,Master
