#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 741 (Div. 2),Aug/26/2021 17:35,205,4,726,726,Newbie
2,Codeforces Round 742 (Div. 2),Sep/05/2021 17:35,911,3,406,1132,Newbie
3,Codeforces Round 754 (Div. 2),Nov/12/2021 17:35,228,4,372,1504,Specialist
4,Codeforces Round 771 (Div. 2),Feb/14/2022 17:35,319,4,223,1727,Expert
5,Codeforces Round 772 (Div. 2),Feb/20/2022 17:35,43,5,246,1973,Candidate Master
6,Educational Codeforces Round 123 (Rated for Div. 2),Feb/22/2022 17:35,798,4,3,1976,Candidate Master
7,Educational Codeforces Round 127 (Rated for Div. 2),Apr/22/2022 17:35,384,4,2,1978,Candidate Master
8,Codeforces Round 791 (Div. 2),May/14/2022 12:35,37,5,127,2105,Master
9,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,711,4,28,2133,Master
10,Hello 2023,Jan/03/2023 17:35,746,4,2,2135,Master
11,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,412,5,35,2170,Master
12,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",Jan/29/2023 17:35,636,4,-6,2164,Master
13,"Codeforces Round 850 (Div. 1, based on VK Cup 2022 - Final Round)",Feb/05/2023 15:05,613,2,-37,2127,Master
14,Codeforces Round 854 by cybercats (Div. 1 + Div. 2),Feb/27/2023 17:35,458,5,17,2144,Master
