#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 256 (Div. 2),Jul/17/2014 18:00,1388,1,-64,1436,Specialist
2,Codeforces Round 257 (Div. 2),Jul/19/2014 17:00,1000,2,-7,1429,Specialist
3,Codeforces Round 259 (Div. 2),Aug/01/2014 19:30,332,3,173,1602,Expert
4,Codeforces Round 260 (Div. 2),Aug/08/2014 19:30,706,2,-61,1541,Specialist
5,Codeforces Round 261 (Div. 2),Aug/15/2014 19:30,2118,1,-98,1443,Specialist
6,Codeforces Round 266 (Div. 2),Sep/12/2014 19:30,1404,1,-68,1375,Pupil
7,Codeforces Round 269 (Div. 2),Sep/26/2014 19:30,524,2,192,1567,Specialist
8,Codeforces Round 272 (Div. 2),Oct/12/2014 18:00,51,4,174,1741,Expert
9,Good Bye 2014,Dec/30/2014 18:00,863,3,126,1867,Expert
10,Codeforces Round 285 (Div. 1),Jan/12/2015 12:00,488,1,-71,1796,Expert
11,Looksery Cup 2015,Jun/06/2015 16:00,1603,1,-69,1727,Expert
12,Codeforces Round 309 (Div. 1),Jun/24/2015 19:30,237,2,136,1863,Expert
13,Codeforces Round 310 (Div. 1),Jun/27/2015 17:10,655,1,-46,1817,Expert
14,Codeforces Round 317 [AimFund Thanks-Round] (Div. 1),Aug/22/2015 19:30,296,1,68,1885,Expert
15,Codeforces Round 318 [RussianCodeCup Thanks-Round] (Div. 1),Aug/29/2015 19:30,526,2,-8,1877,Expert
16,Codeforces Round 319 (Div. 1),Sep/10/2015 19:30,323,2,76,1953,Candidate Master
17,Codeforces Round 320 (Div. 1) [Bayan Thanks-Round],Sep/16/2015 18:15,238,3,98,2051,Candidate Master
18,Codeforces Round 323 (Div. 1),Oct/03/2015 19:45,393,1,-42,2009,Candidate Master
19,Codeforces Round 327 (Div. 1),Oct/25/2015 12:00,273,1,-38,1971,Candidate Master
20,Codeforces Round 333 (Div. 1),Nov/24/2015 19:35,97,3,106,2077,Candidate Master
21,Codeforces Round 336 (Div. 1),Dec/23/2015 19:35,221,2,-1,2076,Candidate Master
22,Good Bye 2015,Dec/30/2015 18:05,318,4,27,2103,Master
23,Wunder Fund Round 2016 (Div. 1 + Div. 2 combined),Jan/29/2016 20:10,1147,2,-94,2009,Candidate Master
24,AIM Tech Round (Div. 1),Feb/04/2016 20:05,303,1,0,2009,Candidate Master
25,8VC Venture Cup 2016 - Elimination Round,Feb/13/2016 20:35,353,4,22,2031,Candidate Master
26,Codeforces Round 359 (Div. 1),Jun/23/2016 19:35,174,2,35,2066,Candidate Master
27,Codeforces Round 360 (Div. 1),Jun/29/2016 20:05,317,2,-26,2040,Candidate Master
28,Codeforces Round 364 (Div. 1),Jul/22/2016 19:35,237,2,-23,2017,Candidate Master
29,Canada Cup 2016,Oct/22/2016 18:05,106,4,117,2134,Master
30,"Codeforces Round 380 (Div. 1, Rated, Based on Technocup 2017 - Elimination Round 2)",Nov/20/2016 12:05,90,3,62,2196,Master
31,Codeforces Round 383 (Div. 1),Dec/06/2016 17:35,480,1,-103,2093,Candidate Master
32,Good Bye 2016,Dec/30/2016 17:15,255,4,61,2154,Master
33,Codeforces Round 395 (Div. 1),Feb/02/2017 16:35,61,3,118,2272,Master
34,Codeforces Round 402 (Div. 1),Feb/26/2017 11:05,107,2,6,2278,Master
35,Codeforces Round 407 (Div. 1),Mar/29/2017 19:05,54,3,81,2359,International Master
36,Tinkoff Challenge - Elimination Round,Apr/23/2017 19:45,145,3,-3,2356,International Master
37,Codeforces Round 411 (Div. 1),May/04/2017 17:50,94,3,23,2379,International Master
38,Codeforces Round 419 (Div. 1),Jun/17/2017 17:35,159,2,-19,2360,International Master
39,"Codeforces Round 433 (Div. 1, based on Olympiad of Metropolises)",Sep/06/2017 15:55,144,3,-25,2335,International Master
40,"Codeforces Round 454 (Div. 1, based on Technocup 2018 Elimination Round 4)",Dec/23/2017 17:05,275,1,-75,2260,Master
41,"Codeforces Round 470 (rated, Div. 1, based on VK Cup 2018 Round 1)",Mar/10/2018 18:35,259,3,-59,2201,Master
42,"Codeforces Round 492 (Div. 1) [Thanks, uDebug!]",Jun/24/2018 19:35,63,3,85,2286,Master
43,Codeforces Round 493 (Div. 1),Jul/01/2018 17:05,256,2,-56,2230,Master
44,Codeforces Round 499 (Div. 1),Jul/26/2018 18:05,80,4,68,2298,Master
45,"Codeforces Round 503 (by SIS, Div. 1)",Aug/11/2018 16:35,102,2,27,2325,International Master
46,"Codeforces Round 504 (rated, Div. 1 + Div. 2, based on VK Cup 2018 Final)",Aug/17/2018 17:35,423,4,-58,2267,Master
47,"Codeforces Round 505 (rated, Div. 1 + Div. 2, based on VK Cup 2018 Final)",Aug/19/2018 16:35,138,4,36,2303,International Master
48,"AIM Tech Round 5 (rated, Div. 1 + Div. 2)",Aug/27/2018 19:35,142,4,20,2323,International Master
49,"Manthan, Codefest 18 (rated, Div. 1 + Div. 2)",Sep/02/2018 17:35,22,6,136,2459,Grandmaster
50,"Codeforces Round 507 (Div. 1, based on Olympiad of Metropolises)",Sep/05/2018 19:35,51,3,7,2466,Grandmaster
51,Mail.Ru Cup 2018 Round 1,Oct/18/2018 19:35,160,4,-36,2430,Grandmaster
52,"Codeforces Round 518 (Div. 1) [Thanks, Mail.Ru!]",Oct/24/2018 19:35,103,2,-26,2404,Grandmaster
53,Codeforces Round 519 by Botan Investments,Oct/28/2018 18:35,48,6,87,2491,Grandmaster
54,Lyft Level 5 Challenge 2018 - Final Round (Open Div. 1),Nov/04/2018 21:10,14,5,88,2579,Grandmaster
55,Mail.Ru Cup 2018 Round 2,Nov/10/2018 17:35,235,3,-90,2489,Grandmaster
56,Mail.Ru Cup 2018 Round 3,Nov/25/2018 19:35,199,5,-57,2432,Grandmaster
57,Codeforces Round 526 (Div. 1),Dec/10/2018 19:35,92,2,-18,2414,Grandmaster
58,"Codeforces Round 528 (Div. 1, based on Technocup 2019 Elimination Round 4)",Dec/23/2018 16:35,177,3,-44,2370,International Master
59,Good Bye 2018,Dec/30/2018 17:35,65,6,101,2471,Grandmaster
60,Hello 2019,Jan/04/2019 17:45,62,5,67,2538,Grandmaster
61,Codeforces Global Round 1,Feb/07/2019 16:35,95,5,26,2564,Grandmaster
62,Codeforces Round 539 (Div. 1),Feb/16/2019 19:35,119,3,-56,2508,Grandmaster
63,Codeforces Round 542 [Alex Lopashev Thanks-Round] (Div. 1),Feb/24/2019 18:35,48,4,17,2525,Grandmaster
64,Codeforces Round 549 (Div. 1),Mar/30/2019 20:10,57,3,-2,2523,Grandmaster
65,Codeforces Global Round 2,Apr/06/2019 14:35,21,5,113,2636,International Grandmaster
66,Forethought Future Cup - Elimination Round,Apr/20/2019 21:05,98,5,-39,2597,Grandmaster
67,Codeforces Round 562 (Div. 1),May/26/2019 18:35,137,3,-67,2530,Grandmaster
68,Codeforces Global Round 3,Jun/01/2019 17:35,304,4,-69,2461,Grandmaster
69,Codeforces Round 573 (Div. 1),Jul/12/2019 17:35,38,4,74,2535,Grandmaster
70,Codeforces Global Round 4,Jul/20/2019 18:35,50,7,52,2587,Grandmaster
71,"Manthan, Codefest 19 (open for everyone, rated, Div. 1 + Div. 2)",Aug/25/2019 17:35,46,6,43,2630,International Grandmaster
72,"Codeforces Round 583 (Div. 1 + Div. 2, based on Olympiad of Metropolises)",Sep/04/2019 12:05,22,6,60,2690,International Grandmaster
73,Codeforces Round 586 (Div. 1 + Div. 2),Sep/18/2019 19:05,40,6,15,2705,International Grandmaster
74,Codeforces Global Round 5,Oct/16/2019 17:35,93,7,-9,2696,International Grandmaster
75,Codeforces Global Round 6,Dec/17/2019 18:05,49,5,30,2726,International Grandmaster
76,Good Bye 2019,Dec/29/2019 17:05,158,5,-45,2681,International Grandmaster
77,Hello 2020,Jan/04/2020 15:05,160,5,-30,2651,International Grandmaster
78,Codeforces Round 612 (Div. 1),Jan/05/2020 17:05,251,2,-83,2568,Grandmaster
79,Codeforces Round 621 (Div. 1 + Div. 2),Feb/17/2020 18:35,43,5,72,2640,International Grandmaster
80,"Ozon Tech Challenge 2020 (Div.1 + Div.2, Rated, T-shirts + prizes!)",Mar/03/2020 17:35,240,5,-49,2591,Grandmaster
81,"Codeforces Round 626 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/07/2020 12:35,400,2,-111,2480,Grandmaster
82,Codeforces Global Round 7,Mar/19/2020 17:35,46,7,113,2593,Grandmaster
83,Codeforces Round 641 (Div. 1),May/12/2020 15:35,75,3,42,2635,International Grandmaster
84,"Codeforces Round 647 (Div. 1) - Thanks, Algo Muse!",Jun/04/2020 17:35,377,2,-94,2541,Grandmaster
85,Codeforces Global Round 8,Jun/18/2020 17:45,1372,4,-131,2410,Grandmaster
86,Codeforces Global Round 9,Jul/04/2020 17:45,131,6,72,2482,Grandmaster
87,Codeforces Round 658 (Div. 1),Jul/21/2020 17:35,114,4,34,2516,Grandmaster
88,Codeforces Round 659 (Div. 1),Jul/24/2020 17:35,39,3,102,2618,International Grandmaster
89,Codeforces Global Round 10,Aug/16/2020 17:35,92,6,22,2640,International Grandmaster
90,Good Bye 2020,Dec/30/2020 17:35,111,7,27,2667,International Grandmaster
91,Codeforces Round 715 (Div. 1),Apr/16/2021 17:35,186,3,-55,2612,International Grandmaster
92,Contest 2050 and Codeforces Round 718 (Div. 1 + Div. 2),Apr/23/2021 17:35,180,5,-9,2603,International Grandmaster
93,Codeforces Global Round 14,May/02/2021 17:35,127,6,17,2620,International Grandmaster
94,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,149,4,4,2624,International Grandmaster
95,Codeforces LATOKEN Round 1 (Div. 1 + Div. 2),Jun/13/2021 18:35,71,6,49,2673,International Grandmaster
96,"Codeforces Round 733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))",Jul/17/2021 17:35,83,6,13,2686,International Grandmaster
97,"Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)",Jul/22/2021 17:35,134,6,-23,2663,International Grandmaster
98,"Deltix Round, Summer 2021 (open for everyone, rated, Div. 1 + Div. 2)",Aug/29/2021 17:35,331,5,-66,2597,Grandmaster
99,Codeforces Global Round 16,Sep/12/2021 17:35,341,6,-55,2542,Grandmaster
100,Codeforces Round 745 (Div. 1),Sep/30/2021 13:15,60,3,51,2593,Grandmaster
101,Codeforces Global Round 17,Nov/23/2021 17:35,84,5,43,2636,International Grandmaster
102,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Nov/28/2021 17:35,822,4,-144,2492,Grandmaster
103,Codeforces Round 758 (Div.1 + Div. 2),Dec/11/2021 13:05,140,4,4,2496,Grandmaster
104,Codeforces Global Round 18,Dec/24/2021 17:35,90,6,70,2566,Grandmaster
105,Good Bye 2021: 2022 is NEAR,Dec/29/2021 18:35,156,5,23,2589,Grandmaster
106,Codeforces Global Round 19,Feb/12/2022 17:35,160,6,4,2593,Grandmaster
107,Codeforces Global Round 22,Sep/30/2022 17:35,163,6,-5,2588,Grandmaster
