#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,"Codeforces Round 625 (Div. 2, based on Technocup 2020 Final Round)",Mar/01/2020 16:15,1622,3,16,1516,Specialist
2,Codeforces Round 632 (Div. 2),Apr/08/2020 17:35,7243,2,-53,1463,Specialist
3,Codeforces Global Round 10,Aug/16/2020 17:35,8683,2,-111,1352,Pupil
4,Educational Codeforces Round 98 (Rated for Div. 2),Nov/19/2020 17:35,6051,2,-63,1289,Pupil
5,Educational Codeforces Round 103 (Rated for Div. 2),Jan/29/2021 17:35,3690,2,53,1342,Pupil
6,Codeforces Round 699 (Div. 2),Feb/05/2021 17:35,2502,3,67,1409,Specialist
7,Codeforces Global Round 13,Feb/28/2021 16:35,2602,3,67,1476,Specialist
8,Codeforces Round 735 (Div. 2),Jul/29/2021 17:35,107,4,249,1725,Expert
9,Educational Codeforces Round 112 (Rated for Div. 2),Jul/30/2021 17:35,156,5,143,1868,Expert
10,Codeforces Round 737 (Div. 2),Aug/09/2021 17:35,2828,2,-80,1788,Expert
11,Codeforces Round 738 (Div. 2),Aug/15/2021 17:35,739,4,37,1825,Expert
12,Codeforces Round 741 (Div. 2),Aug/26/2021 17:35,822,4,8,1833,Expert
13,Codeforces Round 754 (Div. 2),Nov/12/2021 17:35,4514,2,-132,1701,Expert
14,"Codeforces Round 755 (Div. 2, based on Technocup 2022 Elimination Round 2)",Nov/14/2021 09:05,215,4,66,1767,Expert
15,Codeforces Global Round 17,Nov/23/2021 17:35,3356,2,-86,1681,Expert
16,Codeforces Round 757 (Div. 2),Nov/26/2021 14:15,941,3,21,1702,Expert
17,Codeforces Round 761 (Div. 2),Dec/16/2021 16:35,231,4,107,1809,Expert
18,Codeforces Round 763 (Div. 2),Dec/28/2021 16:35,291,3,65,1874,Expert
19,Hello 2022,Jan/03/2022 17:35,536,4,98,1972,Candidate Master
20,Codeforces Round 765 (Div. 2),Jan/12/2022 15:05,308,3,20,1992,Candidate Master
21,Codeforces Round 767 (Div. 1),Jan/22/2022 17:35,874,2,-69,1923,Candidate Master
22,Codeforces Round 768 (Div. 1),Jan/27/2022 17:35,762,2,-44,1879,Expert
23,Codeforces Round 770 (Div. 2),Feb/06/2022 17:35,195,4,86,1965,Candidate Master
24,Codeforces Global Round 19,Feb/12/2022 17:35,240,6,139,2104,Master
25,"Codeforces Round 775 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/06/2022 12:55,733,2,-79,2025,Candidate Master
26,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,1228,4,-22,2003,Candidate Master
27,Codeforces Round 782 (Div. 2),Apr/17/2022 17:35,331,4,6,2009,Candidate Master
28,Codeforces Global Round 20,Apr/23/2022 17:05,2464,3,-115,1894,Expert
29,Codeforces Round 822 (Div. 2),Sep/23/2022 15:05,140,5,85,1979,Candidate Master
30,Codeforces Round 823 (Div. 2),Sep/25/2022 17:35,1501,3,-78,1901,Candidate Master
31,Dytechlab Cup 2022,Oct/07/2022 17:35,735,3,35,1936,Candidate Master
32,Codeforces Global Round 23,Oct/15/2022 17:35,4116,2,-137,1799,Expert
33,Codeforces Round 829 (Div. 2),Oct/23/2022 10:50,13,6,207,2006,Candidate Master
34,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,78,6,204,2210,Master
35,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,280,5,49,2259,Master
