#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,"Codeforces Round 683 (Div. 2, by Meet IT)",Nov/15/2020 17:35,560,4,614,614,Newbie
2,Codeforces Round 684 (Div. 2),Nov/17/2020 17:35,4444,2,279,893,Newbie
3,Codeforces Round 728 (Div. 2),Jun/25/2021 18:35,1446,3,306,1199,Newbie
4,Codeforces Round 729 (Div. 2),Jul/03/2021 16:05,973,3,245,1444,Specialist
5,Educational Codeforces Round 111 (Rated for Div. 2),Jul/14/2021 17:35,1209,3,156,1600,Expert
6,"Codeforces Round 733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))",Jul/17/2021 17:35,2818,4,30,1630,Expert
7,"Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)",Jul/22/2021 17:35,616,5,138,1768,Expert
8,Codeforces Global Round 15,Jul/25/2021 17:35,638,5,106,1874,Expert
9,Codeforces Round 735 (Div. 2),Jul/29/2021 17:35,1496,2,-38,1836,Expert
10,Codeforces Round 736 (Div. 2),Aug/01/2021 17:35,3774,3,-104,1732,Expert
11,Codeforces Round 738 (Div. 2),Aug/15/2021 17:35,2345,4,-33,1699,Expert
12,Codeforces Round 742 (Div. 2),Sep/05/2021 17:35,346,4,101,1800,Expert
13,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,733,4,67,1867,Expert
14,Codeforces Round 751 (Div. 2),Oct/25/2021 09:35,107,4,59,1926,Candidate Master
15,Educational Codeforces Round 116 (Rated for Div. 2),Oct/29/2021 17:35,263,4,50,1976,Candidate Master
16,Codeforces Round 754 (Div. 2),Nov/12/2021 17:35,363,4,10,1986,Candidate Master
17,"Codeforces Round 755 (Div. 1, based on Technocup 2022 Elimination Round 2)",Nov/14/2021 09:05,473,2,-22,1964,Candidate Master
18,Educational Codeforces Round 117 (Rated for Div. 2),Nov/22/2021 12:35,129,5,50,2014,Candidate Master
19,Codeforces Global Round 17,Nov/23/2021 17:35,316,5,88,2102,Master
20,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Nov/28/2021 17:35,316,5,70,2172,Master
21,Codeforces Round 767 (Div. 1),Jan/22/2022 17:35,412,4,11,2183,Master
22,Codeforces Round 768 (Div. 1),Jan/27/2022 17:35,700,2,-74,2109,Master
23,Codeforces Global Round 19,Feb/12/2022 17:35,612,5,18,2127,Master
24,Codeforces Round 773 (Div. 1),Feb/23/2022 13:10,619,2,-37,2090,Candidate Master
25,Codeforces Round 774 (Div. 2),Mar/04/2022 18:35,277,4,-14,2076,Candidate Master
26,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,946,3,-30,2046,Candidate Master
27,Educational Codeforces Round 125 (Rated for Div. 2),Mar/22/2022 17:45,1283,3,-82,1964,Candidate Master
28,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,383,5,101,2065,Candidate Master
29,Codeforces Round 781 (Div. 2),Apr/08/2022 17:35,55,4,76,2141,Master
30,Codeforces Round 783 (Div. 1),Apr/19/2022 17:35,822,1,-100,2041,Candidate Master
31,Codeforces Global Round 20,Apr/23/2022 17:05,1745,4,-83,1958,Candidate Master
32,Codeforces Round 788 (Div. 2),May/06/2022 17:35,784,4,-40,1918,Candidate Master
33,Codeforces Round 789 (Div. 1),May/08/2022 17:35,785,0,-86,1832,Expert
34,Educational Codeforces Round 128 (Rated for Div. 2),May/13/2022 17:35,270,4,63,1895,Expert
35,Codeforces Round 792 (Div. 1 + Div. 2),May/19/2022 17:35,685,4,50,1945,Candidate Master
36,Codeforces Round 793 (Div. 2),May/22/2022 17:35,67,4,107,2052,Candidate Master
37,Educational Codeforces Round 129 (Rated for Div. 2),May/23/2022 17:35,191,4,26,2078,Candidate Master
38,Codeforces Round 807 (Div. 2),Jul/15/2022 16:35,243,4,6,2084,Candidate Master
39,Dytechlab Cup 2022,Oct/07/2022 17:35,482,4,30,2114,Master
