#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Beta Round 84 (Div. 2 Only),Aug/29/2011 20:00,235,3,57,1557,Specialist
2,Codeforces Beta Round 86 (Div. 2 Only),Sep/08/2011 19:00,606,1,-64,1493,Specialist
3,Codeforces Beta Round 87 (Div. 2 Only),Sep/15/2011 19:00,586,2,-46,1447,Specialist
4,Codeforces Round 101 (Div. 2),Jan/08/2012 19:00,863,1,-58,1389,Pupil
5,Codeforces Round 107 (Div. 2),Feb/17/2012 19:00,235,3,153,1542,Specialist
6,Codeforces Round 109 (Div. 2),Feb/24/2012 19:00,756,2,-66,1476,Specialist
7,Codeforces Round 110 (Div. 2),Feb/29/2012 21:30,665,2,-51,1425,Specialist
8,Codeforces Round 113 (Div. 2),Mar/23/2012 19:30,119,3,153,1578,Specialist
9,ABBYY Cup 2.0 - Easy,Apr/21/2012 18:00,550,4,-84,1494,Specialist
10,Codeforces Round 126 (Div. 2),Jun/24/2012 19:30,319,1,21,1515,Specialist
11,Codeforces Round 127 (Div. 2),Jun/29/2012 19:30,82,2,112,1627,Expert
12,Codeforces Round 128 (Div. 2),Jul/03/2012 19:30,496,2,-69,1558,Specialist
13,Codeforces Round 132 (Div. 2),Aug/06/2012 19:30,628,2,-64,1494,Specialist
14,Codeforces Round 136 (Div. 2),Aug/31/2012 19:30,94,3,150,1644,Expert
15,Codeforces Round 137 (Div. 2),Sep/10/2012 19:45,116,3,57,1701,Expert
16,Codeforces Round 138 (Div. 1),Sep/16/2012 19:30,333,0,-53,1648,Expert
17,Codeforces Round 139 (Div. 2),Sep/19/2012 19:45,158,3,28,1676,Expert
18,Codeforces Round 141 (Div. 2),Sep/27/2012 19:30,82,3,55,1731,Expert
19,Codeforces Round 144 (Div. 1),Oct/11/2012 19:30,302,0,-54,1677,Expert
20,Codeforces Round 146 (Div. 2),Oct/21/2012 11:10,45,3,66,1743,Expert
21,"Bayan 2012-2013 Elimination Round (ACM ICPC Rules, English statements)",Nov/01/2012 19:30,435,1,-60,1683,Expert
22,Codeforces Round 149 (Div. 2),Nov/11/2012 19:30,292,2,-51,1632,Expert
23,Codeforces Round 150 (Div. 2),Nov/16/2012 19:30,292,2,-23,1609,Expert
24,"CROC-MBTU 2012, Elimination Round (ACM-ICPC)",Nov/19/2012 19:30,60,5,87,1696,Expert
25,Codeforces Round 151 (Div. 2),Nov/21/2012 19:30,194,3,-32,1664,Expert
26,"CROC-MBTU 2012, Final Round (Online version, Div. 2)",Nov/26/2012 18:00,48,3,47,1711,Expert
27,Codeforces Round 153 (Div. 1),Dec/06/2012 19:30,320,1,-24,1687,Expert
28,Codeforces Round 155 (Div. 2),Dec/09/2012 14:00,106,3,15,1702,Expert
29,Codeforces Round 157 (Div. 1),Dec/22/2012 19:30,299,1,11,1713,Expert
30,Codeforces Round 160 (Div. 1),Jan/13/2013 19:30,367,1,-49,1664,Expert
31,Codeforces Round 170 (Div. 2),Feb/28/2013 19:30,12,3,106,1770,Expert
32,Codeforces Round 177 (Div. 1),Apr/02/2013 19:30,111,3,145,1915,Candidate Master
33,Codeforces Round 180 (Div. 1),Apr/19/2013 19:30,337,1,-53,1862,Expert
34,Codeforces Round 183 (Div. 1),May/12/2013 17:00,56,2,120,1982,Candidate Master
35,Codeforces Round 187 (Div. 1),Jun/07/2013 19:30,285,1,-57,1925,Candidate Master
36,ABBYY Cup 3.0,Jun/12/2013 17:00,294,6,8,1933,Candidate Master
37,Codeforces Round 188 (Div. 1),Jun/14/2013 19:30,83,1,124,2057,Candidate Master
38,Codeforces Round 189 (Div. 1),Jun/23/2013 17:00,291,1,-70,1987,Candidate Master
39,Codeforces Round 190 (Div. 1),Jun/28/2013 19:30,357,1,-74,1913,Candidate Master
40,Codeforces Round 194 (Div. 1),Jul/27/2013 12:30,181,2,39,1952,Candidate Master
41,Codeforces Round 198 (Div. 1),Aug/30/2013 19:30,337,2,-63,1889,Expert
42,Codeforces Round 201 (Div. 1),Sep/20/2013 19:30,186,1,50,1939,Candidate Master
43,Codeforces Round 202 (Div. 1),Sep/27/2013 19:30,112,2,79,2018,Candidate Master
44,Codeforces Round 204 (Div. 1),Oct/04/2013 19:30,286,1,-61,1957,Candidate Master
45,Codeforces Round 206 (Div. 1),Oct/13/2013 19:30,239,1,-7,1950,Candidate Master
46,Codeforces Round 210 (Div. 1),Nov/10/2013 21:00,200,1,-42,1908,Candidate Master
47,Codeforces Round 213 (Div. 1),Nov/19/2013 19:30,330,1,-52,1856,Expert
48,Codeforces Round 215 (Div. 1),Nov/26/2013 19:30,277,2,16,1872,Expert
49,Codeforces Round 219 (Div. 1),Dec/13/2013 18:00,391,1,-49,1823,Expert
50,Codeforces Round 221 (Div. 1),Dec/24/2013 18:00,447,0,-73,1750,Expert
51,Codeforces Round 222 (Div. 1),Dec/29/2013 19:30,259,2,66,1816,Expert
52,Good Bye 2013,Dec/30/2013 19:30,282,3,139,1955,Candidate Master
53,Codeforces Round 223 (Div. 1),Jan/12/2014 19:30,193,2,34,1989,Candidate Master
54,Codeforces Round 225 (Div. 1),Jan/20/2014 19:30,302,2,-51,1938,Candidate Master
55,Codeforces Round 228 (Div. 1),Feb/03/2014 19:40,364,2,-31,1907,Candidate Master
56,Codeforces Round 236 (Div. 1),Mar/16/2014 19:30,246,2,7,1914,Candidate Master
57,Codeforces Round 238 (Div. 1),Mar/22/2014 19:30,200,2,39,1953,Candidate Master
58,Codeforces Round 245 (Div. 1),May/11/2014 19:40,163,2,75,2028,Candidate Master
59,Codeforces Round 250 (Div. 1),Jun/01/2014 17:00,274,2,-45,1983,Candidate Master
60,Zepto Code Rush 2014,Jun/13/2014 19:30,555,2,-67,1916,Candidate Master
