#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 362 (Div. 2),Jul/14/2016 19:35,1182,2,4,1504,Specialist
2,Codeforces Round 363 (Div. 2),Jul/19/2016 16:05,967,3,36,1540,Specialist
3,Codeforces Round 553 (Div. 2),Apr/18/2019 18:35,1227,3,26,1566,Specialist
4,Codeforces Round 570 (Div. 3),Jun/26/2019 17:35,38,6,166,1732,Expert
5,Educational Codeforces Round 68 (Rated for Div. 2),Jul/14/2019 17:45,535,4,44,1776,Expert
6,Codeforces Global Round 4,Jul/20/2019 18:35,893,5,31,1807,Expert
7,Educational Codeforces Round 74 (Rated for Div. 2),Oct/08/2019 17:35,128,4,113,1920,Candidate Master
8,Codeforces Round 600 (Div. 2),Nov/16/2019 17:35,1100,3,-43,1877,Expert
9,Codeforces Round 601 (Div. 2),Nov/19/2019 17:35,32,5,128,2005,Candidate Master
10,Codeforces Global Round 14,May/02/2021 17:35,3856,3,-128,1877,Expert
11,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,515,3,98,1975,Candidate Master
12,Codeforces LATOKEN Round 1 (Div. 1 + Div. 2),Jun/13/2021 18:35,893,4,-1,1974,Candidate Master
13,Codeforces Round 729 (Div. 2),Jul/03/2021 16:05,32,5,158,2132,Master
14,Hello 2022,Jan/03/2022 17:35,1248,3,-47,2085,Candidate Master
15,Codeforces Round 765 (Div. 2),Jan/12/2022 15:05,229,3,7,2092,Candidate Master
16,Educational Codeforces Round 122 (Rated for Div. 2),Jan/31/2022 17:35,59,5,76,2168,Master
17,Codeforces Round 808 (Div. 1),Jul/16/2022 17:35,519,2,-30,2138,Master
18,Codeforces Global Round 23,Oct/15/2022 17:35,234,5,101,2239,Master
19,Codeforces Global Round 24,Nov/26/2022 17:05,215,5,52,2291,Master
20,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,246,5,67,2358,International Master
21,Hello 2023,Jan/03/2023 17:35,549,4,-27,2331,International Master
22,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",Jan/29/2023 17:35,136,6,84,2415,Grandmaster
