#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 494 (Div. 3),Jul/03/2018 17:35,662,3,24,1524,Specialist
2,Codeforces Round 495 (Div. 2),Jul/05/2018 19:35,136,3,174,1698,Expert
3,"Codeforces Round 504 (rated, Div. 1 + Div. 2, based on VK Cup 2018 Final)",Aug/17/2018 17:35,2153,2,-42,1656,Expert
4,"Codeforces Round 505 (rated, Div. 1 + Div. 2, based on VK Cup 2018 Final)",Aug/19/2018 16:35,1023,3,46,1702,Expert
5,Technocup 2019 - Elimination Round 2,Oct/21/2018 11:10,81,3,64,1766,Expert
6,Educational Codeforces Round 55 (Rated for Div. 2),Nov/28/2018 17:35,1963,1,-82,1684,Expert
7,Good Bye 2018,Dec/30/2018 17:35,6578,1,-130,1554,Specialist
8,Codeforces Round 531 (Div. 3),Jan/09/2019 17:35,10,6,228,1782,Expert
9,Educational Codeforces Round 58 (Rated for Div. 2),Jan/11/2019 17:35,1363,3,-37,1745,Expert
10,Codeforces Round 538 (Div. 2),Feb/10/2019 17:05,1430,2,-20,1725,Expert
11,Codeforces Round 539 (Div. 2),Feb/16/2019 19:35,531,3,19,1744,Expert
12,Educational Codeforces Round 60 (Rated for Div. 2),Feb/18/2019 18:40,1083,2,-13,1731,Expert
13,Technocup 2019 - Final,Mar/03/2019 11:30,235,2,-8,1723,Expert
14,Codeforces Round 548 (Div. 2),Mar/21/2019 18:35,324,3,69,1792,Expert
15,Codeforces Round 549 (Div. 2),Mar/30/2019 20:10,912,3,-40,1752,Expert
16,Codeforces Global Round 2,Apr/06/2019 14:35,1000,4,31,1783,Expert
17,Codeforces Round 553 (Div. 2),Apr/18/2019 18:35,2136,2,-82,1701,Expert
18,Codeforces Round 559 (Div. 2),May/12/2019 17:35,2,5,292,1993,Candidate Master
19,Educational Codeforces Round 65 (Rated for Div. 2),May/15/2019 17:35,1250,4,-88,1905,Candidate Master
20,Codeforces Round 561 (Div. 2),May/17/2019 18:05,398,3,6,1911,Candidate Master
21,Codeforces Round 562 (Div. 1),May/26/2019 18:35,79,3,183,2094,Candidate Master
22,Codeforces Global Round 3,Jun/01/2019 17:35,1588,2,-105,1989,Candidate Master
23,Codeforces Round 566 (Div. 2),Jun/11/2019 16:05,216,3,27,2016,Candidate Master
24,Codeforces Round 568 (Div. 2),Jun/19/2019 17:45,1142,4,-79,1937,Candidate Master
25,Codeforces Round 569 (Div. 1),Jun/21/2019 20:05,234,2,57,1994,Candidate Master
26,Educational Codeforces Round 67 (Rated for Div. 2),Jun/30/2019 17:45,257,4,11,2005,Candidate Master
27,Codeforces Round 572 (Div. 1),Jul/05/2019 18:05,146,2,97,2102,Master
28,Codeforces Global Round 4,Jul/20/2019 18:35,5130,0,-226,1876,Expert
29,Codeforces Round 576 (Div. 2),Jul/30/2019 17:35,7,5,203,2079,Candidate Master
30,Codeforces Round 580 (Div. 1),Aug/18/2019 16:45,386,2,-3,2076,Candidate Master
31,Codeforces Round 581 (Div. 2),Aug/20/2019 17:35,382,4,-9,2067,Candidate Master
32,Educational Codeforces Round 71 (Rated for Div. 2),Aug/22/2019 17:35,34,6,107,2174,Master
33,"Codeforces Round 584 - Dasha Code Championship - Elimination Round (rated, open for everyone, Div. 1 + Div. 2)",Sep/14/2019 16:05,610,6,-21,2153,Master
34,Codeforces Round 594 (Div. 1),Oct/20/2019 12:05,225,2,12,2165,Master
35,"Codeforces Round 596 (Div. 1, based on Technocup 2020 Elimination Round 2)",Oct/26/2019 14:05,180,3,36,2201,Master
36,Codeforces Round 604 (Div. 1),Dec/05/2019 17:35,543,2,-72,2129,Master
37,"Codeforces Round 606 (Div. 1, based on Technocup 2020 Elimination Round 4)",Dec/14/2019 14:05,570,1,-83,2046,Candidate Master
38,Codeforces Round 607 (Div. 1),Dec/15/2019 08:05,296,3,-20,2026,Candidate Master
39,Codeforces Round 608 (Div. 2),Dec/15/2019 12:15,515,3,-32,1994,Candidate Master
40,Codeforces Global Round 6,Dec/17/2019 18:05,5184,0,-204,1790,Expert
41,Codeforces Round 609 (Div. 2),Dec/21/2019 14:05,924,1,-24,1766,Expert
42,Codeforces Round 610 (Div. 2),Dec/24/2019 17:35,287,2,78,1844,Expert
43,Hello 2020,Jan/04/2020 15:05,1052,3,39,1883,Expert
44,Codeforces Round 612 (Div. 2),Jan/05/2020 17:05,1845,2,-82,1801,Expert
45,Codeforces Round 613 (Div. 2),Jan/10/2020 17:05,49,5,170,1971,Candidate Master
46,Educational Codeforces Round 80 (Rated for Div. 2),Jan/14/2020 17:35,41,5,120,2091,Candidate Master
47,Codeforces Round 618 (Div. 1),Feb/09/2020 17:05,94,3,154,2245,Master
48,Codeforces Round 621 (Div. 1 + Div. 2),Feb/17/2020 18:35,52,5,146,2391,International Master
49,Технокубок 2020 - Финал,Mar/01/2020 13:10,29,5,6,2397,International Master
50,"Ozon Tech Challenge 2020 (Div.1 + Div.2, Rated, T-shirts + prizes!)",Mar/03/2020 17:35,169,6,37,2434,Grandmaster
51,Codeforces Round 633 (Div. 1),Apr/12/2020 17:05,726,2,-91,2343,International Master
52,Codeforces Round 635 (Div. 1),Apr/15/2020 17:35,818,2,-79,2264,Master
53,Codeforces Round 641 (Div. 1),May/12/2020 15:35,436,3,-6,2258,Master
54,Codeforces Round 659 (Div. 1),Jul/24/2020 17:35,921,1,-83,2175,Master
55,Codeforces Round 664 (Div. 1),Aug/12/2020 17:35,897,0,-108,2067,Candidate Master
56,Educational Codeforces Round 93 (Rated for Div. 2),Aug/14/2020 17:35,36,5,127,2194,Master
57,Codeforces Global Round 10,Aug/16/2020 17:35,9038,1,-253,1941,Candidate Master
58,Codeforces Round 665 (Div. 2),Aug/21/2020 17:35,11199,0,-211,1730,Expert
59,Codeforces Round 669 (Div. 2),Sep/08/2020 17:35,316,4,123,1853,Expert
60,Codeforces Round 671 (Div. 2),Sep/19/2020 17:35,226,6,91,1944,Candidate Master
61,Codeforces Round 672 (Div. 2),Sep/24/2020 17:35,101,5,110,2054,Candidate Master
62,Codeforces Global Round 11,Oct/10/2020 17:50,97,5,189,2243,Master
63,"Codeforces Round 680 (Div. 1, based on Moscow Team Olympiad)",Nov/01/2020 14:05,456,2,-28,2215,Master
64,"Codeforces Round 681 (Div. 1, based on VK Cup 2019-2020 - Final)",Nov/02/2020 17:35,87,3,120,2335,International Master
65,Codeforces Round 684 (Div. 1),Nov/17/2020 17:35,245,3,9,2344,International Master
66,Technocup 2021 - Elimination Round 2,Nov/29/2020 10:05,9,5,31,2375,International Master
67,Codeforces Round 691 (Div. 1),Dec/19/2020 12:35,259,2,-21,2354,International Master
68,"Codeforces Round 692 (Div. 1, based on Technocup 2021 Elimination Round 3)",Dec/20/2020 18:05,154,3,34,2388,International Master
69,Good Bye 2020,Dec/30/2020 17:35,482,6,-14,2374,International Master
70,Codeforces Round 698 (Div. 1),Jan/28/2021 17:35,354,3,-42,2332,International Master
71,Codeforces Round 700 (Div. 1),Feb/07/2021 17:35,194,4,47,2379,International Master
72,Codeforces Global Round 13,Feb/28/2021 16:35,443,4,-9,2370,International Master
73,Codeforces Round 706 (Div. 1),Mar/10/2021 15:05,662,2,-73,2297,Master
74,Технокубок 2021 - Финал,Mar/21/2021 13:20,58,5,0,2297,Master
75,Codeforces Round 712 (Div. 1),Apr/03/2021 17:35,33,4,189,2486,Grandmaster
76,Codeforces LATOKEN Round 1 (Div. 1 + Div. 2),Jun/13/2021 18:35,468,4,-67,2419,Grandmaster
77,Codeforces Round 732 (Div. 1),Jul/11/2021 17:05,576,1,-85,2334,International Master
78,Codeforces Round 736 (Div. 1),Aug/01/2021 17:35,190,3,51,2385,International Master
79,Technocup 2022 - Elimination Round 1,Oct/17/2021 14:05,43,4,-50,2335,International Master
80,Codeforces Global Round 17,Nov/23/2021 17:35,138,5,71,2406,Grandmaster
