#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Grakn Forces 2020,Sep/30/2020 17:35,2932,2,539,539,Newbie
2,Codeforces Round 702 (Div. 3),Feb/16/2021 17:35,500,6,440,979,Newbie
3,Codeforces Round 719 (Div. 3),May/05/2021 17:35,68,7,422,1401,Specialist
4,Codeforces Round 723 (Div. 2),May/28/2021 17:05,2469,3,118,1519,Specialist
5,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,671,3,229,1748,Expert
6,Educational Codeforces Round 110 (Rated for Div. 2),Jun/04/2021 17:35,394,4,115,1863,Expert
7,Codeforces Round 724 (Div. 2),Jun/06/2021 17:35,822,3,-1,1862,Expert
8,Codeforces LATOKEN Round 1 (Div. 1 + Div. 2),Jun/13/2021 18:35,2151,3,-66,1796,Expert
9,Codeforces Round 726 (Div. 2),Jun/18/2021 17:35,256,5,100,1896,Expert
10,Codeforces Round 727 (Div. 2),Jun/20/2021 13:05,3545,2,-121,1775,Expert
11,Codeforces Round 729 (Div. 2),Jul/03/2021 16:05,333,3,86,1861,Expert
12,Codeforces Round 730 (Div. 2),Jul/07/2021 17:35,825,4,3,1864,Expert
13,"Codeforces Round 733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))",Jul/17/2021 17:35,2713,3,-68,1796,Expert
14,Codeforces Round 738 (Div. 2),Aug/15/2021 17:35,559,4,53,1849,Expert
15,Codeforces Round 741 (Div. 2),Aug/26/2021 17:35,4030,2,-114,1735,Expert
16,Codeforces Round 742 (Div. 2),Sep/05/2021 17:35,1007,3,19,1754,Expert
17,Educational Codeforces Round 113 (Rated for Div. 2),Sep/08/2021 17:35,1186,3,0,1754,Expert
18,Educational Codeforces Round 114 (Rated for Div. 2),Sep/20/2021 17:35,2468,3,-56,1698,Expert
19,Codeforces Round 746 (Div. 2),Oct/03/2021 17:35,154,2,147,1845,Expert
20,Codeforces Round 747 (Div. 2),Oct/08/2021 18:05,92,6,119,1964,Candidate Master
21,Codeforces Round 768 (Div. 1),Jan/27/2022 17:35,406,3,62,2026,Candidate Master
22,Codeforces Global Round 19,Feb/12/2022 17:35,5345,3,-171,1855,Expert
23,Codeforces Round 771 (Div. 2),Feb/14/2022 17:35,177,4,92,1947,Candidate Master
24,Codeforces Round 772 (Div. 2),Feb/20/2022 17:35,32,5,140,2087,Candidate Master
25,Codeforces Round 773 (Div. 1),Feb/23/2022 13:10,878,0,-98,1989,Candidate Master
26,Codeforces Round 774 (Div. 2),Mar/04/2022 18:35,42,5,111,2100,Master
27,"Codeforces Round 775 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/06/2022 12:55,576,2,-35,2065,Candidate Master
28,Educational Codeforces Round 124 (Rated for Div. 2),Mar/10/2022 17:35,543,4,-40,2025,Candidate Master
29,Codeforces Round 777 (Div. 2),Mar/11/2022 17:35,553,4,-26,1999,Candidate Master
30,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,803,3,6,2005,Candidate Master
31,Educational Codeforces Round 125 (Rated for Div. 2),Mar/22/2022 17:45,5728,3,-173,1832,Expert
32,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,1806,3,-13,1819,Expert
33,Codeforces Round 779 (Div. 2),Mar/27/2022 17:35,174,5,91,1910,Candidate Master
34,Codeforces Round 781 (Div. 2),Apr/08/2022 17:35,469,4,4,1914,Candidate Master
35,Educational Codeforces Round 126 (Rated for Div. 2),Apr/09/2022 17:35,43,5,139,2053,Candidate Master
36,Codeforces Round 785 (Div. 2),Apr/30/2022 17:35,31,5,120,2173,Master
37,Codeforces Global Round 23,Oct/15/2022 17:35,1185,3,-55,2118,Master
38,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,310,4,55,2173,Master
39,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,361,4,34,2207,Master
40,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,258,5,56,2263,Master
41,"Codeforces Round 850 (Div. 1, based on VK Cup 2022 - Final Round)",Feb/05/2023 15:05,109,4,114,2377,International Master
