#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 106 (Rated for Div. 2),Mar/18/2021 17:50,2308,3,539,539,Newbie
2,"Codeforces Round 709 (Div. 2, based on Technocup 2021 Final Round)",Mar/21/2021 16:20,1313,2,393,932,Newbie
3,Codeforces Round 710 (Div. 3),Mar/25/2021 17:35,813,5,295,1227,Pupil
4,CodeCraft-21 and Codeforces Round 711 (Div. 2),Mar/29/2021 17:35,1787,3,170,1397,Pupil
5,Codeforces Round 712 (Div. 2),Apr/03/2021 17:35,279,4,269,1666,Expert
6,Divide by Zero 2021 and Codeforces Round 714 (Div. 2),Apr/11/2021 17:35,1376,3,42,1708,Expert
7,Educational Codeforces Round 107 (Rated for Div. 2),Apr/12/2021 17:35,835,4,33,1741,Expert
8,Codeforces Round 715 (Div. 2),Apr/16/2021 17:35,308,4,70,1811,Expert
9,Codeforces Round 716 (Div. 2),Apr/19/2021 16:35,1063,3,-13,1798,Expert
10,Codeforces Round 717 (Div. 2),Apr/21/2021 16:35,505,3,49,1847,Expert
11,Contest 2050 and Codeforces Round 718 (Div. 1 + Div. 2),Apr/23/2021 17:35,1208,4,27,1874,Expert
12,Educational Codeforces Round 108 (Rated for Div. 2),Apr/29/2021 17:35,1163,4,-23,1851,Expert
13,Codeforces Global Round 14,May/02/2021 17:35,1600,4,0,1851,Expert
14,Codeforces Round 720 (Div. 2),May/07/2021 17:35,43,4,177,2028,Candidate Master
15,Educational Codeforces Round 109 (Rated for Div. 2),May/16/2021 11:00,380,3,-12,2016,Candidate Master
16,Codeforces Round 721 (Div. 2),May/20/2021 17:35,1300,3,-58,1958,Candidate Master
17,Codeforces Round 722 (Div. 1),May/24/2021 17:35,635,2,6,1964,Candidate Master
18,Codeforces Round 723 (Div. 2),May/28/2021 17:05,2056,3,-80,1884,Expert
19,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,760,3,58,1942,Candidate Master
20,Educational Codeforces Round 110 (Rated for Div. 2),Jun/04/2021 17:35,609,4,-1,1941,Candidate Master
21,Codeforces Round 724 (Div. 2),Jun/06/2021 17:35,248,4,49,1990,Candidate Master
22,Codeforces LATOKEN Round 1 (Div. 1 + Div. 2),Jun/13/2021 18:35,756,4,11,2001,Candidate Master
23,Codeforces Round 726 (Div. 2),Jun/18/2021 17:35,350,5,26,2027,Candidate Master
24,Codeforces Round 727 (Div. 2),Jun/20/2021 13:05,1078,4,-66,1961,Candidate Master
25,Codeforces Round 728 (Div. 1),Jun/25/2021 18:35,339,2,67,2028,Candidate Master
26,Codeforces Round 729 (Div. 2),Jul/03/2021 16:05,185,4,48,2076,Candidate Master
27,Codeforces Round 730 (Div. 2),Jul/07/2021 17:35,1808,3,-97,1979,Candidate Master
28,Codeforces Round 732 (Div. 1),Jul/11/2021 17:05,157,2,168,2147,Master
29,"Codeforces Round 733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))",Jul/17/2021 17:35,307,5,56,2203,Master
30,"Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)",Jul/22/2021 17:35,503,5,2,2205,Master
31,Codeforces Global Round 15,Jul/25/2021 17:35,700,5,-16,2189,Master
32,Codeforces Round 736 (Div. 1),Aug/01/2021 17:35,983,1,-100,2089,Candidate Master
33,Codeforces Round 737 (Div. 2),Aug/09/2021 17:35,1114,3,-67,2022,Candidate Master
34,"Codeforces Round 740 (Div. 1, based on VK Cup 2021 - Final (Engine))",Aug/24/2021 17:35,615,2,-10,2012,Candidate Master
35,Codeforces Round 741 (Div. 2),Aug/26/2021 17:35,712,4,-30,1982,Candidate Master
36,"Deltix Round, Summer 2021 (open for everyone, rated, Div. 1 + Div. 2)",Aug/29/2021 17:35,646,5,49,2031,Candidate Master
37,Codeforces Round 742 (Div. 2),Sep/05/2021 17:35,1508,3,-80,1951,Candidate Master
38,Educational Codeforces Round 113 (Rated for Div. 2),Sep/08/2021 17:35,212,4,52,2003,Candidate Master
39,Codeforces Global Round 16,Sep/12/2021 17:35,627,6,45,2048,Candidate Master
40,Educational Codeforces Round 114 (Rated for Div. 2),Sep/20/2021 17:35,614,3,-28,2020,Candidate Master
41,Codeforces Round 746 (Div. 2),Oct/03/2021 17:35,198,3,38,2058,Candidate Master
42,Codeforces Round 747 (Div. 2),Oct/08/2021 18:05,328,5,-11,2047,Candidate Master
43,Educational Codeforces Round 115 (Rated for Div. 2),Oct/10/2021 12:05,114,5,47,2094,Candidate Master
44,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,916,4,-31,2063,Candidate Master
45,Codeforces Round 754 (Div. 2),Nov/12/2021 17:35,30,5,119,2182,Master
46,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Nov/28/2021 17:35,1340,4,-93,2089,Candidate Master
47,Educational Codeforces Round 118 (Rated for Div. 2),Dec/01/2021 17:35,535,4,-38,2051,Candidate Master
48,Codeforces Round 758 (Div.1 + Div. 2),Dec/11/2021 13:05,682,3,-10,2041,Candidate Master
49,"Codeforces Round 759 (Div. 2, based on Technocup 2022 Elimination Round 3)",Dec/12/2021 18:15,139,4,31,2072,Candidate Master
50,Codeforces Round 761 (Div. 2),Dec/16/2021 16:35,119,4,39,2111,Master
51,Good Bye 2021: 2022 is NEAR,Dec/29/2021 18:35,3828,3,-151,1960,Candidate Master
52,Hello 2022,Jan/03/2022 17:35,573,4,69,2029,Candidate Master
53,Codeforces Round 766 (Div. 2),Jan/15/2022 17:35,277,4,14,2043,Candidate Master
54,Codeforces Round 768 (Div. 1),Jan/27/2022 17:35,350,3,56,2099,Candidate Master
55,Codeforces Round 770 (Div. 2),Feb/06/2022 17:35,313,4,0,2099,Candidate Master
56,Codeforces Round 773 (Div. 1),Feb/23/2022 13:10,395,2,29,2128,Master
57,"Codeforces Round 775 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/06/2022 12:55,428,3,0,2128,Master
58,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,3034,3,-164,1964,Candidate Master
59,Codeforces Round 781 (Div. 2),Apr/08/2022 17:35,166,4,47,2011,Candidate Master
60,Codeforces Round 782 (Div. 2),Apr/17/2022 17:35,218,4,27,2038,Candidate Master
61,Educational Codeforces Round 127 (Rated for Div. 2),Apr/22/2022 17:35,186,5,25,2063,Candidate Master
62,Codeforces Round 792 (Div. 1 + Div. 2),May/19/2022 17:35,387,5,58,2121,Master
63,Codeforces Round 794 (Div. 1),May/25/2022 20:35,179,2,60,2181,Master
64,Codeforces Round 800 (Div. 1),Jun/16/2022 17:35,552,2,-53,2128,Master
65,Codeforces Global Round 21,Jun/25/2022 17:35,673,5,6,2134,Master
66,Codeforces Round 808 (Div. 1),Jul/16/2022 17:35,461,2,-6,2128,Master
67,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,743,4,-1,2127,Master
68,Codeforces Global Round 22,Sep/30/2022 17:35,1003,4,-38,2089,Candidate Master
69,Dytechlab Cup 2022,Oct/07/2022 17:35,786,3,-19,2070,Candidate Master
70,Codeforces Round 825 (Div. 2),Oct/10/2022 17:35,98,4,53,2123,Master
71,Codeforces Global Round 23,Oct/15/2022 17:35,521,4,35,2158,Master
72,Codeforces Round 831 (Div. 1 + Div. 2),Oct/29/2022 12:10,201,5,58,2216,Master
