#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 748 (Div. 3),Oct/13/2021 17:35,415,5,615,615,Newbie
2,Codeforces Round 784 (Div. 4),Apr/21/2022 17:35,103,8,478,1093,Newbie
3,Codeforces Round 786 (Div. 3),May/02/2022 17:35,26,6,421,1514,Specialist
4,Codeforces Round 787 (Div. 3),May/05/2022 17:35,47,6,247,1761,Expert
5,Codeforces Round 804 (Div. 2),Jul/04/2022 17:35,2483,2,13,1774,Expert
6,Codeforces Round 809 (Div. 2),Jul/18/2022 17:35,416,4,101,1875,Expert
7,Codeforces Round 813 (Div. 2),Aug/13/2022 17:35,1343,3,-28,1847,Expert
8,Educational Codeforces Round 134 (Rated for Div. 2),Aug/27/2022 17:35,607,4,12,1859,Expert
9,Educational Codeforces Round 135 (Rated for Div. 2),Sep/08/2022 17:35,93,4,114,1973,Candidate Master
10,Educational Codeforces Round 138 (Rated for Div. 2),Oct/20/2022 17:35,186,4,44,2017,Candidate Master
11,Educational Codeforces Round 141 (Rated for Div. 2),Jan/08/2023 17:35,22,5,144,2161,Master
