#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 652 (Div. 2),Jun/23/2020 17:05,8208,2,446,446,Newbie
2,Educational Codeforces Round 90 (Rated for Div. 2),Jun/25/2020 17:35,5381,3,343,789,Newbie
3,Codeforces Round 653 (Div. 3),Jun/28/2020 17:35,1172,5,332,1121,Newbie
4,Codeforces Round 654 (Div. 2),Jul/01/2020 16:35,2255,4,220,1341,Pupil
5,Codeforces Global Round 9,Jul/04/2020 17:45,3622,3,131,1472,Specialist
6,Codeforces Round 656 (Div. 3),Jul/17/2020 17:35,4773,3,-9,1463,Specialist
7,Codeforces Round 657 (Div. 2),Jul/19/2020 12:00,2719,1,42,1505,Specialist
8,Codeforces Round 658 (Div. 2),Jul/21/2020 17:35,5896,3,-48,1457,Specialist
9,Codeforces Round 659 (Div. 2),Jul/24/2020 17:35,125,4,251,1708,Expert
10,Codeforces Round 660 (Div. 2),Jul/30/2020 17:35,8001,2,-121,1587,Specialist
11,Codeforces Round 661 (Div. 3),Aug/05/2020 17:35,1720,4,-7,1580,Specialist
12,Codeforces Round 662 (Div. 2),Aug/07/2020 17:35,1449,3,60,1640,Expert
13,Codeforces Round 663 (Div. 2),Aug/09/2020 17:35,2106,3,8,1648,Expert
14,Codeforces Round 664 (Div. 2),Aug/12/2020 17:35,4031,2,-50,1598,Specialist
15,Educational Codeforces Round 93 (Rated for Div. 2),Aug/14/2020 17:35,2511,3,8,1606,Expert
16,Codeforces Global Round 10,Aug/16/2020 17:35,1638,4,61,1667,Expert
17,Educational Codeforces Round 94 (Rated for Div. 2),Aug/25/2020 17:35,2156,3,1,1668,Expert
18,Codeforces Round 666 (Div. 2),Aug/30/2020 17:35,1738,3,1,1669,Expert
19,Codeforces Round 668 (Div. 2),Sep/06/2020 17:35,502,4,73,1742,Expert
20,Codeforces Round 669 (Div. 2),Sep/08/2020 17:35,1773,3,-2,1740,Expert
21,Codeforces Round 670 (Div. 2),Sep/12/2020 16:45,1911,3,-14,1726,Expert
22,Codeforces Round 671 (Div. 2),Sep/19/2020 17:35,4860,3,-100,1626,Expert
23,Codeforces Round 672 (Div. 2),Sep/24/2020 17:35,2996,3,-23,1603,Expert
24,Codeforces Round 678 (Div. 2),Oct/24/2020 17:05,423,4,113,1716,Expert
25,"Codeforces Round 679 (Div. 2, based on Technocup 2021 Elimination Round 1)",Oct/25/2020 14:05,752,3,3,1719,Expert
26,Codeforces Round 684 (Div. 2),Nov/17/2020 17:35,278,4,73,1792,Expert
27,Educational Codeforces Round 98 (Rated for Div. 2),Nov/19/2020 17:35,381,4,64,1856,Expert
28,Codeforces Round 685 (Div. 2),Nov/21/2020 17:35,821,4,11,1867,Expert
29,"Codeforces Round 687 (Div. 2, based on Technocup 2021 Elimination Round 2)",Nov/29/2020 10:05,709,3,-33,1834,Expert
30,Educational Codeforces Round 99 (Rated for Div. 2),Nov/30/2020 17:35,757,4,17,1851,Expert
31,Codeforces Round 688 (Div. 2),Dec/04/2020 16:05,1878,2,-60,1791,Expert
32,Codeforces Global Round 12,Dec/06/2020 17:35,1462,3,12,1803,Expert
33,Codeforces Round 694 (Div. 2),Jan/05/2021 17:35,1297,3,-16,1787,Expert
34,Codeforces Round 695 (Div. 2),Jan/08/2021 17:35,793,3,38,1825,Expert
35,Educational Codeforces Round 102 (Rated for Div. 2),Jan/14/2021 17:35,753,4,18,1843,Expert
36,Codeforces Round 696 (Div. 2),Jan/19/2021 17:35,246,4,85,1928,Candidate Master
37,Codeforces Round 724 (Div. 2),Jun/06/2021 17:35,780,3,-15,1913,Candidate Master
38,Codeforces Round 727 (Div. 2),Jun/20/2021 13:05,4763,2,-148,1765,Expert
39,Codeforces Round 730 (Div. 2),Jul/07/2021 17:35,814,4,29,1794,Expert
40,"Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)",Jul/22/2021 17:35,1146,4,34,1828,Expert
41,Codeforces Global Round 15,Jul/25/2021 17:35,927,4,55,1883,Expert
42,Codeforces Round 736 (Div. 2),Aug/01/2021 17:35,609,4,-4,1879,Expert
43,Codeforces Round 737 (Div. 2),Aug/09/2021 17:35,987,3,-9,1870,Expert
44,Codeforces Round 738 (Div. 2),Aug/15/2021 17:35,1732,4,-42,1828,Expert
45,Codeforces Round 745 (Div. 2),Sep/30/2021 13:15,284,3,35,1863,Expert
46,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,1127,4,5,1868,Expert
47,Codeforces Round 751 (Div. 2),Oct/25/2021 09:35,214,4,22,1890,Expert
48,Educational Codeforces Round 116 (Rated for Div. 2),Oct/29/2021 17:35,342,4,45,1935,Candidate Master
49,Codeforces Round 752 (Div. 1),Oct/30/2021 17:35,212,3,166,2101,Master
50,Codeforces Round 814 (Div. 1),Aug/16/2022 17:35,443,3,5,2106,Master
51,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,625,4,39,2145,Master
