#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 101 (Rated for Div. 2),Dec/28/2020 17:35,9524,1,411,411,Newbie
2,Good Bye 2020,Dec/30/2020 17:35,6729,3,340,751,Newbie
3,Codeforces Round 715 (Div. 2),Apr/16/2021 17:35,5110,2,292,1043,Newbie
4,Codeforces Round 738 (Div. 2),Aug/15/2021 17:35,1014,4,295,1338,Pupil
5,Codeforces Round 739 (Div. 3),Aug/18/2021 17:35,1279,4,124,1462,Specialist
6,Codeforces Round 741 (Div. 2),Aug/26/2021 17:35,1142,4,120,1582,Specialist
7,"Deltix Round, Summer 2021 (open for everyone, rated, Div. 1 + Div. 2)",Aug/29/2021 17:35,2397,3,15,1597,Specialist
8,Codeforces Round 742 (Div. 2),Sep/05/2021 17:35,487,4,109,1706,Expert
9,Educational Codeforces Round 114 (Rated for Div. 2),Sep/20/2021 17:35,390,4,93,1799,Expert
10,Codeforces Round 747 (Div. 2),Oct/08/2021 18:05,1043,5,-18,1781,Expert
11,Educational Codeforces Round 115 (Rated for Div. 2),Oct/10/2021 12:05,1060,4,-22,1759,Expert
12,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,957,4,49,1808,Expert
13,Codeforces Round 750 (Div. 2),Oct/24/2021 13:05,2377,3,-85,1723,Expert
14,Codeforces Round 752 (Div. 2),Oct/30/2021 17:35,50,4,160,1883,Expert
15,Codeforces Round 754 (Div. 2),Nov/12/2021 17:35,819,3,-16,1867,Expert
16,Educational Codeforces Round 117 (Rated for Div. 2),Nov/22/2021 12:35,477,4,-3,1864,Expert
17,Codeforces Global Round 17,Nov/23/2021 17:35,204,5,169,2033,Candidate Master
18,Educational Codeforces Round 119 (Rated for Div. 2),Dec/18/2021 18:35,140,5,39,2072,Candidate Master
19,Codeforces Global Round 18,Dec/24/2021 17:35,864,3,-11,2061,Candidate Master
20,Educational Codeforces Round 120 (Rated for Div. 2),Dec/27/2021 17:35,281,4,5,2066,Candidate Master
21,Codeforces Round 763 (Div. 2),Dec/28/2021 16:35,448,3,-28,2038,Candidate Master
22,Good Bye 2021: 2022 is NEAR,Dec/29/2021 18:35,5796,2,-178,1860,Expert
23,Codeforces Round 765 (Div. 2),Jan/12/2022 15:05,933,3,-19,1841,Expert
24,Codeforces Round 766 (Div. 2),Jan/15/2022 17:35,208,4,81,1922,Candidate Master
25,Codeforces Round 767 (Div. 1),Jan/22/2022 17:35,551,3,43,1965,Candidate Master
26,Codeforces Round 768 (Div. 1),Jan/27/2022 17:35,412,3,59,2024,Candidate Master
27,Codeforces Round 769 (Div. 2),Jan/30/2022 17:35,683,4,-22,2002,Candidate Master
28,Educational Codeforces Round 122 (Rated for Div. 2),Jan/31/2022 17:35,177,4,43,2045,Candidate Master
29,Codeforces Round 770 (Div. 2),Feb/06/2022 17:35,959,3,-49,1996,Candidate Master
30,Codeforces Global Round 19,Feb/12/2022 17:35,962,4,5,2001,Candidate Master
31,Educational Codeforces Round 123 (Rated for Div. 2),Feb/22/2022 17:35,476,5,-13,1988,Candidate Master
32,Codeforces Round 774 (Div. 2),Mar/04/2022 18:35,534,3,-24,1964,Candidate Master
33,Educational Codeforces Round 125 (Rated for Div. 2),Mar/22/2022 17:45,13,5,190,2154,Master
34,Codeforces Global Round 22,Sep/30/2022 17:35,643,4,-3,2151,Master
