#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 656 (Div. 3),Jul/17/2020 17:35,7196,2,444,444,Newbie
2,Educational Codeforces Round 92 (Rated for Div. 2),Jul/29/2020 17:35,8234,1,302,746,Newbie
3,Codeforces Round 660 (Div. 2),Jul/30/2020 17:35,10784,1,163,909,Newbie
4,Codeforces Round 661 (Div. 3),Aug/05/2020 17:35,4721,3,175,1084,Newbie
5,Codeforces Round 662 (Div. 2),Aug/07/2020 17:35,9678,1,42,1126,Newbie
6,Codeforces Round 663 (Div. 2),Aug/09/2020 17:35,7149,2,50,1176,Newbie
7,Codeforces Round 664 (Div. 2),Aug/12/2020 17:35,3002,2,107,1283,Pupil
8,Educational Codeforces Round 93 (Rated for Div. 2),Aug/14/2020 17:35,2560,3,97,1380,Pupil
9,Codeforces Global Round 10,Aug/16/2020 17:35,1662,4,124,1504,Specialist
10,Codeforces Round 665 (Div. 2),Aug/21/2020 17:35,2570,3,26,1530,Specialist
11,Educational Codeforces Round 94 (Rated for Div. 2),Aug/25/2020 17:35,2616,2,21,1551,Specialist
12,Codeforces Round 666 (Div. 2),Aug/30/2020 17:35,674,4,97,1648,Expert
13,Codeforces Round 668 (Div. 2),Sep/06/2020 17:35,3358,2,-51,1597,Specialist
14,Codeforces Round 669 (Div. 2),Sep/08/2020 17:35,1762,3,37,1634,Expert
15,Codeforces Round 670 (Div. 2),Sep/12/2020 16:45,2100,3,5,1639,Expert
16,Codeforces Round 671 (Div. 2),Sep/19/2020 17:35,1664,4,16,1655,Expert
17,Codeforces Round 673 (Div. 2),Sep/27/2020 18:05,602,3,41,1696,Expert
18,Grakn Forces 2020,Sep/30/2020 17:35,1775,3,23,1719,Expert
19,Codeforces Round 675 (Div. 2),Oct/04/2020 19:05,884,3,24,1743,Expert
20,Codeforces Global Round 11,Oct/10/2020 17:50,2755,2,-37,1706,Expert
21,Educational Codeforces Round 96 (Rated for Div. 2),Oct/11/2020 12:05,760,4,35,1741,Expert
22,Codeforces Raif Round 1 (Div. 1 + Div. 2),Oct/17/2020 16:05,2000,3,0,1741,Expert
23,Codeforces Round 676 (Div. 2),Oct/18/2020 12:05,2003,3,-41,1700,Expert
24,Codeforces Round 678 (Div. 2),Oct/24/2020 17:05,2351,2,-42,1658,Expert
25,"Codeforces Round 679 (Div. 2, based on Technocup 2021 Elimination Round 1)",Oct/25/2020 14:05,521,3,43,1701,Expert
26,Educational Codeforces Round 97 (Rated for Div. 2),Oct/27/2020 17:35,872,4,39,1740,Expert
27,"Codeforces Round 681 (Div. 2, based on VK Cup 2019-2020 - Final)",Nov/02/2020 17:35,284,4,61,1801,Expert
