#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Global Round 4,Jul/20/2019 18:35,4600,1,-97,1403,Specialist
2,Educational Codeforces Round 75 (Rated for Div. 2),Oct/24/2019 18:05,2986,2,-11,1392,Pupil
3,Technocup 2020 - Elimination Round 3,Nov/24/2019 11:05,533,2,15,1407,Specialist
4,Codeforces Global Round 6,Dec/17/2019 18:05,4233,2,-55,1352,Pupil
5,Educational Codeforces Round 80 (Rated for Div. 2),Jan/14/2020 17:35,6320,0,-117,1235,Pupil
6,Codeforces Round 614 (Div. 2),Jan/19/2020 16:35,2483,3,75,1310,Pupil
7,Educational Codeforces Round 81 (Rated for Div. 2),Jan/29/2020 17:35,4327,1,9,1319,Pupil
8,Codeforces Round 617 (Div. 3),Feb/04/2020 17:35,534,4,142,1461,Specialist
9,Codeforces Round 619 (Div. 2),Feb/13/2020 17:35,713,4,133,1594,Specialist
10,Codeforces Round 621 (Div. 1 + Div. 2),Feb/17/2020 18:35,2914,3,-21,1573,Specialist
11,"Codeforces Round 623 (Div. 2, based on VK Cup 2019-2020 - Elimination Round, Engine)",Feb/23/2020 19:05,828,3,15,1588,Specialist
12,Codeforces Round 624 (Div. 3),Feb/24/2020 17:35,217,4,83,1671,Expert
13,Educational Codeforces Round 83 (Rated for Div. 2),Mar/09/2020 17:35,1662,3,1,1672,Expert
14,Codeforces Round 628 (Div. 2),Mar/14/2020 17:35,1002,4,50,1722,Expert
15,Codeforces Round 630 (Div. 2),Mar/31/2020 16:35,1213,4,47,1769,Expert
16,"Codeforces Round 631 (Div. 2) - Thanks, Denis aramis Shitov!",Apr/03/2020 17:35,1487,3,-1,1768,Expert
17,Codeforces Round 632 (Div. 2),Apr/08/2020 17:35,601,4,79,1847,Expert
18,Educational Codeforces Round 85 (Rated for Div. 2),Apr/10/2020 17:35,1682,3,-5,1842,Expert
19,Codeforces Round 633 (Div. 2),Apr/12/2020 17:05,1733,3,-33,1809,Expert
20,Codeforces Round 635 (Div. 2),Apr/15/2020 17:35,734,4,34,1843,Expert
21,"Codeforces Round 637 (Div. 2) - Thanks, Ivan Belonogov!",Apr/23/2020 17:45,608,4,40,1883,Expert
22,Educational Codeforces Round 86 (Rated for Div. 2),Apr/26/2020 17:35,519,4,58,1941,Candidate Master
23,Codeforces Round 638 (Div. 2),May/01/2020 17:35,582,4,34,1975,Candidate Master
24,Codeforces Round 641 (Div. 1),May/12/2020 15:35,660,3,28,2003,Candidate Master
25,Codeforces Round 643 (Div. 2),May/16/2020 14:35,424,5,31,2034,Candidate Master
26,Educational Codeforces Round 87 (Rated for Div. 2),May/17/2020 12:20,354,5,18,2052,Candidate Master
27,Codeforces Round 645 (Div. 2),May/26/2020 17:35,2715,3,-92,1960,Candidate Master
28,Educational Codeforces Round 88 (Rated for Div. 2),May/28/2020 17:35,1839,3,-47,1913,Candidate Master
29,Codeforces Round 646 (Div. 2),May/31/2020 17:35,895,4,19,1932,Candidate Master
30,"Codeforces Round 647 (Div. 1) - Thanks, Algo Muse!",Jun/04/2020 17:35,732,2,11,1943,Candidate Master
31,Codeforces Round 652 (Div. 2),Jun/23/2020 17:05,257,4,64,2007,Candidate Master
32,Educational Codeforces Round 90 (Rated for Div. 2),Jun/25/2020 17:35,758,4,-17,1990,Candidate Master
33,Codeforces Global Round 9,Jul/04/2020 17:45,5752,2,-140,1850,Expert
34,Educational Codeforces Round 92 (Rated for Div. 2),Jul/29/2020 17:35,827,4,33,1883,Expert
35,Codeforces Round 660 (Div. 2),Jul/30/2020 17:35,355,4,66,1949,Candidate Master
36,Codeforces Round 672 (Div. 2),Sep/24/2020 17:35,257,5,58,2007,Candidate Master
37,"Codeforces Round 681 (Div. 1, based on VK Cup 2019-2020 - Final)",Nov/02/2020 17:35,771,1,-52,1955,Candidate Master
38,"Codeforces Round 683 (Div. 1, by Meet IT)",Nov/15/2020 17:35,822,2,-63,1892,Expert
39,Codeforces Round 684 (Div. 2),Nov/17/2020 17:35,612,3,-18,1874,Expert
40,Technocup 2021 - Elimination Round 2,Nov/29/2020 10:05,18,4,118,1992,Candidate Master
41,Educational Codeforces Round 99 (Rated for Div. 2),Nov/30/2020 17:35,360,4,20,2012,Candidate Master
42,Good Bye 2020,Dec/30/2020 17:35,827,6,40,2052,Candidate Master
43,Codeforces Round 694 (Div. 1),Jan/05/2021 17:35,253,3,91,2143,Master
44,Codeforces Round 698 (Div. 1),Jan/28/2021 17:35,256,3,49,2192,Master
45,Codeforces Global Round 13,Feb/28/2021 16:35,1676,3,-79,2113,Master
46,Технокубок 2021 - Финал,Mar/21/2021 13:20,134,4,-13,2100,Master
47,Codeforces Round 715 (Div. 1),Apr/16/2021 17:35,779,2,-69,2031,Candidate Master
48,Codeforces Round 728 (Div. 1),Jun/25/2021 18:35,284,2,65,2096,Candidate Master
49,Codeforces Round 732 (Div. 1),Jul/11/2021 17:05,228,2,92,2188,Master
50,Codeforces Global Round 16,Sep/12/2021 17:35,2981,4,-153,2035,Candidate Master
51,Technocup 2022 - Elimination Round 2,Nov/14/2021 09:05,16,4,64,2099,Candidate Master
52,Codeforces Round 770 (Div. 2),Feb/06/2022 17:35,70,4,80,2179,Master
53,Codeforces Round 794 (Div. 1),May/25/2022 20:35,299,2,-17,2162,Master
54,Codeforces Global Round 21,Jun/25/2022 17:35,1224,4,-59,2103,Master
55,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,355,5,69,2172,Master
56,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,193,5,85,2257,Master
57,Codeforces Global Round 24,Nov/26/2022 17:05,218,5,46,2303,International Master
58,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,965,4,-47,2256,Master
59,Hello 2023,Jan/03/2023 17:35,177,6,91,2347,International Master
60,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,260,5,19,2366,International Master
61,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",Jan/29/2023 17:35,274,5,19,2385,International Master
62,"Codeforces Round 850 (Div. 1, based on VK Cup 2022 - Final Round)",Feb/05/2023 15:05,582,2,-77,2308,International Master
63,Codeforces Round 854 by cybercats (Div. 1 + Div. 2),Feb/27/2023 17:35,554,4,-47,2261,Master
