#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 200 (Div. 2),Sep/14/2013 19:30,17,4,233,1733,Expert
2,Codeforces Round 206 (Div. 1),Oct/13/2013 19:30,523,0,-66,1667,Expert
3,Codeforces Round 208 (Div. 2),Oct/25/2013 19:30,410,2,-56,1611,Expert
4,Codeforces Round 210 (Div. 2),Nov/10/2013 21:00,126,2,63,1674,Expert
5,Codeforces Round 211 (Div. 2),Nov/11/2013 12:00,138,3,-4,1670,Expert
6,Codeforces Round 214 (Div. 2),Nov/24/2013 19:30,347,2,-56,1614,Expert
7,Codeforces Round 217 (Div. 2),Dec/07/2013 11:00,412,2,-63,1551,Specialist
8,Codeforces Round 218 (Div. 2),Dec/08/2013 13:00,309,2,15,1566,Specialist
9,Codeforces Round 221 (Div. 2),Dec/24/2013 18:00,333,2,16,1582,Specialist
10,Good Bye 2013,Dec/30/2013 19:30,846,3,86,1668,Expert
11,Codeforces Round 227 (Div. 2),Jan/30/2014 19:30,483,2,-67,1601,Expert
12,Codeforces Round 236 (Div. 2),Mar/16/2014 19:30,232,2,43,1644,Expert
13,Codeforces Round 240 (Div. 2),Apr/06/2014 19:40,471,2,-59,1585,Specialist
14,Codeforces Round 241 (Div. 2),Apr/13/2014 12:00,190,3,54,1639,Expert
15,RCC 2014 Warmup (Div. 2),Apr/17/2014 19:40,23,3,96,1735,Expert
16,Codeforces Round 243 (Div. 1),Apr/27/2014 19:30,414,1,-30,1705,Expert
17,Codeforces Round 245 (Div. 1),May/11/2014 19:40,378,2,36,1741,Expert
18,Codeforces Round 248 (Div. 1),May/24/2014 11:00,305,0,-53,1688,Expert
19,Codeforces Round 249 (Div. 2),May/30/2014 19:30,2,4,90,1778,Expert
20,Codeforces Round 250 (Div. 1),Jun/01/2014 17:00,427,1,-19,1759,Expert
21,Zepto Code Rush 2014,Jun/13/2014 19:30,1152,1,-86,1673,Expert
22,Codeforces Round 253 (Div. 2),Jun/19/2014 19:30,93,3,48,1721,Expert
23,Codeforces Round 254 (Div. 1),Jul/06/2014 17:05,422,0,-61,1660,Expert
24,Codeforces Round #FF (Div. 2),Jul/13/2014 17:00,30,3,102,1762,Expert
25,Codeforces Round 259 (Div. 1),Aug/01/2014 19:30,449,1,-16,1746,Expert
26,Codeforces Round 265 (Div. 1),Sep/07/2014 19:30,429,1,30,1776,Expert
27,Codeforces Round 272 (Div. 1),Oct/12/2014 18:00,531,1,-1,1775,Expert
28,Good Bye 2014,Dec/30/2014 18:00,318,4,273,2048,Candidate Master
29,Codeforces Round 286 (Div. 1),Jan/18/2015 16:00,382,0,-84,1964,Candidate Master
30,Codeforces Round 295 (Div. 1),Mar/02/2015 10:00,307,1,-34,1930,Candidate Master
31,"VK Cup 2015 - Round 2 (unofficial online mirror, Div. 1 only)",Apr/17/2015 19:00,251,1,-44,1886,Expert
32,Codeforces Round 300,Apr/26/2015 19:00,644,3,36,1922,Candidate Master
33,Looksery Cup 2015,Jun/06/2015 16:00,215,4,174,2096,Candidate Master
34,Codeforces Round 310 (Div. 1),Jun/27/2015 17:10,379,2,-46,2050,Candidate Master
35,"VK Cup 2015 - Finals, online mirror",Jul/30/2015 19:20,258,1,-60,1990,Candidate Master
36,Codeforces Round 317 [AimFund Thanks-Round] (Div. 1),Aug/22/2015 19:30,343,1,-23,1967,Candidate Master
37,Codeforces Round 323 (Div. 1),Oct/03/2015 19:45,323,1,-9,1958,Candidate Master
38,Codeforces Round 327 (Div. 1),Oct/25/2015 12:00,364,1,-83,1875,Expert
39,Codeforces Round 328 (Div. 2),Oct/31/2015 19:30,43,3,102,1977,Candidate Master
40,Codeforces Round 334 (Div. 1),Dec/01/2015 18:35,187,2,40,2017,Candidate Master
41,Codeforces Round 336 (Div. 1),Dec/23/2015 19:35,430,1,-87,1930,Candidate Master
42,Codeforces Round 339 (Div. 1),Jan/14/2016 19:35,365,0,-86,1844,Expert
43,Codeforces Round 340 (Div. 2),Jan/23/2016 18:35,359,3,-7,1837,Expert
44,AIM Tech Round (Div. 2),Feb/04/2016 20:05,596,2,-26,1811,Expert
45,Codeforces Round 342 (Div. 2),Feb/07/2016 12:05,123,3,57,1868,Expert
46,8VC Venture Cup 2016 - Elimination Round,Feb/13/2016 20:35,363,4,57,1925,Candidate Master
47,"Manthan, Codefest 16",Feb/26/2016 20:15,288,3,37,1962,Candidate Master
48,8VC Venture Cup 2016 - Final Round (Div. 1 Edition),Feb/28/2016 21:10,130,3,21,1983,Candidate Master
49,Codeforces Round 345 (Div. 1),Mar/07/2016 12:25,484,1,-85,1898,Expert
50,CROC 2016 - Elimination Round  (Rated Unofficial Edition),Mar/18/2016 19:35,14,6,216,2114,Master
51,VK Cup 2016 - Round 1 (Div.1 Edition),Mar/28/2016 19:35,265,0,-109,2005,Candidate Master
52,"Codeforces Round 348 (VK Cup 2016 Round 2, Div. 1 Edition)",Apr/24/2016 19:35,106,2,52,2057,Candidate Master
53,Codeforces Round 349 (Div. 1),Apr/29/2016 19:35,242,1,-33,2024,Candidate Master
54,"Codeforces Round 351 (VK Cup 2016 Round 3, Div. 1 Edition)",May/07/2016 18:05,328,1,-88,1936,Candidate Master
55,Codeforces Round 352 (Div. 1),May/11/2016 19:35,254,1,19,1955,Candidate Master
56,Codeforces Round 356 (Div. 1),Jun/08/2016 19:35,165,2,87,2042,Candidate Master
57,Codeforces Round 359 (Div. 1),Jun/23/2016 19:35,226,2,4,2046,Candidate Master
58,Codeforces Round 360 (Div. 1),Jun/29/2016 20:05,80,3,114,2160,Master
59,Codeforces Round 362 (Div. 1),Jul/14/2016 19:35,32,4,149,2309,International Master
60,Codeforces Round 363 (Div. 1),Jul/19/2016 16:05,433,2,-107,2202,Master
61,Codeforces Round 364 (Div. 1),Jul/22/2016 19:35,155,2,-14,2188,Master
62,AIM Tech Round 3 (Div. 1),Aug/24/2016 19:35,445,1,-83,2105,Master
63,Codeforces Round 371 (Div. 1),Sep/13/2016 19:35,139,2,55,2160,Master
64,"Intel Code Challenge Final Round (Div. 1 + Div. 2, Combined)",Oct/08/2016 15:15,479,3,-42,2118,Master
65,Canada Cup 2016,Oct/22/2016 18:05,42,4,154,2272,Master
66,Codeforces Round 381 (Div. 1),Nov/23/2016 19:35,172,2,-18,2254,Master
67,Codeforces Round 382 (Div. 1),Nov/27/2016 19:35,33,3,112,2366,International Master
68,Codeforces Round 385 (Div. 1),Dec/17/2016 19:35,244,2,-67,2299,Master
69,Good Bye 2016,Dec/30/2016 17:15,6,6,254,2553,Grandmaster
70,"Codecraft-17 and Codeforces Round 391 (Div. 1 + Div. 2, combined)",Jan/12/2017 18:35,350,3,-104,2449,Grandmaster
71,8VC Venture Cup 2017 - Elimination Round,Jan/15/2017 20:05,158,4,-9,2440,Grandmaster
72,8VC Venture Cup 2017 - Final Round,Jan/22/2017 21:15,78,3,-25,2415,Grandmaster
73,Codeforces Round 397 by Kaspersky Lab and Barcelona Bootcamp (Div. 1 + Div. 2 combined),Feb/14/2017 11:05,337,4,-79,2336,International Master
74,"Divide by Zero 2017 and Codeforces Round 399 (Div. 1 + Div. 2, combined)",Feb/20/2017 19:05,634,3,-96,2240,Master
75,"Codeforces Round 405 (rated, Div. 1, based on VK Cup 2017 Round 1)",Mar/18/2017 18:35,269,1,-70,2170,Master
76,Codeforces Round 406 (Div. 1),Mar/23/2017 18:05,49,3,117,2287,Master
77,Codeforces Round 407 (Div. 1),Mar/29/2017 19:05,144,2,-5,2282,Master
78,"Codeforces Round 409 (rated, Div. 1, based on VK Cup 2017 Round 2)",Apr/16/2017 18:35,44,3,68,2350,International Master
79,Tinkoff Challenge - Elimination Round,Apr/23/2017 19:45,175,3,-15,2335,International Master
80,"Tinkoff Challenge - Final Round (Codeforces Round 414, rated, Div. 1 + Div. 2)",May/13/2017 12:35,59,4,68,2403,Grandmaster
81,Codeforces Round 419 (Div. 1),Jun/17/2017 17:35,91,3,19,2422,Grandmaster
82,"Codeforces Round 423 (Div. 1, rated, based on VK Cup Finals)",Jul/11/2017 19:45,119,3,-31,2391,International Master
83,"Codeforces Round 424 (Div. 1, rated, based on VK Cup Finals)",Jul/13/2017 18:05,48,3,56,2447,Grandmaster
84,Codeforces Round 426 (Div. 1),Jul/30/2017 17:35,356,1,-122,2325,International Master
85,Codeforces Round 429 (Div. 1),Aug/18/2017 18:05,16,4,157,2482,Grandmaster
86,AIM Tech Round 4 (Div. 1),Aug/24/2017 19:35,118,2,-26,2456,Grandmaster
87,Codeforces Round 431 (Div. 1),Sep/01/2017 16:35,57,3,30,2486,Grandmaster
88,"Codeforces Round 432 (Div. 1, based on IndiaHacks Final Round 2017)",Sep/04/2017 17:35,8,4,146,2632,International Grandmaster
89,"Codeforces Round 433 (Div. 1, based on Olympiad of Metropolises)",Sep/06/2017 15:55,157,3,-96,2536,Grandmaster
90,"Manthan, Codefest 17",Sep/24/2017 17:35,120,4,-45,2491,Grandmaster
91,"Codeforces Round 440 (Div. 1, based on Technocup 2018 Elimination Round 2)",Oct/15/2017 11:05,158,2,-95,2396,International Master
92,Codeforces Round 449 (Div. 1),Dec/02/2017 17:05,23,3,45,2441,Grandmaster
93,Codeforces Round 453 (Div. 1),Dec/19/2017 18:35,96,2,-28,2413,Grandmaster
94,"Codeforces Round 454 (Div. 1, based on Technocup 2018 Elimination Round 4)",Dec/23/2017 17:05,9,4,167,2580,Grandmaster
95,Good Bye 2017,Dec/29/2017 18:40,28,6,69,2649,International Grandmaster
96,Hello 2018,Jan/08/2018 17:45,31,5,48,2697,International Grandmaster
97,"Codecraft-18 and Codeforces Round 458 (Div. 1 + Div. 2, combined)",Jan/20/2018 18:35,41,5,2,2699,International Grandmaster
98,Codeforces Round 459 (Div. 1),Jan/29/2018 17:35,31,3,-15,2684,International Grandmaster
99,Codeforces Round 462 (Div. 1),Feb/14/2018 15:05,322,1,-164,2520,Grandmaster
100,"ICM Technex 2018 and Codeforces Round 463 (Div. 1 + Div. 2, combined)",Feb/15/2018 17:35,21,6,84,2604,International Grandmaster
101,Codeforces Round 467 (Div. 1),Feb/25/2018 19:05,72,2,-38,2566,Grandmaster
102,"Codeforces Round 468 (Div. 1, based on Technocup 2018 Final Round)",Mar/04/2018 18:35,122,3,-69,2497,Grandmaster
103,Codeforces Round 469 (Div. 1),Mar/09/2018 11:10,64,4,-4,2493,Grandmaster
104,"Codeforces Round 470 (rated, Div. 1, based on VK Cup 2018 Round 1)",Mar/10/2018 18:35,66,3,8,2501,Grandmaster
105,"Codeforces Round 472 (rated, Div. 1, based on VK Cup 2018 Round 2)",Mar/24/2018 18:35,48,4,10,2511,Grandmaster
106,"Codeforces Round 483 (Div. 1) [Thanks, Botan Investments and Victor Shaburov!]",May/15/2018 17:45,23,3,81,2592,Grandmaster
107,Codeforces Round 497 (Div. 1),Jul/13/2018 17:35,26,2,50,2642,International Grandmaster
108,"AIM Tech Round 5 (rated, Div. 1 + Div. 2)",Aug/27/2018 19:35,862,3,-195,2447,Grandmaster
109,Good Bye 2018,Dec/30/2018 17:35,33,6,126,2573,Grandmaster
110,Hello 2019,Jan/04/2019 17:45,151,5,-19,2554,Grandmaster
111,Codeforces Round 530 (Div. 1),Jan/05/2019 19:35,176,2,-65,2489,Grandmaster
112,Codeforces Round 545 (Div. 1),Mar/08/2019 12:05,41,3,41,2530,Grandmaster
113,Codeforces Global Round 2,Apr/06/2019 14:35,879,4,-143,2387,International Master
114,Forethought Future Cup - Elimination Round,Apr/20/2019 21:05,27,7,120,2507,Grandmaster
115,Codeforces Round 559 (Div. 1),May/12/2019 17:35,61,3,11,2518,Grandmaster
116,Codeforces Round 572 (Div. 1),Jul/05/2019 18:05,188,2,-65,2453,Grandmaster
117,Codeforces Round 576 (Div. 1),Jul/30/2019 17:35,80,4,26,2479,Grandmaster
118,Codeforces Round 580 (Div. 1),Aug/18/2019 16:45,85,3,17,2496,Grandmaster
119,"Codeforces Round 584 - Dasha Code Championship - Elimination Round (rated, open for everyone, Div. 1 + Div. 2)",Sep/14/2019 16:05,93,7,30,2526,Grandmaster
120,Codeforces Round 594 (Div. 1),Oct/20/2019 12:05,120,2,-26,2500,Grandmaster
121,Hello 2020,Jan/04/2020 15:05,44,5,103,2603,International Grandmaster
122,Codeforces Round 612 (Div. 1),Jan/05/2020 17:05,273,2,-78,2525,Grandmaster
123,"Codeforces Round 623 (Div. 1, based on VK Cup 2019-2020 - Elimination Round, Engine)",Feb/23/2020 19:05,237,1,-85,2440,Grandmaster
124,"Codeforces Round 625 (Div. 1, based on Technocup 2020 Final Round)",Mar/01/2020 16:15,22,4,154,2594,Grandmaster
125,Codeforces Global Round 7,Mar/19/2020 17:35,1247,5,-145,2449,Grandmaster
126,Codeforces Round 633 (Div. 1),Apr/12/2020 17:05,35,4,128,2577,Grandmaster
127,Codeforces Round 635 (Div. 1),Apr/15/2020 17:35,321,3,-54,2523,Grandmaster
128,Codeforces Round 641 (Div. 1),May/12/2020 15:35,1010,1,-138,2385,International Master
129,"Codeforces Round 647 (Div. 1) - Thanks, Algo Muse!",Jun/04/2020 17:35,56,3,108,2493,Grandmaster
130,Codeforces Round 666 (Div. 1),Aug/30/2020 17:35,142,3,22,2515,Grandmaster
131,Codeforces Round 668 (Div. 1),Sep/06/2020 17:35,209,3,-21,2494,Grandmaster
132,Codeforces Round 673 (Div. 1),Sep/27/2020 18:05,123,3,17,2511,Grandmaster
133,Codeforces Global Round 11,Oct/10/2020 17:50,53,5,103,2614,International Grandmaster
134,Codeforces Raif Round 1 (Div. 1 + Div. 2),Oct/17/2020 16:05,98,6,25,2639,International Grandmaster
135,"Codeforces Round 679 (Div. 1, based on Technocup 2021 Elimination Round 1)",Oct/25/2020 14:05,450,2,-122,2517,Grandmaster
136,"Codeforces Round 680 (Div. 1, based on Moscow Team Olympiad)",Nov/01/2020 14:05,16,4,152,2669,International Grandmaster
137,"Codeforces Round 681 (Div. 1, based on VK Cup 2019-2020 - Final)",Nov/02/2020 17:35,18,4,95,2764,International Grandmaster
138,"Codeforces Round 683 (Div. 1, by Meet IT)",Nov/15/2020 17:35,113,4,-39,2725,International Grandmaster
139,Codeforces Round 684 (Div. 1),Nov/17/2020 17:35,104,3,-21,2704,International Grandmaster
140,"Codeforces Round 687 (Div. 1, based on Technocup 2021 Elimination Round 2)",Nov/29/2020 10:05,522,2,-146,2558,Grandmaster
141,Codeforces Global Round 12,Dec/06/2020 17:35,129,6,23,2581,Grandmaster
142,Codeforces Round 691 (Div. 1),Dec/19/2020 12:35,155,2,-28,2553,Grandmaster
143,"Codeforces Round 692 (Div. 1, based on Technocup 2021 Elimination Round 3)",Dec/20/2020 18:05,42,4,83,2636,International Grandmaster
144,Good Bye 2020,Dec/30/2020 17:35,191,6,-9,2627,International Grandmaster
145,Codeforces Round 694 (Div. 1),Jan/05/2021 17:35,42,4,66,2693,International Grandmaster
146,Codeforces Round 700 (Div. 1),Feb/07/2021 17:35,307,2,-80,2613,International Grandmaster
147,Codeforces Global Round 13,Feb/28/2021 16:35,55,6,81,2694,International Grandmaster
148,"Codeforces Round 707 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/13/2021 12:05,409,1,-135,2559,Grandmaster
149,"Codeforces Round 709 (Div. 1, based on Technocup 2021 Final Round)",Mar/21/2021 16:20,122,4,8,2567,Grandmaster
150,Codeforces Round 712 (Div. 1),Apr/03/2021 17:35,84,4,41,2608,International Grandmaster
151,Codeforces Round 715 (Div. 1),Apr/16/2021 17:35,133,3,-15,2593,Grandmaster
152,Contest 2050 and Codeforces Round 718 (Div. 1 + Div. 2),Apr/23/2021 17:35,154,5,7,2600,International Grandmaster
153,Codeforces Round 722 (Div. 1),May/24/2021 17:35,25,5,129,2729,International Grandmaster
154,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,150,4,-23,2706,International Grandmaster
155,Codeforces LATOKEN Round 1 (Div. 1 + Div. 2),Jun/13/2021 18:35,62,7,38,2744,International Grandmaster
156,Codeforces Round 728 (Div. 1),Jun/25/2021 18:35,110,2,-42,2702,International Grandmaster
157,Codeforces Round 736 (Div. 1),Aug/01/2021 17:35,80,4,24,2726,International Grandmaster
158,"Codeforces Round 740 (Div. 1, based on VK Cup 2021 - Final (Engine))",Aug/24/2021 17:35,19,5,107,2833,International Grandmaster
159,"Deltix Round, Summer 2021 (open for everyone, rated, Div. 1 + Div. 2)",Aug/29/2021 17:35,131,6,-40,2793,International Grandmaster
160,Codeforces Global Round 16,Sep/12/2021 17:35,52,7,33,2826,International Grandmaster
161,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,11,7,106,2932,International Grandmaster
162,Codeforces Round 751 (Div. 1),Oct/25/2021 09:35,33,4,-14,2918,International Grandmaster
163,Codeforces Round 752 (Div. 1),Oct/30/2021 17:35,123,3,-64,2854,International Grandmaster
164,Codeforces Global Round 17,Nov/23/2021 17:35,45,6,24,2878,International Grandmaster
