#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 557 (Div. 2) [based on Forethought Future Cup - Final Round],May/04/2019 20:05,441,3,59,1559,Specialist
2,Educational Codeforces Round 67 (Rated for Div. 2),Jun/30/2019 17:45,472,3,96,1655,Expert
3,Codeforces Global Round 4,Jul/20/2019 18:35,2451,3,-42,1613,Expert
4,Educational Codeforces Round 69 (Rated for Div. 2),Jul/22/2019 17:35,539,4,84,1697,Expert
5,Codeforces Round 581 (Div. 2),Aug/20/2019 17:35,898,3,40,1737,Expert
6,Educational Codeforces Round 72 (Rated for Div. 2),Sep/05/2019 17:35,536,3,65,1802,Expert
7,Codeforces Round 600 (Div. 2),Nov/16/2019 17:35,902,4,-1,1801,Expert
8,Educational Codeforces Round 77 (Rated for Div. 2),Nov/27/2019 16:50,1169,3,-24,1777,Expert
9,Codeforces Round 604 (Div. 2),Dec/05/2019 17:35,606,3,8,1785,Expert
10,Educational Codeforces Round 79 (Rated for Div. 2),Dec/27/2019 17:40,40,4,183,1968,Candidate Master
11,Codeforces Round 645 (Div. 2),May/26/2020 17:35,850,4,-2,1966,Candidate Master
12,Educational Codeforces Round 88 (Rated for Div. 2),May/28/2020 17:35,52,5,142,2108,Master
13,Codeforces Round 664 (Div. 1),Aug/12/2020 17:35,223,2,92,2200,Master
14,Codeforces Round 698 (Div. 1),Jan/28/2021 17:35,150,3,84,2284,Master
15,Codeforces Round 700 (Div. 1),Feb/07/2021 17:35,49,4,169,2453,Grandmaster
16,Codeforces Round 854 by cybercats (Div. 1 + Div. 2),Feb/27/2023 17:35,302,6,-28,2425,Grandmaster
