#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 552 (Div. 3),Apr/16/2019 17:35,1560,3,-10,1490,Specialist
2,Codeforces Round 553 (Div. 2),Apr/18/2019 18:35,2418,1,-30,1460,Specialist
3,Forethought Future Cup - Elimination Round,Apr/20/2019 21:05,1820,2,-35,1425,Specialist
4,Educational Codeforces Round 63 (Rated for Div. 2),Apr/22/2019 17:35,1550,3,35,1460,Specialist
5,Codeforces Round 554 (Div. 2),Apr/24/2019 17:35,1010,3,73,1533,Specialist
6,Codeforces Round 555 (Div. 3),Apr/26/2019 17:35,647,4,29,1562,Specialist
7,Codeforces Round 557 (Div. 2) [based on Forethought Future Cup - Final Round],May/04/2019 20:05,836,3,-12,1550,Specialist
8,Codeforces Round 559 (Div. 2),May/12/2019 17:35,310,3,83,1633,Expert
9,Codeforces Round 562 (Div. 2),May/26/2019 18:35,1950,1,-56,1577,Specialist
10,Codeforces Global Round 3,Jun/01/2019 17:35,1296,3,44,1621,Expert
11,Educational Codeforces Round 66 (Rated for Div. 2),Jun/05/2019 17:35,967,3,33,1654,Expert
12,Codeforces Round 567 (Div. 2),Jun/16/2019 12:35,912,2,16,1670,Expert
13,Codeforces Round 574 (Div. 2),Jul/17/2019 17:35,3847,2,-93,1577,Specialist
14,Codeforces Round 576 (Div. 2),Jul/30/2019 17:35,1924,2,-14,1563,Specialist
15,Codeforces Round 577 (Div. 2),Aug/04/2019 19:35,1375,3,14,1577,Specialist
16,Educational Codeforces Round 70 (Rated for Div. 2),Aug/07/2019 17:35,2362,1,-52,1525,Specialist
17,Codeforces Round 578 (Div. 2),Aug/11/2019 15:35,3659,2,-42,1483,Specialist
18,Codeforces Round 579 (Div. 3),Aug/13/2019 17:35,497,5,77,1560,Specialist
19,Codeforces Round 580 (Div. 2),Aug/18/2019 16:45,2407,3,-19,1541,Specialist
20,Codeforces Round 581 (Div. 2),Aug/20/2019 17:35,511,4,126,1667,Expert
21,Educational Codeforces Round 71 (Rated for Div. 2),Aug/22/2019 17:35,1330,3,11,1678,Expert
22,"Manthan, Codefest 19 (open for everyone, rated, Div. 1 + Div. 2)",Aug/25/2019 17:35,1401,3,30,1708,Expert
23,Educational Codeforces Round 74 (Rated for Div. 2),Oct/08/2019 17:35,924,3,20,1728,Expert
24,Codeforces Global Round 5,Oct/16/2019 17:35,1156,4,43,1771,Expert
