#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 585 (Div. 2),Sep/15/2019 13:35,572,4,109,1609,Expert
2,Codeforces Round 592 (Div. 2),Oct/13/2019 12:05,467,4,92,1701,Expert
3,Codeforces Round 594 (Div. 2),Oct/20/2019 12:05,27,4,188,1889,Expert
4,Educational Codeforces Round 81 (Rated for Div. 2),Jan/29/2020 17:35,89,5,118,2007,Candidate Master
5,Codeforces Round 616 (Div. 1),Feb/02/2020 17:05,274,2,73,2080,Candidate Master
6,Codeforces Round 618 (Div. 1),Feb/09/2020 17:05,423,3,20,2100,Master
7,"Codeforces Round 625 (Div. 1, based on Technocup 2020 Final Round)",Mar/01/2020 16:15,365,3,26,2126,Master
8,"Codeforces Round 631 (Div. 1) - Thanks, Denis aramis Shitov!",Apr/03/2020 17:35,148,3,130,2256,Master
9,Codeforces Round 633 (Div. 1),Apr/12/2020 17:05,289,3,29,2285,Master
10,Codeforces Round 635 (Div. 1),Apr/15/2020 17:35,273,3,31,2316,International Master
11,"Codeforces Round 755 (Div. 1, based on Technocup 2022 Elimination Round 2)",Nov/14/2021 09:05,553,1,-110,2206,Master
12,Codeforces Round 773 (Div. 1),Feb/23/2022 13:10,211,3,64,2270,Master
13,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,2617,3,-178,2092,Candidate Master
14,Educational Codeforces Round 127 (Rated for Div. 2),Apr/22/2022 17:35,227,5,1,2093,Candidate Master
15,Codeforces Global Round 20,Apr/23/2022 17:05,741,5,-3,2090,Candidate Master
16,Codeforces Round 785 (Div. 2),Apr/30/2022 17:35,551,4,-46,2044,Candidate Master
17,Codeforces Round 788 (Div. 2),May/06/2022 17:35,231,4,8,2052,Candidate Master
18,Codeforces Round 789 (Div. 1),May/08/2022 17:35,358,3,43,2095,Candidate Master
19,Educational Codeforces Round 128 (Rated for Div. 2),May/13/2022 17:35,116,4,36,2131,Master
20,Codeforces Round 792 (Div. 1 + Div. 2),May/19/2022 17:35,1634,3,-89,2042,Candidate Master
21,Codeforces Round 793 (Div. 2),May/22/2022 17:35,11,5,166,2208,Master
22,Codeforces Round 796 (Div. 1),Jun/03/2022 17:35,338,2,-4,2204,Master
23,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,548,5,6,2210,Master
24,Codeforces Global Round 22,Sep/30/2022 17:35,1074,4,-63,2147,Master
25,Dytechlab Cup 2022,Oct/07/2022 17:35,381,4,35,2182,Master
26,Codeforces Global Round 23,Oct/15/2022 17:35,702,4,-8,2174,Master
27,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,436,4,2,2176,Master
28,Codeforces Round 831 (Div. 1 + Div. 2),Oct/29/2022 12:10,74,6,129,2305,International Master
29,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,718,4,-57,2248,Master
30,"Polynomial Round 2022 (Div. 1 + Div. 2, Rated, Prizes!)",Dec/17/2022 17:35,428,5,0,2248,Master
31,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,201,5,94,2342,International Master
32,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,834,4,-81,2261,Master
33,"Codeforces Round 850 (Div. 1, based on VK Cup 2022 - Final Round)",Feb/05/2023 15:05,427,3,-15,2246,Master
