#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 688 (Div. 2),Dec/04/2020 16:05,2906,2,516,516,Newbie
2,"Codeforces Round 689 (Div. 2, based on Zed Code Competition)",Dec/11/2020 17:35,1523,4,415,931,Newbie
3,Codeforces Round 696 (Div. 2),Jan/19/2021 17:35,803,3,367,1298,Pupil
4,Codeforces Round 698 (Div. 2),Jan/28/2021 17:35,204,4,297,1595,Specialist
5,Educational Codeforces Round 103 (Rated for Div. 2),Jan/29/2021 17:35,3397,2,45,1640,Expert
6,Codeforces Round 703 (Div. 2),Feb/18/2021 17:35,385,5,163,1803,Expert
7,"Codeforces Round 709 (Div. 2, based on Technocup 2021 Final Round)",Mar/21/2021 16:20,20,5,175,1978,Candidate Master
8,CodeCraft-21 and Codeforces Round 711 (Div. 2),Mar/29/2021 17:35,1014,3,-51,1927,Candidate Master
9,Educational Codeforces Round 108 (Rated for Div. 2),Apr/29/2021 17:35,125,4,91,2018,Candidate Master
10,Codeforces Round 722 (Div. 1),May/24/2021 17:35,583,2,4,2022,Candidate Master
11,Codeforces Round 729 (Div. 2),Jul/03/2021 16:05,97,4,84,2106,Master
12,Codeforces Round 732 (Div. 1),Jul/11/2021 17:05,341,2,47,2153,Master
13,Codeforces Global Round 16,Sep/12/2021 17:35,244,6,86,2239,Master
14,Codeforces Round 752 (Div. 1),Oct/30/2021 17:35,827,2,-87,2152,Master
15,Codeforces Global Round 19,Feb/12/2022 17:35,708,5,-5,2147,Master
16,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,728,4,-4,2143,Master
17,Codeforces Round 783 (Div. 1),Apr/19/2022 17:35,507,2,-20,2123,Master
18,Codeforces Round 789 (Div. 1),May/08/2022 17:35,334,3,32,2155,Master
19,Codeforces Round 796 (Div. 1),Jun/03/2022 17:35,144,3,102,2257,Master
20,Codeforces Round 808 (Div. 1),Jul/16/2022 17:35,128,3,88,2345,International Master
21,Dytechlab Cup 2022,Oct/07/2022 17:35,289,4,9,2354,International Master
