#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 346 (Div. 2),Mar/30/2016 19:05,253,5,119,1619,Expert
2,"Codeforces Round 348 (VK Cup 2016 Round 2, Div. 2 Edition)",Apr/24/2016 19:35,843,3,-45,1574,Specialist
3,Codeforces Round 349 (Div. 2),Apr/29/2016 19:35,33,3,191,1765,Expert
4,Codeforces Round 350 (Div. 2),May/05/2016 19:05,11,7,192,1957,Candidate Master
5,"Codeforces Round 351 (VK Cup 2016 Round 3, Div. 1 Edition)",May/07/2016 18:05,176,2,21,1978,Candidate Master
6,Codeforces Round 366 (Div. 1),Aug/07/2016 17:05,379,1,-28,1950,Candidate Master
7,Codeforces Round 371 (Div. 1),Sep/13/2016 19:35,245,2,43,1993,Candidate Master
8,Codeforces Round 372 (Div. 1),Sep/17/2016 16:45,206,1,41,2034,Candidate Master
9,Codeforces Round 382 (Div. 1),Nov/27/2016 19:35,192,2,39,2073,Candidate Master
10,Codeforces Round 385 (Div. 1),Dec/17/2016 19:35,68,3,120,2193,Master
11,Good Bye 2016,Dec/30/2016 17:15,334,4,15,2208,Master
12,"Codecraft-17 and Codeforces Round 391 (Div. 1 + Div. 2, combined)",Jan/12/2017 18:35,177,4,30,2238,Master
13,Codeforces Round 395 (Div. 1),Feb/02/2017 16:35,400,1,-83,2155,Master
14,Codeforces Round 397 by Kaspersky Lab and Barcelona Bootcamp (Div. 1 + Div. 2 combined),Feb/14/2017 11:05,92,5,84,2239,Master
15,"Divide by Zero 2017 and Codeforces Round 399 (Div. 1 + Div. 2, combined)",Feb/20/2017 19:05,405,4,-39,2200,Master
16,Codeforces Round 411 (Div. 1),May/04/2017 17:50,359,2,-62,2138,Master
17,"Codeforces Round 423 (Div. 1, rated, based on VK Cup Finals)",Jul/11/2017 19:45,387,1,-83,2055,Candidate Master
18,"Codeforces Round 433 (Div. 1, based on Olympiad of Metropolises)",Sep/06/2017 15:55,457,1,-83,1972,Candidate Master
19,MemSQL Start[c]UP 3.0 - Round 1,Sep/16/2017 20:35,192,5,71,2043,Candidate Master
20,MemSQL Start[c]UP 3.0 - Round 2 (onsite finalists),Sep/30/2017 20:05,15,2,-43,2000,Candidate Master
21,"Codecraft-18 and Codeforces Round 458 (Div. 1 + Div. 2, combined)",Jan/20/2018 18:35,1282,2,-77,1923,Candidate Master
22,Codeforces Round 459 (Div. 1),Jan/29/2018 17:35,296,2,-20,1903,Candidate Master
23,Codeforces Round 462 (Div. 1),Feb/14/2018 15:05,274,2,34,1937,Candidate Master
24,"ICM Technex 2018 and Codeforces Round 463 (Div. 1 + Div. 2, combined)",Feb/15/2018 17:35,964,3,-40,1897,Expert
25,Educational Codeforces Round 38 (Rated for Div. 2),Feb/16/2018 18:05,43,4,90,1987,Candidate Master
26,Codeforces Round 467 (Div. 1),Feb/25/2018 19:05,351,1,-45,1942,Candidate Master
27,"Codeforces Round 468 (Div. 1, based on Technocup 2018 Final Round)",Mar/04/2018 18:35,148,3,82,2024,Candidate Master
28,"Codeforces Round 470 (rated, Div. 1, based on VK Cup 2018 Round 1)",Mar/10/2018 18:35,403,2,-71,1953,Candidate Master
29,"Codeforces Round 472 (rated, Div. 1, based on VK Cup 2018 Round 2)",Mar/24/2018 18:35,321,2,-50,1903,Candidate Master
30,"Divide by Zero 2018 and Codeforces Round 474 (Div. 1 + Div. 2, combined)",Apr/07/2018 19:05,137,5,115,2018,Candidate Master
31,"Codeforces Round 477 (rated, Div. 1, based on VK Cup 2018 Round 3)",Apr/29/2018 16:15,112,3,85,2103,Master
32,"Codeforces Round 483 (Div. 1) [Thanks, Botan Investments and Victor Shaburov!]",May/15/2018 17:45,140,2,52,2155,Master
33,Avito Code Challenge 2018,May/27/2018 17:50,266,5,1,2156,Master
34,Codeforces Round 488 by NEAR (Div. 1),Jun/16/2018 19:35,218,2,-23,2133,Master
35,Codeforces Round 493 (Div. 1),Jul/01/2018 17:05,253,2,-19,2114,Master
36,Codeforces Round 497 (Div. 1),Jul/13/2018 17:35,377,1,-53,2061,Candidate Master
37,Codeforces Round 526 (Div. 1),Dec/10/2018 19:35,241,1,-27,2034,Candidate Master
38,Avito Cool Challenge 2018,Dec/16/2018 17:35,391,5,6,2040,Candidate Master
39,Good Bye 2018,Dec/30/2018 17:35,249,5,96,2136,Master
40,Hello 2019,Jan/04/2019 17:45,4140,2,-174,1962,Candidate Master
41,Educational Codeforces Round 59 (Rated for Div. 2),Jan/26/2019 18:35,168,4,35,1997,Candidate Master
42,Codeforces Global Round 1,Feb/07/2019 16:35,1171,3,-29,1968,Candidate Master
43,Codeforces Round 538 (Div. 2),Feb/10/2019 17:05,538,4,-11,1957,Candidate Master
44,Codeforces Round 542 [Alex Lopashev Thanks-Round] (Div. 1),Feb/24/2019 18:35,237,3,27,1984,Candidate Master
45,Educational Codeforces Round 61 (Rated for Div. 2),Mar/05/2019 18:05,2,6,244,2228,Master
46,Codeforces Round 549 (Div. 1),Mar/30/2019 20:10,73,3,59,2287,Master
47,Codeforces Global Round 2,Apr/06/2019 14:35,591,5,-57,2230,Master
48,Codeforces Round 557 (Div. 1) [based on Forethought Future Cup - Final Round],May/04/2019 20:05,154,3,1,2231,Master
49,"Codeforces Round 584 - Dasha Code Championship - Elimination Round (rated, open for everyone, Div. 1 + Div. 2)",Sep/14/2019 16:05,543,6,-27,2204,Master
50,Good Bye 2019,Dec/29/2019 17:05,699,4,-24,2180,Master
51,Hello 2020,Jan/04/2020 15:05,1584,3,-81,2099,Candidate Master
52,Codeforces Round 618 (Div. 1),Feb/09/2020 17:05,515,3,-7,2092,Candidate Master
