#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 592 (Div. 2),Oct/13/2019 12:05,3718,2,-60,1440,Specialist
2,Codeforces Round 594 (Div. 2),Oct/20/2019 12:05,575,3,106,1546,Specialist
3,Codeforces Round 614 (Div. 2),Jan/19/2020 16:35,1211,3,39,1585,Specialist
4,Codeforces Round 630 (Div. 2),Mar/31/2020 16:35,5666,1,-41,1544,Specialist
5,Codeforces Round 638 (Div. 2),May/01/2020 17:35,2615,3,46,1590,Specialist
6,Codeforces Round 643 (Div. 2),May/16/2020 14:35,149,5,216,1806,Expert
7,Codeforces Round 676 (Div. 2),Oct/18/2020 12:05,599,4,30,1836,Expert
8,Educational Codeforces Round 101 (Rated for Div. 2),Dec/28/2020 17:35,77,5,153,1989,Candidate Master
9,Good Bye 2020,Dec/30/2020 17:35,972,6,32,2021,Candidate Master
10,Educational Codeforces Round 108 (Rated for Div. 2),Apr/29/2021 17:35,144,4,57,2078,Candidate Master
11,Codeforces Round 727 (Div. 2),Jun/20/2021 13:05,35,5,103,2181,Master
12,"Polynomial Round 2022 (Div. 1 + Div. 2, Rated, Prizes!)",Dec/17/2022 17:35,110,7,128,2309,International Master
13,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,102,6,101,2410,Grandmaster
14,"Codeforces Round 850 (Div. 1, based on VK Cup 2022 - Final Round)",Feb/05/2023 15:05,77,4,101,2511,Grandmaster
