#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 469 (Div. 2),Mar/09/2018 11:10,1147,2,-6,1494,Specialist
2,"Codeforces Round 470 (rated, Div. 2, based on VK Cup 2018 Round 1)",Mar/10/2018 18:35,440,3,78,1572,Specialist
3,"Codeforces Round 472 (rated, Div. 2, based on VK Cup 2018 Round 2)",Mar/24/2018 18:35,181,4,107,1679,Expert
4,Codeforces Round 473 (Div. 2),Apr/03/2018 19:05,628,3,1,1680,Expert
5,"Divide by Zero 2018 and Codeforces Round 474 (Div. 1 + Div. 2, combined)",Apr/07/2018 19:05,1345,2,-26,1654,Expert
6,Educational Codeforces Round 42 (Rated for Div. 2),Apr/10/2018 17:35,1401,3,-43,1611,Expert
7,Codeforces Round 482 (Div. 2),May/14/2018 17:35,542,3,70,1681,Expert
8,"Codeforces Round 483 (Div. 2) [Thanks, Botan Investments and Victor Shaburov!]",May/15/2018 17:45,28,4,180,1861,Expert
9,Codeforces Round 485 (Div. 2),May/29/2018 18:35,218,5,21,1882,Expert
10,Educational Codeforces Round 48 (Rated for Div. 2),Aug/03/2018 17:45,265,4,38,1920,Candidate Master
11,Educational Codeforces Round 50 (Rated for Div. 2),Sep/07/2018 17:35,521,4,-12,1908,Candidate Master
12,Codeforces Round 509 (Div. 2),Sep/16/2018 13:35,707,4,-29,1879,Expert
13,Educational Codeforces Round 51 (Rated for Div. 2),Sep/20/2018 17:45,358,4,14,1893,Expert
14,Codeforces Round 511 (Div. 2),Sep/21/2018 17:35,400,3,-11,1882,Expert
15,Codeforces Round 520 (Div. 2),Nov/14/2018 18:35,1346,2,-56,1826,Expert
16,Hello 2019,Jan/04/2019 17:45,1079,3,20,1846,Expert
17,CodeCraft-19 and Codeforces Round 537 (Div. 2),Feb/03/2019 18:35,4983,0,-168,1678,Expert
18,Codeforces Round 538 (Div. 2),Feb/10/2019 17:05,441,3,82,1760,Expert
19,Educational Codeforces Round 60 (Rated for Div. 2),Feb/18/2019 18:40,2159,2,-71,1689,Expert
20,Codeforces Round 578 (Div. 2),Aug/11/2019 15:35,3223,2,-66,1623,Expert
21,Codeforces Round 580 (Div. 2),Aug/18/2019 16:45,1076,3,23,1646,Expert
22,"Manthan, Codefest 19 (open for everyone, rated, Div. 1 + Div. 2)",Aug/25/2019 17:35,733,4,98,1744,Expert
23,Educational Codeforces Round 72 (Rated for Div. 2),Sep/05/2019 17:35,390,3,82,1826,Expert
24,"Codeforces Round 584 - Dasha Code Championship - Elimination Round (rated, open for everyone, Div. 1 + Div. 2)",Sep/14/2019 16:05,1878,3,-37,1789,Expert
25,Educational Codeforces Round 73 (Rated for Div. 2),Sep/19/2019 17:35,676,4,6,1795,Expert
26,Codeforces Round 588 (Div. 2),Sep/23/2019 17:05,98,4,101,1896,Expert
27,Codeforces Round 599 (Div. 2),Nov/06/2019 18:05,380,4,4,1900,Candidate Master
28,Codeforces Round 601 (Div. 1),Nov/19/2019 17:35,628,1,-55,1845,Expert
