#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Beta Round 2,Feb/25/2010 20:00,75,1,-49,1451,Specialist
2,Codeforces Beta Round 6 (Div. 2 Only),Mar/27/2010 10:00,17,4,147,1598,Specialist
3,Codeforces Beta Round 10,Apr/15/2010 19:45,101,3,48,1646,Expert
4,Codeforces Beta Round 13,May/06/2010 18:00,50,3,107,1753,Expert
5,Codeforces Beta Round 33 (Codeforces format),Oct/07/2010 19:00,61,4,94,1847,Expert
6,Codeforces Beta Round 36,Oct/19/2010 14:00,36,3,54,1901,Candidate Master
7,School Personal Contest #1 (Winter Computer School 2010/11) - Codeforces Beta Round 38 (ACM-ICPC Rules),Oct/30/2010 16:00,—,6,18,1919,Candidate Master
8,Codeforces Beta Round 39,Nov/05/2010 19:00,21,3,91,2010,Candidate Master
9,Codeforces Beta Round 51,Jan/14/2011 11:00,92,3,-74,1936,Candidate Master
10,Codeforces Beta Round 56,Feb/19/2011 19:00,409,2,-149,1787,Expert
11,Codeforces Beta Round 62,Mar/18/2011 19:00,58,3,186,1973,Candidate Master
12,Codeforces Beta Round 64,Mar/26/2011 19:00,214,2,-80,1893,Expert
13,Codeforces Beta Round 69 (Div. 1 Only),Apr/19/2011 19:15,32,3,135,2028,Candidate Master
14,Yandex.Algorithm 2011: Qualification 2,May/06/2011 19:00,130,3,23,2051,Candidate Master
15,Yandex.Algorithm 2011: Round 1,May/20/2011 19:00,495,1,-128,1923,Candidate Master
16,Codeforces Beta Round 84 (Div. 1 Only),Aug/29/2011 20:00,163,3,17,1940,Candidate Master
17,Codeforces Beta Round 86 (Div. 1 Only),Sep/08/2011 19:00,51,2,91,2031,Candidate Master
18,Codeforces Beta Round 88,Sep/23/2011 19:00,161,2,-28,2003,Candidate Master
19,"School Regional Team Contest, Saratov, 2011",Oct/18/2011 10:30,80,8,-32,1971,Candidate Master
20,Codeforces Beta Round 91 (Div. 1 Only),Oct/27/2011 19:00,202,2,-30,1941,Candidate Master
21,Codeforces Beta Round 92 (Div. 1 Only),Nov/03/2011 19:10,56,2,93,2034,Candidate Master
22,Codeforces Beta Round 94 (Div. 1 Only),Nov/15/2011 10:10,85,3,30,2064,Candidate Master
23,Codeforces Beta Round 97 (Div. 1),Dec/09/2011 19:05,3,4,139,2203,Master
24,Codeforces Round 100,Jan/04/2012 19:00,109,4,24,2227,Master
25,Codeforces Round 102 (Div. 1),Jan/12/2012 19:05,110,2,-36,2191,Master
26,Codeforces Round 107 (Div. 1),Feb/17/2012 19:00,259,2,-80,2111,Master
27,Codeforces Round 110 (Div. 1),Feb/29/2012 21:30,10,4,121,2232,Master
28,VK Cup 2012 Round 1,Mar/11/2012 19:05,385,3,-103,2129,Master
29,VK Cup 2012 Round 2,Mar/25/2012 19:05,330,1,-85,2044,Candidate Master
30,Croc Champ 2012 - Round 1,Apr/06/2012 19:00,52,3,91,2135,Master
31,VK Cup 2012 Round 3,Apr/08/2012 19:05,314,0,-101,2034,Candidate Master
32,Croc Champ 2012 - Round 2,Apr/20/2012 19:05,53,3,53,2087,Candidate Master
33,Croc Champ 2012 - Final,Apr/27/2012 17:20,61,2,-17,2070,Candidate Master
34,Codeforces Round 138 (Div. 1),Sep/16/2012 19:30,173,2,-54,2016,Candidate Master
35,Codeforces Round 153 (Div. 1),Dec/06/2012 19:30,41,2,89,2105,Master
