#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,"ICM Technex 2017 and Codeforces Round 400 (Div. 1 + Div. 2, combined)",Feb/23/2017 17:45,2713,2,-42,1458,Specialist
2,"Playrix Codescapes Cup (Codeforces Round 413, rated, Div. 1 + Div. 2)",May/11/2017 18:35,1474,2,24,1482,Specialist
3,Codeforces Round 415 (Div. 2),May/20/2017 21:05,924,2,-1,1481,Specialist
4,Codeforces Round 418 (Div. 2),Jun/07/2017 15:15,1307,1,1,1482,Specialist
5,Codeforces Round 419 (Div. 2),Jun/17/2017 17:35,2006,1,-38,1444,Specialist
6,"Codeforces Round 423 (Div. 2, rated, based on VK Cup Finals)",Jul/11/2017 19:45,757,2,62,1506,Specialist
7,"Codeforces Round 424 (Div. 2, rated, based on VK Cup Finals)",Jul/13/2017 18:05,1047,2,12,1518,Specialist
8,Codeforces Round 425 (Div. 2),Jul/24/2017 17:35,2863,1,-55,1463,Specialist
9,Codeforces Round 427 (Div. 2),Jul/31/2017 17:35,1169,3,32,1495,Specialist
10,Codeforces Round 428 (Div. 2),Aug/12/2017 17:35,433,2,101,1596,Specialist
11,AIM Tech Round 4 (Div. 2),Aug/24/2017 19:35,213,4,90,1686,Expert
12,Codeforces Round 431 (Div. 2),Sep/01/2017 16:35,765,2,-5,1681,Expert
13,"Codeforces Round 433 (Div. 2, based on Olympiad of Metropolises)",Sep/06/2017 15:55,368,3,40,1721,Expert
14,Codeforces Round 435 (Div. 2),Sep/19/2017 18:05,1406,2,-58,1663,Expert
15,"Manthan, Codefest 17",Sep/24/2017 17:35,1621,1,-58,1605,Expert
16,"Codeforces Round 437 (Div. 2, based on MemSQL Start[c]UP 3.0 - Round 2)",Sep/30/2017 20:05,766,2,-21,1584,Specialist
17,Codeforces Round 439 (Div. 2),Oct/06/2017 16:35,2447,1,-80,1504,Specialist
18,Codeforces Round 442 (Div. 2),Oct/23/2017 18:45,676,2,64,1568,Specialist
19,Codeforces Round 448 (Div. 2),Nov/26/2017 19:05,1802,0,-114,1454,Specialist
20,Codeforces Round 449 (Div. 2),Dec/02/2017 17:05,182,3,77,1531,Specialist
21,Codeforces Round 450 (Div. 2),Dec/11/2017 19:05,255,3,100,1631,Expert
22,"Codeforces Round 454 (Div. 2, based on Technocup 2018 Elimination Round 4)",Dec/23/2017 17:05,952,1,0,1631,Expert
23,Educational Codeforces Round 35 (Rated for Div. 2),Dec/28/2017 17:05,764,3,2,1633,Expert
24,Good Bye 2017,Dec/29/2017 18:40,2508,2,-21,1612,Expert
25,Hello 2018,Jan/08/2018 17:45,727,4,97,1709,Expert
26,Educational Codeforces Round 36 (Rated for Div. 2),Jan/13/2018 16:05,130,3,89,1798,Expert
27,Codeforces Round 459 (Div. 2),Jan/29/2018 17:35,18,4,165,1963,Candidate Master
28,"Codeforces Round 468 (Div. 1, based on Technocup 2018 Final Round)",Mar/04/2018 18:35,341,3,-20,1943,Candidate Master
29,"Codeforces Round 470 (rated, Div. 1, based on VK Cup 2018 Round 1)",Mar/10/2018 18:35,430,2,-74,1869,Expert
30,Codeforces Round 471 (Div. 2),Mar/23/2018 19:35,317,2,-15,1854,Expert
31,Codeforces Round 473 (Div. 2),Apr/03/2018 19:05,114,5,49,1903,Candidate Master
32,Tinkoff Internship Warmup Round 2018 and Codeforces Round 475 (Div. 1),Apr/17/2018 17:05,373,1,-27,1876,Expert
33,"Codeforces Round 476 (Div. 2) [Thanks, Telegram!]",Apr/25/2018 20:35,226,3,-17,1859,Expert
34,Educational Codeforces Round 43 (Rated for Div. 2),Apr/30/2018 17:40,597,3,-40,1819,Expert
35,Codeforces Round 480 (Div. 2),May/08/2018 18:05,862,2,-28,1791,Expert
36,Codeforces Round 482 (Div. 2),May/14/2018 17:35,851,2,-14,1777,Expert
37,Codeforces Round 484 (Div. 2),May/17/2018 19:35,402,3,37,1814,Expert
38,Educational Codeforces Round 44 (Rated for Div. 2),May/21/2018 17:45,1307,3,-63,1751,Expert
39,Avito Code Challenge 2018,May/27/2018 17:50,566,4,38,1789,Expert
40,Codeforces Round 485 (Div. 2),May/29/2018 18:35,99,5,82,1871,Expert
41,Codeforces Round 487 (Div. 2),Jun/11/2018 16:35,894,2,-38,1833,Expert
42,Codeforces Round 488 by NEAR (Div. 2),Jun/16/2018 19:35,768,2,-50,1783,Expert
43,Codeforces Round 489 (Div. 2),Jun/18/2018 19:35,343,3,39,1822,Expert
44,Codeforces Round 491 (Div. 2),Jun/23/2018 18:35,54,5,140,1962,Candidate Master
45,Educational Codeforces Round 46 (Rated for Div. 2),Jun/27/2018 17:35,1543,1,-111,1851,Expert
46,Codeforces Round 495 (Div. 2),Jul/05/2018 19:35,162,3,61,1912,Candidate Master
47,Educational Codeforces Round 48 (Rated for Div. 2),Aug/03/2018 17:45,337,4,16,1928,Candidate Master
48,"Codeforces Round 503 (by SIS, Div. 1)",Aug/11/2018 16:35,489,0,-87,1841,Expert
49,"Codeforces Round 504 (rated, Div. 1 + Div. 2, based on VK Cup 2018 Final)",Aug/17/2018 17:35,437,4,63,1904,Candidate Master
50,Educational Codeforces Round 49 (Rated for Div. 2),Aug/18/2018 17:35,223,4,48,1952,Candidate Master
51,"Codeforces Round 505 (rated, Div. 1 + Div. 2, based on VK Cup 2018 Final)",Aug/19/2018 16:35,321,3,62,2014,Candidate Master
52,"AIM Tech Round 5 (rated, Div. 1 + Div. 2)",Aug/27/2018 19:35,674,3,-28,1986,Candidate Master
53,"Manthan, Codefest 18 (rated, Div. 1 + Div. 2)",Sep/02/2018 17:35,571,4,1,1987,Candidate Master
54,Codeforces Round 509 (Div. 2),Sep/16/2018 13:35,603,4,-38,1949,Candidate Master
