#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 74 (Rated for Div. 2),Oct/08/2019 17:35,4338,1,-70,1430,Specialist
2,Codeforces Round 595 (Div. 3),Oct/22/2019 17:35,6053,1,-99,1331,Pupil
3,Educational Codeforces Round 75 (Rated for Div. 2),Oct/24/2019 18:05,5261,0,-116,1215,Pupil
4,Codeforces Round 600 (Div. 2),Nov/16/2019 17:35,5125,0,-106,1109,Newbie
5,Codeforces Round 608 (Div. 2),Dec/15/2019 12:15,4274,1,-25,1084,Newbie
6,Educational Codeforces Round 78 (Rated for Div. 2),Dec/19/2019 17:35,3709,1,46,1130,Newbie
7,Codeforces Round 609 (Div. 2),Dec/21/2019 14:05,4505,1,-29,1101,Newbie
8,Codeforces Round 610 (Div. 2),Dec/24/2019 17:35,4250,1,2,1103,Newbie
9,Educational Codeforces Round 79 (Rated for Div. 2),Dec/27/2019 17:40,4295,1,33,1136,Newbie
10,Codeforces Round 611 (Div. 3),Dec/28/2019 20:05,3557,2,9,1145,Newbie
11,Good Bye 2019,Dec/29/2019 17:05,6895,1,-44,1101,Newbie
12,Codeforces Round 613 (Div. 2),Jan/10/2020 17:05,5136,1,13,1114,Newbie
13,Codeforces Round 615 (Div. 3),Jan/22/2020 17:35,6194,1,9,1123,Newbie
14,Educational Codeforces Round 81 (Rated for Div. 2),Jan/29/2020 17:35,3669,1,92,1215,Pupil
15,Codeforces Round 619 (Div. 2),Feb/13/2020 17:35,5129,1,0,1215,Pupil
16,"Codeforces Round 623 (Div. 2, based on VK Cup 2019-2020 - Elimination Round, Engine)",Feb/23/2020 19:05,3250,1,-70,1145,Newbie
17,"Ozon Tech Challenge 2020 (Div.1 + Div.2, Rated, T-shirts + prizes!)",Mar/03/2020 17:35,5575,1,-8,1137,Newbie
18,CodeCraft-20 (Div. 2),Mar/04/2020 17:35,4730,1,7,1144,Newbie
19,Educational Codeforces Round 83 (Rated for Div. 2),Mar/09/2020 17:35,5143,2,19,1163,Newbie
20,Codeforces Round 627 (Div. 3),Mar/12/2020 16:05,5884,2,-29,1134,Newbie
21,Codeforces Global Round 7,Mar/19/2020 17:35,7631,2,8,1142,Newbie
22,Educational Codeforces Round 84 (Rated for Div. 2),Mar/23/2020 17:35,4972,2,98,1240,Pupil
23,Codeforces Round 629 (Div. 3),Mar/26/2020 17:35,3318,3,77,1317,Pupil
24,"Codeforces Round 631 (Div. 2) - Thanks, Denis aramis Shitov!",Apr/03/2020 17:35,8703,1,-62,1255,Pupil
25,Codeforces Round 632 (Div. 2),Apr/08/2020 17:35,6660,2,23,1278,Pupil
26,Educational Codeforces Round 85 (Rated for Div. 2),Apr/10/2020 17:35,7578,2,10,1288,Pupil
27,Codeforces Round 634 (Div. 3),Apr/13/2020 17:35,7558,3,-10,1278,Pupil
28,Codeforces Round 636 (Div. 3),Apr/21/2020 17:35,5104,3,30,1308,Pupil
29,Educational Codeforces Round 86 (Rated for Div. 2),Apr/26/2020 17:35,11910,1,-67,1241,Pupil
30,Codeforces Round 638 (Div. 2),May/01/2020 17:35,8214,1,10,1251,Pupil
31,Codeforces Round 640 (Div. 4),May/09/2020 17:35,4546,3,16,1267,Pupil
32,Codeforces Round 642 (Div. 3),May/14/2020 17:35,3839,3,50,1317,Pupil
33,Codeforces Round 644 (Div. 3),May/24/2020 16:35,2843,5,36,1353,Pupil
34,Codeforces Round 646 (Div. 2),May/31/2020 17:35,4863,2,37,1390,Pupil
35,Educational Codeforces Round 89 (Rated for Div. 2),Jun/11/2020 17:35,6505,2,-31,1359,Pupil
36,Codeforces Round 649 (Div. 2),Jun/13/2020 18:05,7189,1,-42,1317,Pupil
37,Codeforces Round 650 (Div. 3),Jun/16/2020 17:35,5449,3,-17,1300,Pupil
38,Codeforces Round 651 (Div. 2),Jun/20/2020 17:35,5765,3,14,1314,Pupil
39,Codeforces Round 652 (Div. 2),Jun/23/2020 17:05,6219,2,-5,1309,Pupil
40,Codeforces Round 656 (Div. 3),Jul/17/2020 17:35,2918,3,33,1342,Pupil
41,Codeforces Round 659 (Div. 2),Jul/24/2020 17:35,2984,1,63,1405,Specialist
42,Educational Codeforces Round 92 (Rated for Div. 2),Jul/29/2020 17:35,4374,2,19,1424,Specialist
43,Codeforces Round 661 (Div. 3),Aug/05/2020 17:35,982,4,71,1495,Specialist
44,Codeforces Round 664 (Div. 2),Aug/12/2020 17:35,3868,2,-11,1484,Specialist
45,Codeforces Round 665 (Div. 2),Aug/21/2020 17:35,4457,3,-20,1464,Specialist
46,Educational Codeforces Round 94 (Rated for Div. 2),Aug/25/2020 17:35,6883,1,-61,1403,Specialist
47,Codeforces Round 667 (Div. 3),Sep/04/2020 17:35,1601,4,43,1446,Specialist
48,Codeforces Round 669 (Div. 2),Sep/08/2020 17:35,3661,2,8,1454,Specialist
49,Codeforces Round 670 (Div. 2),Sep/12/2020 16:45,4561,2,-26,1428,Specialist
50,Codeforces Round 672 (Div. 2),Sep/24/2020 17:35,2928,3,30,1458,Specialist
51,Codeforces Round 673 (Div. 2),Sep/27/2020 18:05,4912,1,-83,1375,Pupil
