#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 61 (Rated for Div. 2),Mar/05/2019 18:05,4148,1,-112,1388,Pupil
2,Codeforces Round 544 (Div. 3),Mar/07/2019 18:05,1908,3,-9,1379,Pupil
3,Codeforces Round 545 (Div. 2),Mar/08/2019 12:05,944,2,58,1437,Specialist
4,Codeforces Round 547 (Div. 3),Mar/19/2019 17:35,501,4,82,1519,Specialist
5,Codeforces Round 550 (Div. 3),Mar/31/2019 17:05,501,5,43,1562,Specialist
6,Codeforces Global Round 2,Apr/06/2019 14:35,3396,1,-68,1494,Specialist
7,Codeforces Round 551 (Div. 2),Apr/13/2019 17:05,1055,3,62,1556,Specialist
8,Codeforces Round 552 (Div. 3),Apr/16/2019 17:35,1414,3,-18,1538,Specialist
9,Codeforces Round 553 (Div. 2),Apr/18/2019 18:35,4176,0,-131,1407,Specialist
10,Educational Codeforces Round 63 (Rated for Div. 2),Apr/22/2019 17:35,1959,3,15,1422,Specialist
11,Codeforces Round 554 (Div. 2),Apr/24/2019 17:35,2751,2,-18,1404,Specialist
12,Codeforces Round 555 (Div. 3),Apr/26/2019 17:35,2056,2,-18,1386,Pupil
13,Codeforces Round 556 (Div. 2),Apr/29/2019 17:35,711,3,107,1493,Specialist
14,Codeforces Round 558 (Div. 2),May/09/2019 18:05,877,3,55,1548,Specialist
15,Codeforces Round 559 (Div. 2),May/12/2019 17:35,1038,3,-6,1542,Specialist
16,Codeforces Round 560 (Div. 3),May/14/2019 17:35,122,5,108,1650,Expert
17,Educational Codeforces Round 65 (Rated for Div. 2),May/15/2019 17:35,1296,4,-11,1639,Expert
18,Codeforces Round 561 (Div. 2),May/17/2019 18:05,1068,3,6,1645,Expert
19,Codeforces Round 563 (Div. 2),Jun/03/2019 17:05,936,3,22,1667,Expert
20,Educational Codeforces Round 66 (Rated for Div. 2),Jun/05/2019 17:35,766,3,37,1704,Expert
21,Codeforces Round 572 (Div. 2),Jul/05/2019 18:05,541,4,26,1730,Expert
22,Codeforces Round 573 (Div. 2),Jul/12/2019 17:35,534,4,29,1759,Expert
23,Educational Codeforces Round 68 (Rated for Div. 2),Jul/14/2019 17:45,1101,4,-13,1746,Expert
24,Codeforces Round 574 (Div. 2),Jul/17/2019 17:35,458,5,55,1801,Expert
25,Codeforces Global Round 4,Jul/20/2019 18:35,2487,3,-78,1723,Expert
26,Educational Codeforces Round 69 (Rated for Div. 2),Jul/22/2019 17:35,1000,3,8,1731,Expert
27,Codeforces Round 577 (Div. 2),Aug/04/2019 19:35,373,3,60,1791,Expert
28,Educational Codeforces Round 70 (Rated for Div. 2),Aug/07/2019 17:35,566,3,18,1809,Expert
29,Codeforces Round 578 (Div. 2),Aug/11/2019 15:35,660,4,22,1831,Expert
30,Codeforces Round 580 (Div. 2),Aug/18/2019 16:45,1677,3,-58,1773,Expert
31,Codeforces Round 581 (Div. 2),Aug/20/2019 17:35,306,5,87,1860,Expert
32,"Manthan, Codefest 19 (open for everyone, rated, Div. 1 + Div. 2)",Aug/25/2019 17:35,1472,3,-21,1839,Expert
33,"Codeforces Round 583 (Div. 1 + Div. 2, based on Olympiad of Metropolises)",Sep/04/2019 12:05,1742,3,-71,1768,Expert
34,Educational Codeforces Round 72 (Rated for Div. 2),Sep/05/2019 17:35,247,4,103,1871,Expert
35,"Codeforces Round 584 - Dasha Code Championship - Elimination Round (rated, open for everyone, Div. 1 + Div. 2)",Sep/14/2019 16:05,862,5,27,1898,Expert
36,Codeforces Round 585 (Div. 2),Sep/15/2019 13:35,687,4,-18,1880,Expert
37,Educational Codeforces Round 73 (Rated for Div. 2),Sep/19/2019 17:35,1227,3,-59,1821,Expert
38,Codeforces Round 588 (Div. 2),Sep/23/2019 17:05,297,4,37,1858,Expert
39,Codeforces Round 589 (Div. 2),Sep/29/2019 16:05,682,4,13,1871,Expert
40,Educational Codeforces Round 74 (Rated for Div. 2),Oct/08/2019 17:35,2568,2,-93,1778,Expert
41,Codeforces Round 592 (Div. 2),Oct/13/2019 12:05,1746,2,-51,1727,Expert
42,Codeforces Global Round 5,Oct/16/2019 17:35,1163,4,43,1770,Expert
43,Codeforces Round 593 (Div. 2),Oct/17/2019 16:35,136,4,122,1892,Expert
44,Codeforces Round 594 (Div. 2),Oct/20/2019 12:05,116,4,59,1951,Candidate Master
45,Educational Codeforces Round 75 (Rated for Div. 2),Oct/24/2019 18:05,421,4,0,1951,Candidate Master
46,Codeforces Round 599 (Div. 1),Nov/06/2019 18:05,610,1,-33,1918,Candidate Master
47,Educational Codeforces Round 76 (Rated for Div. 2),Nov/13/2019 17:35,413,5,18,1936,Candidate Master
48,Codeforces Round 600 (Div. 2),Nov/16/2019 17:35,554,4,-4,1932,Candidate Master
49,Educational Codeforces Round 77 (Rated for Div. 2),Nov/27/2019 16:50,195,4,54,1986,Candidate Master
50,Codeforces Round 603 (Div. 2),Nov/29/2019 17:35,204,5,38,2024,Candidate Master
51,Codeforces Round 604 (Div. 1),Dec/05/2019 17:35,615,1,-58,1966,Candidate Master
52,"Codeforces Round 606 (Div. 1, based on Technocup 2020 Elimination Round 4)",Dec/14/2019 14:05,348,2,29,1995,Candidate Master
53,Codeforces Round 607 (Div. 1),Dec/15/2019 08:05,253,3,14,2009,Candidate Master
54,Codeforces Round 608 (Div. 2),Dec/15/2019 12:15,826,3,-58,1951,Candidate Master
55,Codeforces Global Round 6,Dec/17/2019 18:05,601,4,33,1984,Candidate Master
56,Educational Codeforces Round 78 (Rated for Div. 2),Dec/19/2019 17:35,292,4,18,2002,Candidate Master
57,Codeforces Round 609 (Div. 1),Dec/21/2019 14:05,527,1,-55,1947,Candidate Master
58,Codeforces Round 610 (Div. 2),Dec/24/2019 17:35,4457,1,-164,1783,Expert
59,Educational Codeforces Round 79 (Rated for Div. 2),Dec/27/2019 17:40,216,4,92,1875,Expert
60,Good Bye 2019,Dec/29/2019 17:05,729,4,58,1933,Candidate Master
61,Hello 2020,Jan/04/2020 15:05,3133,2,-88,1845,Expert
62,Codeforces Round 612 (Div. 2),Jan/05/2020 17:05,430,3,13,1858,Expert
63,Codeforces Round 613 (Div. 2),Jan/10/2020 17:05,753,4,-1,1857,Expert
64,Educational Codeforces Round 80 (Rated for Div. 2),Jan/14/2020 17:35,234,4,63,1920,Candidate Master
65,Codeforces Round 614 (Div. 1),Jan/19/2020 16:35,620,2,-9,1911,Candidate Master
66,Educational Codeforces Round 81 (Rated for Div. 2),Jan/29/2020 17:35,435,4,27,1938,Candidate Master
67,Codeforces Round 616 (Div. 1),Feb/02/2020 17:05,513,2,18,1956,Candidate Master
68,Codeforces Round 618 (Div. 1),Feb/09/2020 17:05,402,3,63,2019,Candidate Master
69,Educational Codeforces Round 82 (Rated for Div. 2),Feb/12/2020 17:35,123,5,71,2090,Candidate Master
70,Codeforces Round 620 (Div. 2),Feb/15/2020 16:05,343,5,-3,2087,Candidate Master
71,Codeforces Round 621 (Div. 1 + Div. 2),Feb/17/2020 18:35,1658,3,-81,2006,Candidate Master
72,Codeforces Round 622 (Div. 2),Feb/23/2020 12:05,114,4,71,2077,Candidate Master
73,"Codeforces Round 623 (Div. 1, based on VK Cup 2019-2020 - Elimination Round, Engine)",Feb/23/2020 19:05,315,1,-14,2063,Candidate Master
74,"Codeforces Round 625 (Div. 1, based on Technocup 2020 Final Round)",Mar/01/2020 16:15,718,2,-55,2008,Candidate Master
75,"Ozon Tech Challenge 2020 (Div.1 + Div.2, Rated, T-shirts + prizes!)",Mar/03/2020 17:35,1439,4,-38,1970,Candidate Master
76,CodeCraft-20 (Div. 2),Mar/04/2020 17:35,1031,3,-47,1923,Candidate Master
77,"Codeforces Round 626 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/07/2020 12:35,702,1,-57,1866,Expert
78,Codeforces Round 628 (Div. 2),Mar/14/2020 17:35,450,4,46,1912,Candidate Master
79,Codeforces Global Round 7,Mar/19/2020 17:35,1558,5,-2,1910,Candidate Master
80,Educational Codeforces Round 84 (Rated for Div. 2),Mar/23/2020 17:35,2074,3,-41,1869,Expert
81,Codeforces Round 630 (Div. 2),Mar/31/2020 16:35,287,5,92,1961,Candidate Master
82,"Codeforces Round 631 (Div. 1) - Thanks, Denis aramis Shitov!",Apr/03/2020 17:35,576,2,54,2015,Candidate Master
83,Codeforces Round 632 (Div. 2),Apr/08/2020 17:35,155,5,81,2096,Candidate Master
84,Educational Codeforces Round 85 (Rated for Div. 2),Apr/10/2020 17:35,332,4,21,2117,Master
85,Codeforces Round 633 (Div. 1),Apr/12/2020 17:05,678,2,-12,2105,Master
86,Codeforces Round 635 (Div. 1),Apr/15/2020 17:35,1149,2,-73,2032,Candidate Master
87,Educational Codeforces Round 86 (Rated for Div. 2),Apr/26/2020 17:35,211,4,64,2096,Candidate Master
88,Codeforces Round 638 (Div. 2),May/01/2020 17:35,1171,4,-44,2052,Candidate Master
89,Codeforces Round 641 (Div. 1),May/12/2020 15:35,571,3,23,2075,Candidate Master
90,Codeforces Round 643 (Div. 2),May/16/2020 14:35,567,4,-3,2072,Candidate Master
91,Educational Codeforces Round 87 (Rated for Div. 2),May/17/2020 12:20,242,5,27,2099,Candidate Master
92,Codeforces Round 645 (Div. 2),May/26/2020 17:35,85,5,81,2180,Master
93,Codeforces Global Round 8,Jun/18/2020 17:45,851,4,-10,2170,Master
94,Codeforces Global Round 9,Jul/04/2020 17:45,770,4,11,2181,Master
95,Codeforces Round 664 (Div. 1),Aug/12/2020 17:35,414,1,14,2195,Master
96,Codeforces Global Round 10,Aug/16/2020 17:35,1330,4,-67,2128,Master
97,Codeforces Round 666 (Div. 1),Aug/30/2020 17:35,773,2,-32,2096,Candidate Master
98,Codeforces Round 669 (Div. 2),Sep/08/2020 17:35,1302,3,-63,2033,Candidate Master
99,Codeforces Round 671 (Div. 2),Sep/19/2020 17:35,43,6,123,2156,Master
100,Codeforces Round 673 (Div. 1),Sep/27/2020 18:05,558,2,-24,2132,Master
101,Grakn Forces 2020,Sep/30/2020 17:35,891,4,-17,2115,Master
102,Codeforces Global Round 11,Oct/10/2020 17:50,849,4,-4,2111,Master
103,Codeforces Raif Round 1 (Div. 1 + Div. 2),Oct/17/2020 16:05,1147,4,-33,2078,Candidate Master
