#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 739 (Div. 3),Aug/18/2021 17:35,185,6,660,660,Newbie
2,Codeforces Round 760 (Div. 3),Dec/14/2021 17:35,991,5,357,1017,Newbie
3,Codeforces Round 762 (Div. 3),Dec/20/2021 17:35,10,7,481,1498,Specialist
4,Codeforces Round 768 (Div. 2),Jan/27/2022 17:35,811,3,159,1657,Expert
5,Codeforces Round 781 (Div. 2),Apr/08/2022 17:35,1707,2,45,1702,Expert
6,Codeforces Round 818 (Div. 2),Sep/02/2022 17:35,880,3,64,1766,Expert
7,Educational Codeforces Round 135 (Rated for Div. 2),Sep/08/2022 17:35,301,4,76,1842,Expert
8,Educational Codeforces Round 136 (Rated for Div. 2),Sep/29/2022 17:35,107,4,106,1948,Candidate Master
9,Codeforces Round 825 (Div. 2),Oct/10/2022 17:35,37,4,137,2085,Candidate Master
10,Educational Codeforces Round 138 (Rated for Div. 2),Oct/20/2022 17:35,99,4,46,2131,Master
