#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 53 (Rated for Div. 2),Oct/25/2018 17:35,3859,1,-96,1404,Specialist
2,Educational Codeforces Round 60 (Rated for Div. 2),Feb/18/2019 18:40,1465,2,55,1459,Specialist
3,Codeforces Round 540 (Div. 3),Feb/19/2019 17:35,1275,2,9,1468,Specialist
4,Educational Codeforces Round 73 (Rated for Div. 2),Sep/19/2019 17:35,2408,3,-22,1446,Specialist
5,"Codeforces Round 602 (Div. 2, based on Technocup 2020 Elimination Round 3)",Nov/24/2019 11:05,874,3,39,1485,Specialist
6,Codeforces Round 609 (Div. 2),Dec/21/2019 14:05,5302,1,-119,1366,Pupil
7,Codeforces Round 611 (Div. 3),Dec/28/2019 20:05,72,5,202,1568,Specialist
8,Codeforces Round 624 (Div. 3),Feb/24/2020 17:35,22,5,198,1766,Expert
9,Codeforces Round 670 (Div. 2),Sep/12/2020 16:45,5693,2,-116,1650,Expert
10,Codeforces Round 671 (Div. 2),Sep/19/2020 17:35,2271,4,-13,1637,Expert
11,Codeforces Round 672 (Div. 2),Sep/24/2020 17:35,875,4,71,1708,Expert
12,Codeforces Round 673 (Div. 2),Sep/27/2020 18:05,2728,2,-79,1629,Expert
13,Grakn Forces 2020,Sep/30/2020 17:35,4285,2,-75,1554,Specialist
14,Codeforces Round 675 (Div. 2),Oct/04/2020 19:05,1342,2,37,1591,Specialist
15,Codeforces Global Round 24,Nov/26/2022 17:05,1491,3,29,1620,Expert
16,Educational Codeforces Round 141 (Rated for Div. 2),Jan/08/2023 17:35,209,4,148,1768,Expert
17,Codeforces Round 843 (Div. 2),Jan/10/2023 14:15,79,6,159,1927,Candidate Master
18,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,310,5,119,2046,Candidate Master
19,Codeforces Round 845 (Div. 2) and ByteRace 2023,Jan/21/2023 17:35,98,5,51,2097,Candidate Master
20,Educational Codeforces Round 142 (Rated for Div. 2),Jan/24/2023 17:35,6726,1,-205,1892,Expert
21,Codeforces Round 848 (Div. 2),Feb/01/2023 17:35,14,5,194,2086,Candidate Master
22,Codeforces Round 852 (Div. 2),Feb/12/2023 11:35,607,4,-48,2038,Candidate Master
23,Educational Codeforces Round 143 (Rated for Div. 2),Feb/16/2023 17:35,30,5,115,2153,Master
