#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 188 (Div. 2),Jun/14/2013 19:30,170,3,163,1663,Expert
2,Codeforces Round 189 (Div. 2),Jun/23/2013 17:00,11,4,95,1758,Expert
3,Codeforces Round 190 (Div. 1),Jun/28/2013 19:30,148,2,98,1856,Expert
4,MemSQL start[c]up Round 1,Jul/13/2013 21:00,79,2,162,2018,Candidate Master
5,ABBYY Cup 3.0 - Finals (online version),Jul/17/2013 19:30,53,6,63,2081,Candidate Master
6,Codeforces Round 192 (Div. 1),Jul/20/2013 17:30,217,2,-54,2027,Candidate Master
7,Codeforces Round 194 (Div. 1),Jul/27/2013 12:30,31,3,124,2151,Master
8,MemSQL start[c]up Round 2 - online version,Aug/03/2013 21:00,115,2,-30,2121,Master
9,Codeforces Round 198 (Div. 1),Aug/30/2013 19:30,114,3,10,2131,Master
10,Codeforces Round 200 (Div. 1),Sep/14/2013 19:30,209,3,-58,2073,Candidate Master
11,Codeforces Round 202 (Div. 1),Sep/27/2013 19:30,172,1,-31,2042,Candidate Master
12,Codeforces Round 204 (Div. 1),Oct/04/2013 19:30,10,4,143,2185,Master
13,Codeforces Round 213 (Div. 1),Nov/19/2013 19:30,282,1,-89,2096,Candidate Master
14,Codeforces Round 215 (Div. 1),Nov/26/2013 19:30,194,2,-44,2052,Candidate Master
15,Codeforces Round 219 (Div. 1),Dec/13/2013 18:00,237,2,-41,2011,Candidate Master
16,Codeforces Round 221 (Div. 1),Dec/24/2013 18:00,284,1,-63,1948,Candidate Master
17,Codeforces Round 222 (Div. 1),Dec/29/2013 19:30,369,1,-60,1888,Expert
18,Codeforces Round 223 (Div. 1),Jan/12/2014 19:30,158,2,84,1972,Candidate Master
19,Codeforces Round 228 (Div. 1),Feb/03/2014 19:40,58,3,158,2130,Master
20,Codeforces Round 236 (Div. 1),Mar/16/2014 19:30,63,3,70,2200,Master
21,Codeforces Round 239 (Div. 1),Mar/30/2014 11:00,74,2,26,2226,Master
22,Codeforces Round 240 (Div. 1),Apr/06/2014 19:40,64,4,60,2286,Master
23,Codeforces Round 243 (Div. 1),Apr/27/2014 19:30,176,2,-71,2215,Master
24,Codeforces Round 245 (Div. 1),May/11/2014 19:40,38,3,88,2303,International Master
25,Codeforces Round 250 (Div. 1),Jun/01/2014 17:00,216,2,-80,2223,Master
26,Zepto Code Rush 2014,Jun/13/2014 19:30,13,4,146,2369,International Master
27,Codeforces Round 253 (Div. 1),Jun/19/2014 19:30,107,2,-62,2307,International Master
28,Codeforces Round 254 (Div. 1),Jul/06/2014 17:05,25,3,52,2359,International Master
29,Codeforces Round #FF (Div. 1),Jul/13/2014 17:00,60,2,4,2363,International Master
30,MemSQL Start[c]UP 2.0 - Round 1,Jul/27/2014 21:00,52,4,54,2417,Grandmaster
31,Codeforces Round 260 (Div. 1),Aug/08/2014 19:30,299,2,-108,2309,International Master
32,MemSQL Start[c]UP 2.0 - Round 2 - Online Round,Aug/10/2014 21:00,7,4,110,2419,Grandmaster
33,Codeforces Round 263 (Div. 1),Aug/26/2014 18:00,107,3,-55,2364,International Master
34,Codeforces Round 265 (Div. 1),Sep/07/2014 19:30,167,2,-70,2294,Master
35,Codeforces Round 272 (Div. 1),Oct/12/2014 18:00,8,4,115,2409,Grandmaster
36,Codeforces Round 275 (Div. 1),Oct/24/2014 21:00,36,2,30,2439,Grandmaster
37,Codeforces Round 278 (Div. 1),Nov/21/2014 20:20,35,2,27,2466,Grandmaster
38,Codeforces Round 282 (Div. 1),Dec/13/2014 19:30,81,2,-39,2427,Grandmaster
39,Codeforces Round 284 (Div. 1),Dec/24/2014 19:30,62,3,1,2428,Grandmaster
40,Good Bye 2014,Dec/30/2014 18:00,258,4,-112,2316,International Master
41,Codeforces Round 285 (Div. 1),Jan/12/2015 12:00,45,3,53,2369,International Master
42,Codeforces Round 286 (Div. 1),Jan/18/2015 16:00,79,2,9,2378,International Master
43,Codeforces Round 290 (Div. 1),Feb/02/2015 19:30,25,3,94,2472,Grandmaster
44,Rockethon 2015,Feb/07/2015 20:00,10,10,65,2537,Grandmaster
45,Codeforces Round 295 (Div. 1),Mar/02/2015 10:00,31,3,7,2544,Grandmaster
46,Codeforces Round 296 (Div. 1),Mar/17/2015 19:45,71,3,-45,2499,Grandmaster
47,VK Cup 2015 - Round 1,Mar/21/2015 17:00,10,6,49,2548,Grandmaster
48,ZeptoLab Code Rush 2015,Apr/04/2015 19:35,22,5,53,2601,International Grandmaster
49,Codeforces Round 299 (Div. 1),Apr/14/2015 19:35,9,3,46,2647,International Grandmaster
50,VK Cup 2015 - Round 2,Apr/17/2015 19:00,14,4,15,2662,International Grandmaster
51,Codeforces Round 300,Apr/26/2015 19:00,28,6,9,2671,International Grandmaster
52,VK Cup 2015 - Раунд 3,May/03/2015 19:00,11,4,16,2687,International Grandmaster
53,Looksery Cup 2015,Jun/06/2015 16:00,159,5,-73,2614,International Grandmaster
54,VK Cup 2015 - Finals,Jul/26/2015 11:15,12,5,-14,2600,International Grandmaster
55,Codeforces Round 317 [AimFund Thanks-Round] (Div. 1),Aug/22/2015 19:30,9,3,63,2663,International Grandmaster
56,8VC Venture Cup 2016 - Elimination Round,Feb/13/2016 20:35,128,5,-60,2603,International Grandmaster
57,8VC Venture Cup 2016 - Final Round,Feb/28/2016 21:10,53,3,-18,2585,Grandmaster
58,CROC 2016 - Elimination Round,Mar/18/2016 19:35,61,5,-32,2553,Grandmaster
59,IndiaHacks 2016 - Online Edition (Div. 1 + Div. 2),Mar/19/2016 11:35,102,4,-52,2501,Grandmaster
60,VK Cup 2016 - Round 1,Mar/28/2016 19:35,60,3,-42,2459,Grandmaster
61,"CROC 2016 - Final Round [Private, For Onsite Finalists Only]",Apr/15/2016 17:15,13,3,94,2553,Grandmaster
62,VK Cup 2016 - Round 2,Apr/24/2016 19:35,20,5,33,2586,Grandmaster
63,VK Cup 2016 - Round 3,May/07/2016 18:05,16,4,26,2612,International Grandmaster
64,Codeforces Round 352 (Div. 1),May/11/2016 19:35,18,3,62,2674,International Grandmaster
65,Codeforces Round 356 (Div. 1),Jun/08/2016 19:35,55,3,-21,2653,International Grandmaster
66,VK Cup 2016 - Finals,Jul/03/2016 11:20,4,4,115,2768,International Grandmaster
67,Codeforces Round 362 (Div. 1),Jul/14/2016 19:35,64,4,-64,2704,International Grandmaster
68,AIM Tech Round 3 (Div. 1),Aug/24/2016 19:35,43,3,-4,2700,International Grandmaster
69,Codeforces Round 371 (Div. 1),Sep/13/2016 19:35,50,3,-20,2680,International Grandmaster
70,Codeforces Round 372 (Div. 1),Sep/17/2016 16:45,62,2,-36,2644,International Grandmaster
71,"Intel Code Challenge Elimination Round (Div. 1 + Div. 2, combined)",Oct/01/2016 17:05,79,4,-22,2622,International Grandmaster
72,"Intel Code Challenge Final Round (Div. 1 + Div. 2, Combined)",Oct/08/2016 15:15,20,5,61,2683,International Grandmaster
73,Canada Cup 2016,Oct/22/2016 18:05,67,4,-26,2657,International Grandmaster
74,Tinkoff Challenge - Elimination Round,Apr/23/2017 19:45,106,3,-52,2605,International Grandmaster
75,Codeforces Round 411 (Div. 1),May/04/2017 17:50,255,2,-118,2487,Grandmaster
76,"Codeforces Round 412 (rated, Div. 1, based on VK Cup 2017 Round 3)",May/07/2017 18:45,21,4,99,2586,Grandmaster
77,"Playrix Codescapes Cup (Codeforces Round 413, rated, Div. 1 + Div. 2)",May/11/2017 18:35,202,4,-75,2511,Grandmaster
78,"Tinkoff Challenge - Final Round (Codeforces Round 414, rated, Div. 1 + Div. 2)",May/13/2017 12:35,17,5,112,2623,International Grandmaster
79,Codeforces Round 415 (Div. 1),May/20/2017 21:05,17,3,67,2690,International Grandmaster
80,"Codeforces Round 423 (Div. 1, rated, based on VK Cup Finals)",Jul/11/2017 19:45,25,4,20,2710,International Grandmaster
81,Codeforces Round 429 (Div. 1),Aug/18/2017 18:05,153,2,-108,2602,International Grandmaster
82,AIM Tech Round 4 (Div. 1),Aug/24/2017 19:35,23,3,69,2671,International Grandmaster
83,Codeforces Round 431 (Div. 1),Sep/01/2017 16:35,80,2,-48,2623,International Grandmaster
84,"Codeforces Round 432 (Div. 1, based on IndiaHacks Final Round 2017)",Sep/04/2017 17:35,40,3,-7,2616,International Grandmaster
85,MemSQL Start[c]UP 3.0 - Round 1,Sep/16/2017 20:35,19,6,77,2693,International Grandmaster
86,"Manthan, Codefest 17",Sep/24/2017 17:35,56,4,-30,2663,International Grandmaster
87,Codeforces Round 453 (Div. 1),Dec/19/2017 18:35,12,4,59,2722,International Grandmaster
88,"Codeforces Round 472 (rated, Div. 1, based on VK Cup 2018 Round 2)",Mar/24/2018 18:35,338,2,-201,2521,Grandmaster
89,"Divide by Zero 2018 and Codeforces Round 474 (Div. 1 + Div. 2, combined)",Apr/07/2018 19:05,57,6,8,2529,Grandmaster
90,"Codeforces Round 596 (Div. 1, based on Technocup 2020 Elimination Round 2)",Oct/26/2019 14:05,97,3,-11,2518,Grandmaster
91,Codeforces Round 599 (Div. 1),Nov/06/2019 18:05,99,3,14,2532,Grandmaster
92,VK Cup 2019-2020 - Elimination Round (Engine),Feb/23/2020 19:05,33,3,39,2571,Grandmaster
93,"Codeforces Round 631 (Div. 1) - Thanks, Denis aramis Shitov!",Apr/03/2020 17:35,114,3,23,2594,Grandmaster
94,Codeforces Round 633 (Div. 1),Apr/12/2020 17:05,238,3,-43,2551,Grandmaster
95,Codeforces Round 635 (Div. 1),Apr/15/2020 17:35,101,4,36,2587,Grandmaster
96,Codeforces Round 641 (Div. 1),May/12/2020 15:35,111,3,15,2602,International Grandmaster
97,"Codeforces Round 647 (Div. 1) - Thanks, Algo Muse!",Jun/04/2020 17:35,80,3,24,2626,International Grandmaster
98,Codeforces Global Round 8,Jun/18/2020 17:45,646,4,-99,2527,Grandmaster
99,Codeforces Global Round 10,Aug/16/2020 17:35,392,5,-52,2475,Grandmaster
100,Codeforces Round 668 (Div. 1),Sep/06/2020 17:35,95,4,46,2521,Grandmaster
101,Codeforces Round 673 (Div. 1),Sep/27/2020 18:05,102,4,23,2544,Grandmaster
102,Grakn Forces 2020,Sep/30/2020 17:35,183,5,-1,2543,Grandmaster
103,Codeforces Global Round 11,Oct/10/2020 17:50,183,5,8,2551,Grandmaster
104,Codeforces Raif Round 1 (Div. 1 + Div. 2),Oct/17/2020 16:05,163,6,7,2558,Grandmaster
105,"Codeforces Round 683 (Div. 1, by Meet IT)",Nov/15/2020 17:35,30,5,111,2669,International Grandmaster
106,Codeforces Round 684 (Div. 1),Nov/17/2020 17:35,119,3,-17,2652,International Grandmaster
107,Codeforces Global Round 12,Dec/06/2020 17:35,29,8,104,2756,International Grandmaster
108,Codeforces Round 691 (Div. 1),Dec/19/2020 12:35,17,4,87,2843,International Grandmaster
109,"Codeforces Round 692 (Div. 1, based on Technocup 2021 Elimination Round 3)",Dec/20/2020 18:05,91,3,-48,2795,International Grandmaster
110,Good Bye 2020,Dec/30/2020 17:35,118,7,-17,2778,International Grandmaster
111,Codeforces Round 698 (Div. 1),Jan/28/2021 17:35,35,4,47,2825,International Grandmaster
112,Codeforces Global Round 13,Feb/28/2021 16:35,57,6,24,2849,International Grandmaster
113,"Codeforces Round 709 (Div. 1, based on Technocup 2021 Final Round)",Mar/21/2021 16:20,196,4,-97,2752,International Grandmaster
114,Codeforces Round 712 (Div. 1),Apr/03/2021 17:35,152,3,-50,2702,International Grandmaster
115,Codeforces Round 715 (Div. 1),Apr/16/2021 17:35,23,4,90,2792,International Grandmaster
116,Contest 2050 and Codeforces Round 718 (Div. 1 + Div. 2),Apr/23/2021 17:35,57,5,27,2819,International Grandmaster
117,Codeforces Round 722 (Div. 1),May/24/2021 17:35,310,3,-121,2698,International Grandmaster
118,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,77,5,33,2731,International Grandmaster
119,Codeforces LATOKEN Round 1 (Div. 1 + Div. 2),Jun/13/2021 18:35,171,6,-46,2685,International Grandmaster
120,Codeforces Round 728 (Div. 1),Jun/25/2021 18:35,50,4,33,2718,International Grandmaster
121,"Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)",Jul/22/2021 17:35,85,7,0,2718,International Grandmaster
122,Codeforces Global Round 15,Jul/25/2021 17:35,91,6,16,2734,International Grandmaster
123,"Codeforces Round 740 (Div. 1, based on VK Cup 2021 - Final (Engine))",Aug/24/2021 17:35,343,3,-110,2624,International Grandmaster
124,Codeforces Global Round 16,Sep/12/2021 17:35,171,7,-10,2614,International Grandmaster
125,Codeforces Round 745 (Div. 1),Sep/30/2021 13:15,440,1,-141,2473,Grandmaster
126,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,127,6,36,2509,Grandmaster
127,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Nov/28/2021 17:35,165,5,16,2525,Grandmaster
128,Codeforces Round 767 (Div. 1),Jan/22/2022 17:35,80,5,64,2589,Grandmaster
129,Codeforces Round 773 (Div. 1),Feb/23/2022 13:10,184,3,-24,2565,Grandmaster
130,"Codeforces Round 775 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/06/2022 12:55,557,2,-125,2440,Grandmaster
131,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,521,4,-63,2377,International Master
132,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,83,6,112,2489,Grandmaster
133,Codeforces Round 783 (Div. 1),Apr/19/2022 17:35,170,3,5,2494,Grandmaster
134,Codeforces Round 789 (Div. 1),May/08/2022 17:35,107,4,36,2530,Grandmaster
135,Codeforces Round 792 (Div. 1 + Div. 2),May/19/2022 17:35,174,5,2,2532,Grandmaster
136,Codeforces Round 794 (Div. 1),May/25/2022 20:35,32,4,104,2636,International Grandmaster
137,Codeforces Round 796 (Div. 1),Jun/03/2022 17:35,76,3,26,2662,International Grandmaster
138,Codeforces Round 800 (Div. 1),Jun/16/2022 17:35,110,3,0,2662,International Grandmaster
139,Codeforces Global Round 21,Jun/25/2022 17:35,83,6,40,2702,International Grandmaster
140,Codeforces Round 808 (Div. 1),Jul/16/2022 17:35,92,3,-5,2697,International Grandmaster
141,Codeforces Round 814 (Div. 1),Aug/16/2022 17:35,81,4,5,2702,International Grandmaster
142,Codeforces Global Round 22,Sep/30/2022 17:35,115,6,-7,2695,International Grandmaster
143,Dytechlab Cup 2022,Oct/07/2022 17:35,113,5,-5,2690,International Grandmaster
144,Codeforces Round 831 (Div. 1 + Div. 2),Oct/29/2022 12:10,63,6,3,2693,International Grandmaster
145,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,54,6,40,2733,International Grandmaster
146,Pinely Round 1 (Div. 1 + Div. 2),Nov/20/2022 17:35,198,5,-65,2668,International Grandmaster
147,"Polynomial Round 2022 (Div. 1 + Div. 2, Rated, Prizes!)",Dec/17/2022 17:35,95,6,9,2677,International Grandmaster
148,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,706,4,-110,2567,Grandmaster
149,VK Cup 2022 - Отборочный раунд (Engine),Jan/15/2023 15:05,46,5,-21,2546,Grandmaster
150,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",Jan/29/2023 17:35,143,6,24,2570,Grandmaster
