#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 627 (Div. 3),Mar/12/2020 16:05,3768,3,-54,1446,Specialist
2,Codeforces Round 628 (Div. 2),Mar/14/2020 17:35,2561,3,38,1484,Specialist
3,Codeforces Global Round 7,Mar/19/2020 17:35,8172,2,-84,1400,Specialist
4,Educational Codeforces Round 84 (Rated for Div. 2),Mar/23/2020 17:35,5453,2,6,1406,Specialist
5,Codeforces Round 629 (Div. 3),Mar/26/2020 17:35,8056,2,-48,1358,Pupil
6,Codeforces Round 630 (Div. 2),Mar/31/2020 16:35,5934,2,9,1367,Pupil
7,"Codeforces Round 631 (Div. 2) - Thanks, Denis aramis Shitov!",Apr/03/2020 17:35,5789,1,-12,1355,Pupil
8,Codeforces Round 632 (Div. 2),Apr/08/2020 17:35,947,3,183,1538,Specialist
9,Educational Codeforces Round 85 (Rated for Div. 2),Apr/10/2020 17:35,3970,3,10,1548,Specialist
10,Codeforces Round 633 (Div. 2),Apr/12/2020 17:05,10935,1,-125,1423,Specialist
11,Codeforces Round 634 (Div. 3),Apr/13/2020 17:35,2417,4,40,1463,Specialist
12,Codeforces Round 635 (Div. 2),Apr/15/2020 17:35,2914,3,44,1507,Specialist
13,Codeforces Round 636 (Div. 3),Apr/21/2020 17:35,640,4,91,1598,Specialist
14,"Codeforces Round 637 (Div. 2) - Thanks, Ivan Belonogov!",Apr/23/2020 17:45,1891,3,43,1641,Expert
15,Educational Codeforces Round 86 (Rated for Div. 2),Apr/26/2020 17:35,6895,2,-64,1577,Specialist
16,Codeforces Round 638 (Div. 2),May/01/2020 17:35,5805,2,-34,1543,Specialist
17,Codeforces Round 641 (Div. 2),May/12/2020 15:35,4005,2,-16,1527,Specialist
18,Codeforces Round 642 (Div. 3),May/14/2020 17:35,595,4,83,1610,Expert
19,Codeforces Round 643 (Div. 2),May/16/2020 14:35,5261,2,-44,1566,Specialist
20,Educational Codeforces Round 87 (Rated for Div. 2),May/17/2020 12:20,4573,3,-37,1529,Specialist
21,Codeforces Round 644 (Div. 3),May/24/2020 16:35,2097,5,-2,1527,Specialist
22,Codeforces Round 646 (Div. 2),May/31/2020 17:35,3577,3,20,1547,Specialist
23,"Codeforces Round 647 (Div. 2) - Thanks, Algo Muse!",Jun/04/2020 17:35,1310,4,66,1613,Expert
24,Educational Codeforces Round 89 (Rated for Div. 2),Jun/11/2020 17:35,1816,3,35,1648,Expert
25,Codeforces Round 649 (Div. 2),Jun/13/2020 18:05,2680,3,-3,1645,Expert
26,Codeforces Global Round 8,Jun/18/2020 17:45,1189,4,106,1751,Expert
