#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 290 (Div. 2),Feb/02/2015 19:30,2781,0,-103,1397,Pupil
2,Codeforces Round 328 (Div. 2),Oct/31/2015 19:30,1294,2,32,1429,Specialist
3,Codeforces Round 350 (Div. 2),May/05/2016 19:05,1664,3,-21,1408,Specialist
4,Codeforces Round 360 (Div. 2),Jun/29/2016 20:05,487,3,104,1512,Specialist
5,Codeforces Round 385 (Div. 2),Dec/17/2016 19:35,603,3,61,1573,Specialist
6,Codeforces Round 388 (Div. 2),Dec/19/2016 19:35,358,3,66,1639,Expert
7,Good Bye 2016,Dec/30/2016 17:15,2764,2,-28,1611,Expert
8,Codeforces Round 390 (Div. 2),Jan/06/2017 17:35,1939,1,-52,1559,Specialist
9,Codeforces Round 392 (Div. 2),Jan/19/2017 18:05,169,3,130,1689,Expert
10,Codeforces Round 393 (Div. 2) (8VC Venture Cup 2017 - Final Round Div. 2 Edition),Jan/22/2017 21:15,498,3,5,1694,Expert
11,Codeforces Round 396 (Div. 2),Feb/07/2017 20:05,230,3,65,1759,Expert
12,Codeforces Round 398 (Div. 2),Feb/18/2017 12:05,1918,1,-95,1664,Expert
13,"Divide by Zero 2017 and Codeforces Round 399 (Div. 1 + Div. 2, combined)",Feb/20/2017 19:05,1295,2,7,1671,Expert
14,Tinkoff Challenge - Elimination Round,Apr/23/2017 19:45,382,3,98,1769,Expert
15,Codeforces Round 425 (Div. 2),Jul/24/2017 17:35,139,3,83,1852,Expert
16,Codeforces Round 426 (Div. 2),Jul/30/2017 17:35,787,2,-38,1814,Expert
17,Codeforces Round 427 (Div. 2),Jul/31/2017 17:35,40,4,124,1938,Candidate Master
18,Codeforces Round 429 (Div. 1),Aug/18/2017 18:05,350,1,-10,1928,Candidate Master
19,Codeforces Round 431 (Div. 1),Sep/01/2017 16:35,526,1,-58,1870,Expert
20,"Codeforces Round 433 (Div. 2, based on Olympiad of Metropolises)",Sep/06/2017 15:55,1435,2,-93,1777,Expert
21,MemSQL Start[c]UP 3.0 - Round 1,Sep/16/2017 20:35,772,3,-14,1763,Expert
22,Codeforces Round 435 (Div. 2),Sep/19/2017 18:05,467,2,5,1768,Expert
23,"Manthan, Codefest 17",Sep/24/2017 17:35,739,2,3,1771,Expert
24,"Codeforces Round 440 (Div. 2, based on Technocup 2018 Elimination Round 2)",Oct/15/2017 11:05,149,3,54,1825,Expert
25,Codeforces Round 442 (Div. 2),Oct/23/2017 18:45,845,2,-36,1789,Expert
26,Codeforces Round 447 (Div. 2),Nov/19/2017 16:55,80,2,92,1881,Expert
27,Codeforces Round 448 (Div. 2),Nov/26/2017 19:05,121,2,47,1928,Candidate Master
28,Codeforces Round 453 (Div. 1),Dec/19/2017 18:35,154,2,73,2001,Candidate Master
29,"Codeforces Round 454 (Div. 1, based on Technocup 2018 Elimination Round 4)",Dec/23/2017 17:05,251,2,17,2018,Candidate Master
30,"ICM Technex 2018 and Codeforces Round 463 (Div. 1 + Div. 2, combined)",Feb/15/2018 17:35,116,4,103,2121,Master
31,VK Cup 2018 - Round 1,Mar/10/2018 18:35,201,3,-29,2092,Candidate Master
32,VK Cup 2018 - Round 2,Mar/24/2018 18:35,84,3,69,2161,Master
33,Tinkoff Internship Warmup Round 2018 and Codeforces Round 475 (Div. 1),Apr/17/2018 17:05,425,0,-109,2052,Candidate Master
34,VK Cup 2018 - Round 3,Apr/29/2018 16:15,87,2,-61,1991,Candidate Master
35,Codeforces Round 480 (Div. 2),May/08/2018 18:05,34,4,116,2107,Master
36,"Codeforces Round 483 (Div. 1) [Thanks, Botan Investments and Victor Shaburov!]",May/15/2018 17:45,345,2,-43,2064,Candidate Master
