#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 75 (Rated for Div. 2),Oct/24/2019 18:05,2552,2,-17,1483,Specialist
2,Educational Codeforces Round 77 (Rated for Div. 2),Nov/27/2019 16:50,1415,3,45,1528,Specialist
3,Codeforces Round 612 (Div. 2),Jan/05/2020 17:05,1641,2,11,1539,Specialist
4,Codeforces Round 614 (Div. 2),Jan/19/2020 16:35,386,4,116,1655,Expert
5,Educational Codeforces Round 81 (Rated for Div. 2),Jan/29/2020 17:35,2259,2,-15,1640,Expert
6,Codeforces Round 616 (Div. 2),Feb/02/2020 17:05,1456,3,9,1649,Expert
7,Codeforces Round 618 (Div. 2),Feb/09/2020 17:05,222,4,120,1769,Expert
8,Educational Codeforces Round 82 (Rated for Div. 2),Feb/12/2020 17:35,1934,3,-26,1743,Expert
9,Codeforces Round 620 (Div. 2),Feb/15/2020 16:05,1227,4,10,1753,Expert
10,CodeCraft-20 (Div. 2),Mar/04/2020 17:35,858,3,20,1773,Expert
11,"Codeforces Round 626 (Div. 2, based on Moscow Open Olympiad in Informatics)",Mar/07/2020 12:35,349,3,38,1811,Expert
12,Educational Codeforces Round 83 (Rated for Div. 2),Mar/09/2020 17:35,2045,3,-50,1761,Expert
13,Codeforces Round 628 (Div. 2),Mar/14/2020 17:35,456,4,76,1837,Expert
14,Codeforces Global Round 7,Mar/19/2020 17:35,2346,4,-20,1817,Expert
15,Educational Codeforces Round 84 (Rated for Div. 2),Mar/23/2020 17:35,560,4,65,1882,Expert
16,Codeforces Round 630 (Div. 2),Mar/31/2020 16:35,324,5,81,1963,Candidate Master
17,"Codeforces Round 631 (Div. 1) - Thanks, Denis aramis Shitov!",Apr/03/2020 17:35,529,2,63,2026,Candidate Master
18,Codeforces Round 632 (Div. 2),Apr/08/2020 17:35,1589,3,-49,1977,Candidate Master
19,Educational Codeforces Round 85 (Rated for Div. 2),Apr/10/2020 17:35,1691,3,-38,1939,Candidate Master
20,Codeforces Round 633 (Div. 1),Apr/12/2020 17:05,500,3,76,2015,Candidate Master
21,Codeforces Round 635 (Div. 1),Apr/15/2020 17:35,572,3,41,2056,Candidate Master
22,Educational Codeforces Round 86 (Rated for Div. 2),Apr/26/2020 17:35,2317,3,-73,1983,Candidate Master
23,Codeforces Round 638 (Div. 2),May/01/2020 17:35,129,4,100,2083,Candidate Master
24,Codeforces Round 641 (Div. 1),May/12/2020 15:35,430,3,45,2128,Master
25,"Codeforces Round 647 (Div. 1) - Thanks, Algo Muse!",Jun/04/2020 17:35,528,2,-1,2127,Master
26,Codeforces Global Round 8,Jun/18/2020 17:45,219,5,103,2230,Master
27,Codeforces Global Round 9,Jul/04/2020 17:45,346,5,55,2285,Master
28,Codeforces Round 658 (Div. 1),Jul/21/2020 17:35,1283,2,-122,2163,Master
29,Codeforces Round 659 (Div. 1),Jul/24/2020 17:35,330,2,42,2205,Master
30,Codeforces Round 664 (Div. 1),Aug/12/2020 17:35,763,1,-58,2147,Master
31,Codeforces Global Round 10,Aug/16/2020 17:35,282,6,69,2216,Master
32,Codeforces Round 666 (Div. 1),Aug/30/2020 17:35,530,2,-12,2204,Master
33,Codeforces Round 673 (Div. 1),Sep/27/2020 18:05,543,2,-33,2171,Master
34,Grakn Forces 2020,Sep/30/2020 17:35,368,5,46,2217,Master
35,Codeforces Global Round 11,Oct/10/2020 17:50,319,4,52,2269,Master
36,Codeforces Raif Round 1 (Div. 1 + Div. 2),Oct/17/2020 16:05,2924,3,-159,2110,Master
37,"Codeforces Round 681 (Div. 1, based on VK Cup 2019-2020 - Final)",Nov/02/2020 17:35,114,3,134,2244,Master
38,"Codeforces Round 683 (Div. 1, by Meet IT)",Nov/15/2020 17:35,381,3,-13,2231,Master
39,Codeforces Round 684 (Div. 1),Nov/17/2020 17:35,616,2,-61,2170,Master
40,"Codeforces Round 687 (Div. 1, based on Technocup 2021 Elimination Round 2)",Nov/29/2020 10:05,354,2,9,2179,Master
41,"Codeforces Round 692 (Div. 1, based on Technocup 2021 Elimination Round 3)",Dec/20/2020 18:05,369,2,-3,2176,Master
42,Codeforces Round 694 (Div. 1),Jan/05/2021 17:35,636,2,-44,2132,Master
43,Codeforces Round 698 (Div. 1),Jan/28/2021 17:35,264,3,50,2182,Master
44,Codeforces Round 700 (Div. 1),Feb/07/2021 17:35,170,4,102,2284,Master
45,Codeforces Global Round 13,Feb/28/2021 16:35,604,4,-10,2274,Master
46,Codeforces Round 706 (Div. 1),Mar/10/2021 15:05,423,2,-7,2267,Master
47,"Codeforces Round 709 (Div. 1, based on Technocup 2021 Final Round)",Mar/21/2021 16:20,422,3,-23,2244,Master
48,Codeforces Round 715 (Div. 1),Apr/16/2021 17:35,814,1,-100,2144,Master
49,Contest 2050 and Codeforces Round 718 (Div. 1 + Div. 2),Apr/23/2021 17:35,133,5,137,2281,Master
50,Codeforces LATOKEN Round 1 (Div. 1 + Div. 2),Jun/13/2021 18:35,263,5,32,2313,International Master
51,Codeforces Round 732 (Div. 1),Jul/11/2021 17:05,64,3,134,2447,Grandmaster
52,"Codeforces Round 733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))",Jul/17/2021 17:35,283,5,-15,2432,Grandmaster
53,"Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)",Jul/22/2021 17:35,796,4,-90,2342,International Master
54,Codeforces Global Round 15,Jul/25/2021 17:35,380,5,1,2343,International Master
55,Codeforces Round 736 (Div. 1),Aug/01/2021 17:35,115,4,91,2434,Grandmaster
56,"Deltix Round, Summer 2021 (open for everyone, rated, Div. 1 + Div. 2)",Aug/29/2021 17:35,1241,4,-122,2312,International Master
57,Codeforces Round 745 (Div. 1),Sep/30/2021 13:15,515,0,-121,2191,Master
58,Codeforces Round 752 (Div. 1),Oct/30/2021 17:35,363,3,25,2216,Master
59,"Codeforces Round 755 (Div. 1, based on Technocup 2022 Elimination Round 2)",Nov/14/2021 09:05,225,3,21,2237,Master
60,Codeforces Global Round 17,Nov/23/2021 17:35,98,5,125,2362,International Master
61,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Nov/28/2021 17:35,716,4,-71,2291,Master
62,Codeforces Global Round 18,Dec/24/2021 17:35,113,5,105,2396,International Master
63,Hello 2022,Jan/03/2022 17:35,146,5,67,2463,Grandmaster
64,Codeforces Round 767 (Div. 1),Jan/22/2022 17:35,689,2,-111,2352,International Master
65,Codeforces Round 768 (Div. 1),Jan/27/2022 17:35,136,4,60,2412,Grandmaster
66,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,611,4,-53,2359,International Master
67,Codeforces Round 783 (Div. 1),Apr/19/2022 17:35,137,3,58,2417,Grandmaster
68,Codeforces Round 792 (Div. 1 + Div. 2),May/19/2022 17:35,173,5,31,2448,Grandmaster
69,Codeforces Round 796 (Div. 1),Jun/03/2022 17:35,206,3,-13,2435,Grandmaster
70,Codeforces Round 800 (Div. 1),Jun/16/2022 17:35,279,3,-30,2405,Grandmaster
71,Codeforces Global Round 21,Jun/25/2022 17:35,279,5,11,2416,Grandmaster
72,Codeforces Round 808 (Div. 1),Jul/16/2022 17:35,113,3,53,2469,Grandmaster
73,Codeforces Global Round 22,Sep/30/2022 17:35,144,6,36,2505,Grandmaster
74,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,70,5,72,2577,Grandmaster
75,Pinely Round 1 (Div. 1 + Div. 2),Nov/20/2022 17:35,902,3,-148,2429,Grandmaster
76,Codeforces Global Round 24,Nov/26/2022 17:05,235,5,-5,2424,Grandmaster
77,"Polynomial Round 2022 (Div. 1 + Div. 2, Rated, Prizes!)",Dec/17/2022 17:35,594,5,-69,2355,International Master
78,Hello 2023,Jan/03/2023 17:35,2134,4,-146,2209,Master
79,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,289,5,46,2255,Master
80,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",Jan/29/2023 17:35,652,4,-29,2226,Master
81,"Codeforces Round 850 (Div. 1, based on VK Cup 2022 - Final Round)",Feb/05/2023 15:05,115,4,122,2348,International Master
