#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 205 (Div. 2),Oct/10/2013 19:30,1311,1,-80,1420,Specialist
2,Codeforces Round 206 (Div. 2),Oct/13/2013 19:30,1087,2,-65,1355,Pupil
3,Codeforces Round 207 (Div. 2),Oct/15/2013 16:00,1519,0,-88,1267,Pupil
4,Codeforces Round 208 (Div. 2),Oct/25/2013 19:30,726,1,115,1382,Pupil
5,Codeforces Round 209 (Div. 2),Nov/02/2013 12:00,343,2,87,1469,Specialist
6,Codeforces Round 210 (Div. 2),Nov/10/2013 21:00,143,2,143,1612,Expert
7,Codeforces Round 211 (Div. 2),Nov/11/2013 12:00,692,2,-88,1524,Specialist
8,Codeforces Round 212 (Div. 2),Nov/14/2013 19:30,735,1,-60,1464,Specialist
9,Codeforces Round 213 (Div. 2),Nov/19/2013 19:30,945,2,-64,1400,Specialist
10,Codeforces Round 214 (Div. 2),Nov/24/2013 19:30,691,2,8,1408,Specialist
11,Codeforces Round 215 (Div. 2),Nov/26/2013 19:30,926,2,-39,1369,Pupil
12,Codeforces Round 216 (Div. 2),Nov/29/2013 19:30,845,2,34,1403,Specialist
13,Codeforces Round 217 (Div. 2),Dec/07/2013 11:00,505,2,2,1405,Specialist
14,Codeforces Round 218 (Div. 2),Dec/08/2013 13:00,318,2,102,1507,Specialist
15,Codeforces Round 219 (Div. 2),Dec/13/2013 18:00,226,2,102,1609,Expert
16,Codeforces Round 221 (Div. 2),Dec/24/2013 18:00,511,2,-60,1549,Specialist
17,Codeforces Round 223 (Div. 2),Jan/12/2014 19:30,620,2,-45,1504,Specialist
18,Codeforces Round 224 (Div. 2),Jan/17/2014 19:30,392,2,87,1591,Specialist
19,Codeforces Round 225 (Div. 2),Jan/20/2014 19:30,480,2,-31,1560,Specialist
20,Codeforces Round 226 (Div. 2),Jan/24/2014 19:35,439,2,24,1584,Specialist
21,Codeforces Round 227 (Div. 2),Jan/30/2014 19:30,454,2,-16,1568,Specialist
22,Codeforces Round 228 (Div. 2),Feb/03/2014 19:40,1083,2,-95,1473,Specialist
23,Codeforces Round 236 (Div. 2),Mar/16/2014 19:30,515,2,36,1509,Specialist
24,Codeforces Round 237 (Div. 2),Mar/19/2014 19:30,690,2,-28,1481,Specialist
25,Coder-Strike 2014 - Round 1,Apr/18/2014 20:10,653,2,-66,1415,Specialist
26,Codeforces Round 243 (Div. 2),Apr/27/2014 19:30,813,2,-37,1378,Pupil
27,Codeforces Round 244 (Div. 2),May/02/2014 19:30,530,2,113,1491,Specialist
28,Codeforces Round 245 (Div. 2),May/11/2014 19:40,793,1,-68,1423,Specialist
29,Codeforces Round 246 (Div. 2),May/15/2014 19:30,305,2,145,1568,Specialist
30,Codeforces Round 247 (Div. 2),May/21/2014 19:30,864,2,-76,1492,Specialist
31,Codeforces Round 248 (Div. 2),May/24/2014 11:00,432,2,14,1506,Specialist
32,Codeforces Round 249 (Div. 2),May/30/2014 19:30,564,2,1,1507,Specialist
33,Codeforces Round 251 (Div. 2),Jun/04/2014 19:30,368,2,83,1590,Specialist
34,Codeforces Round 252 (Div. 2),Jun/08/2014 19:30,588,2,-63,1527,Specialist
35,Codeforces Round 253 (Div. 2),Jun/19/2014 19:30,219,2,103,1630,Expert
36,Codeforces Round 254 (Div. 2),Jul/06/2014 17:05,595,2,-68,1562,Specialist
37,Codeforces Round 259 (Div. 2),Aug/01/2014 19:30,540,2,0,1562,Specialist
38,Codeforces Round 260 (Div. 2),Aug/08/2014 19:30,354,3,79,1641,Expert
39,MemSQL Start[c]UP 2.0 - Round 2 - Online Round,Aug/10/2014 21:00,310,1,97,1738,Expert
40,Codeforces Round 270,Sep/28/2014 19:35,1054,3,-3,1735,Expert
41,Bayan 2015 Contest Warm Up,Oct/05/2014 17:00,1249,2,-96,1639,Expert
42,Codeforces Round 271 (Div. 2),Oct/06/2014 19:30,142,4,81,1720,Expert
43,Codeforces Round 272 (Div. 1),Oct/12/2014 18:00,524,1,26,1746,Expert
44,Codeforces Round 275 (Div. 1),Oct/24/2014 21:00,517,1,-15,1731,Expert
45,Codeforces Round 278 (Div. 1),Nov/21/2014 20:20,562,0,-65,1666,Expert
46,Codeforces Round 279 (Div. 2),Nov/23/2014 12:10,22,4,100,1766,Expert
47,Codeforces Round 282 (Div. 1),Dec/13/2014 19:30,985,0,-93,1673,Expert
48,Codeforces Round 283 (Div. 2),Dec/17/2014 19:30,56,3,89,1762,Expert
49,Codeforces Round 284 (Div. 1),Dec/24/2014 19:30,505,1,-25,1737,Expert
50,Codeforces Round 290 (Div. 1),Feb/02/2015 19:30,844,1,-64,1673,Expert
51,Rockethon 2015,Feb/07/2015 20:00,424,5,195,1868,Expert
