#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 521 (Div. 3),Nov/16/2018 17:35,194,5,100,1600,Expert
2,Codeforces Round 524 (Div. 2),Nov/24/2018 10:35,1492,2,-34,1566,Specialist
3,Codeforces Round 529 (Div. 3),Dec/27/2018 17:35,25,6,182,1748,Expert
4,Educational Codeforces Round 57 (Rated for Div. 2),Dec/28/2018 17:35,341,4,61,1809,Expert
5,Codeforces Round 534 (Div. 2),Jan/22/2019 17:35,122,4,84,1893,Expert
6,Codeforces Round 538 (Div. 2),Feb/10/2019 17:05,124,5,92,1985,Candidate Master
7,Codeforces Round 541 (Div. 2),Feb/23/2019 13:20,449,4,-16,1969,Candidate Master
8,Codeforces Global Round 2,Apr/06/2019 14:35,857,5,-10,1959,Candidate Master
9,Codeforces Round 551 (Div. 2),Apr/13/2019 17:05,116,5,70,2029,Candidate Master
10,Codeforces Global Round 3,Jun/01/2019 17:35,384,4,38,2067,Candidate Master
11,Codeforces Round 572 (Div. 1),Jul/05/2019 18:05,171,1,61,2128,Master
12,Codeforces Round 573 (Div. 1),Jul/12/2019 17:35,419,3,-38,2090,Candidate Master
13,Codeforces Round 574 (Div. 2),Jul/17/2019 17:35,57,6,71,2161,Master
14,Codeforces Round 580 (Div. 1),Aug/18/2019 16:45,556,1,-66,2095,Candidate Master
15,Educational Codeforces Round 72 (Rated for Div. 2),Sep/05/2019 17:35,26,5,124,2219,Master
16,"Codeforces Round 596 (Div. 1, based on Technocup 2020 Elimination Round 2)",Oct/26/2019 14:05,425,2,-65,2154,Master
17,Codeforces Round 612 (Div. 1),Jan/05/2020 17:05,554,2,-50,2104,Master
18,Codeforces Round 618 (Div. 1),Feb/09/2020 17:05,234,3,72,2176,Master
19,Codeforces Round 658 (Div. 1),Jul/21/2020 17:35,823,3,-50,2126,Master
20,Codeforces Round 664 (Div. 1),Aug/12/2020 17:35,179,2,104,2230,Master
21,Codeforces Global Round 10,Aug/16/2020 17:35,244,6,56,2286,Master
22,Codeforces Round 698 (Div. 1),Jan/28/2021 17:35,121,3,78,2364,International Master
23,Codeforces Round 700 (Div. 1),Feb/07/2021 17:35,845,1,-100,2264,Master
24,Codeforces Global Round 13,Feb/28/2021 16:35,135,5,111,2375,International Master
25,"Codeforces Round 709 (Div. 1, based on Technocup 2021 Final Round)",Mar/21/2021 16:20,338,3,-28,2347,International Master
26,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,370,4,3,2350,International Master
27,"Codeforces Round 733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))",Jul/17/2021 17:35,161,5,50,2400,Grandmaster
28,Codeforces Global Round 15,Jul/25/2021 17:35,203,6,36,2436,Grandmaster
29,Hello 2022,Jan/03/2022 17:35,299,5,1,2437,Grandmaster
30,Codeforces Global Round 19,Feb/12/2022 17:35,887,4,-93,2344,International Master
31,"Codeforces Round 775 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/06/2022 12:55,262,3,-3,2341,International Master
32,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,337,5,-1,2340,International Master
33,Codeforces Round 796 (Div. 1),Jun/03/2022 17:35,196,3,19,2359,International Master
34,Pinely Round 1 (Div. 1 + Div. 2),Nov/20/2022 17:35,95,5,85,2444,Grandmaster
35,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,1564,3,-121,2323,International Master
36,Hello 2023,Jan/03/2023 17:35,288,5,34,2357,International Master
37,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",Jan/29/2023 17:35,1153,4,-106,2251,Master
38,Codeforces Round 854 by cybercats (Div. 1 + Div. 2),Feb/27/2023 17:35,368,6,6,2257,Master
