#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 56 (Rated for Div. 2),Dec/15/2018 17:35,3465,2,-89,1411,Specialist
2,Hello 2019,Jan/04/2019 17:45,6753,1,-93,1318,Pupil
3,Educational Codeforces Round 82 (Rated for Div. 2),Feb/12/2020 17:35,5396,1,-15,1303,Pupil
4,Codeforces Round 619 (Div. 2),Feb/13/2020 17:35,4294,1,6,1309,Pupil
5,Codeforces Round 622 (Div. 2),Feb/23/2020 12:05,3046,1,19,1328,Pupil
6,"Codeforces Round 623 (Div. 2, based on VK Cup 2019-2020 - Elimination Round, Engine)",Feb/23/2020 19:05,835,3,90,1418,Specialist
7,"Ozon Tech Challenge 2020 (Div.1 + Div.2, Rated, T-shirts + prizes!)",Mar/03/2020 17:35,4295,2,-20,1398,Pupil
8,CodeCraft-20 (Div. 2),Mar/04/2020 17:35,2320,2,35,1433,Specialist
9,Educational Codeforces Round 83 (Rated for Div. 2),Mar/09/2020 17:35,2022,3,50,1483,Specialist
10,Codeforces Round 627 (Div. 3),Mar/12/2020 16:05,2351,3,-14,1469,Specialist
11,Codeforces Round 628 (Div. 2),Mar/14/2020 17:35,3887,2,-11,1458,Specialist
12,Codeforces Global Round 7,Mar/19/2020 17:35,4879,3,-4,1454,Specialist
13,Educational Codeforces Round 84 (Rated for Div. 2),Mar/23/2020 17:35,2992,3,50,1504,Specialist
14,Codeforces Round 629 (Div. 3),Mar/26/2020 17:35,1772,3,34,1538,Specialist
15,Codeforces Round 630 (Div. 2),Mar/31/2020 16:35,3194,3,25,1563,Specialist
16,"Codeforces Round 631 (Div. 2) - Thanks, Denis aramis Shitov!",Apr/03/2020 17:35,5214,1,-45,1518,Specialist
17,Codeforces Round 632 (Div. 2),Apr/08/2020 17:35,3124,2,30,1548,Specialist
18,Educational Codeforces Round 85 (Rated for Div. 2),Apr/10/2020 17:35,9047,1,-76,1472,Specialist
19,Codeforces Round 633 (Div. 2),Apr/12/2020 17:05,2476,3,41,1513,Specialist
20,Codeforces Round 634 (Div. 3),Apr/13/2020 17:35,1561,5,41,1554,Specialist
21,Codeforces Round 635 (Div. 2),Apr/15/2020 17:35,7360,2,-61,1493,Specialist
22,Codeforces Round 636 (Div. 3),Apr/21/2020 17:35,1326,3,55,1548,Specialist
23,"Codeforces Round 637 (Div. 2) - Thanks, Ivan Belonogov!",Apr/23/2020 17:45,2450,3,39,1587,Specialist
24,Educational Codeforces Round 86 (Rated for Div. 2),Apr/26/2020 17:35,6669,2,-49,1538,Specialist
25,Codeforces Round 638 (Div. 2),May/01/2020 17:35,4594,2,-2,1536,Specialist
26,Codeforces Round 641 (Div. 2),May/12/2020 15:35,3393,2,0,1536,Specialist
27,Codeforces Round 642 (Div. 3),May/14/2020 17:35,2703,3,-3,1533,Specialist
28,Codeforces Round 643 (Div. 2),May/16/2020 14:35,3057,3,26,1559,Specialist
29,Educational Codeforces Round 87 (Rated for Div. 2),May/17/2020 12:20,6827,2,-78,1481,Specialist
30,Codeforces Round 644 (Div. 3),May/24/2020 16:35,4550,4,-43,1438,Specialist
31,Codeforces Round 645 (Div. 2),May/26/2020 17:35,6937,2,-33,1405,Specialist
32,Educational Codeforces Round 88 (Rated for Div. 2),May/28/2020 17:35,2942,3,64,1469,Specialist
33,Codeforces Round 646 (Div. 2),May/31/2020 17:35,1055,4,138,1607,Expert
34,"Codeforces Round 647 (Div. 2) - Thanks, Algo Muse!",Jun/04/2020 17:35,365,4,127,1734,Expert
35,Codeforces Round 648 (Div. 2),Jun/07/2020 17:35,1871,4,10,1744,Expert
36,Educational Codeforces Round 89 (Rated for Div. 2),Jun/11/2020 17:35,5095,2,-83,1661,Expert
37,Codeforces Round 649 (Div. 2),Jun/13/2020 18:05,7971,1,-112,1549,Specialist
38,Codeforces Round 650 (Div. 3),Jun/16/2020 17:35,40,5,196,1745,Expert
39,Codeforces Round 651 (Div. 2),Jun/20/2020 17:35,4895,3,-77,1668,Expert
40,Codeforces Round 652 (Div. 2),Jun/23/2020 17:05,5991,2,-83,1585,Specialist
41,Educational Codeforces Round 90 (Rated for Div. 2),Jun/25/2020 17:35,2827,4,-3,1582,Specialist
42,Codeforces Round 653 (Div. 3),Jun/28/2020 17:35,38,5,189,1771,Expert
43,Codeforces Round 654 (Div. 2),Jul/01/2020 16:35,3187,4,-52,1719,Expert
44,Codeforces Global Round 9,Jul/04/2020 17:45,6663,2,-104,1615,Expert
45,Codeforces Round 657 (Div. 2),Jul/19/2020 12:00,491,3,138,1753,Expert
46,Codeforces Round 658 (Div. 2),Jul/21/2020 17:35,790,4,36,1789,Expert
47,Codeforces Round 659 (Div. 2),Jul/24/2020 17:35,2577,1,-37,1752,Expert
48,Educational Codeforces Round 92 (Rated for Div. 2),Jul/29/2020 17:35,3634,2,-50,1702,Expert
49,Codeforces Round 660 (Div. 2),Jul/30/2020 17:35,4310,2,-61,1641,Expert
50,Codeforces Round 662 (Div. 2),Aug/07/2020 17:35,3121,2,-19,1622,Expert
51,Codeforces Round 663 (Div. 2),Aug/09/2020 17:35,5879,2,-80,1542,Specialist
52,Codeforces Round 664 (Div. 2),Aug/12/2020 17:35,1019,3,81,1623,Expert
53,Educational Codeforces Round 93 (Rated for Div. 2),Aug/14/2020 17:35,5608,2,-73,1550,Specialist
54,Codeforces Global Round 10,Aug/16/2020 17:35,6332,2,-83,1467,Specialist
55,Codeforces Round 665 (Div. 2),Aug/21/2020 17:35,2045,3,57,1524,Specialist
56,Educational Codeforces Round 94 (Rated for Div. 2),Aug/25/2020 17:35,413,4,163,1687,Expert
57,Codeforces Round 666 (Div. 2),Aug/30/2020 17:35,874,3,40,1727,Expert
58,Codeforces Round 668 (Div. 2),Sep/06/2020 17:35,3330,2,-67,1660,Expert
59,Codeforces Round 669 (Div. 2),Sep/08/2020 17:35,2716,2,-16,1644,Expert
60,Codeforces Round 670 (Div. 2),Sep/12/2020 16:45,2629,2,-17,1627,Expert
61,Codeforces Round 671 (Div. 2),Sep/19/2020 17:35,859,5,72,1699,Expert
62,Codeforces Round 672 (Div. 2),Sep/24/2020 17:35,1538,4,13,1712,Expert
63,Codeforces Round 673 (Div. 2),Sep/27/2020 18:05,313,3,65,1777,Expert
64,Grakn Forces 2020,Sep/30/2020 17:35,1366,3,32,1809,Expert
65,Codeforces Round 675 (Div. 2),Oct/04/2020 19:05,535,3,35,1844,Expert
66,Codeforces Global Round 11,Oct/10/2020 17:50,1167,3,34,1878,Expert
67,Educational Codeforces Round 96 (Rated for Div. 2),Oct/11/2020 12:05,1129,4,-39,1839,Expert
68,Codeforces Raif Round 1 (Div. 1 + Div. 2),Oct/17/2020 16:05,2273,3,-38,1801,Expert
69,Codeforces Round 676 (Div. 2),Oct/18/2020 12:05,720,4,21,1822,Expert
70,Codeforces Round 678 (Div. 2),Oct/24/2020 17:05,918,3,-2,1820,Expert
71,Technocup 2021 - Elimination Round 1,Oct/25/2020 14:05,170,3,33,1853,Expert
72,"Codeforces Round 680 (Div. 2, based on Moscow Team Olympiad)",Nov/01/2020 14:05,10,4,193,2046,Candidate Master
73,"Codeforces Round 681 (Div. 1, based on VK Cup 2019-2020 - Final)",Nov/02/2020 17:35,787,1,-63,1983,Candidate Master
74,Codeforces Round 684 (Div. 1),Nov/17/2020 17:35,853,1,-70,1913,Candidate Master
75,Educational Codeforces Round 98 (Rated for Div. 2),Nov/19/2020 17:35,1827,3,-73,1840,Expert
76,Codeforces Round 685 (Div. 2),Nov/21/2020 17:35,2085,3,-51,1789,Expert
77,"Codeforces Round 687 (Div. 2, based on Technocup 2021 Elimination Round 2)",Nov/29/2020 10:05,105,4,96,1885,Expert
78,Codeforces Global Round 12,Dec/06/2020 17:35,687,5,66,1951,Candidate Master
79,"Codeforces Round 689 (Div. 2, based on Zed Code Competition)",Dec/11/2020 17:35,927,4,-38,1913,Candidate Master
