#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 490 (Div. 3),Jun/21/2018 17:35,2244,3,-61,1439,Specialist
2,Codeforces Round 493 (Div. 2),Jul/01/2018 17:05,3066,1,-83,1356,Pupil
3,Codeforces Round 501 (Div. 3),Jul/31/2018 17:35,2859,2,-54,1302,Pupil
4,Educational Codeforces Round 48 (Rated for Div. 2),Aug/03/2018 17:45,1657,2,68,1370,Pupil
5,"Codeforces Round 503 (by SIS, Div. 2)",Aug/11/2018 16:35,927,2,89,1459,Specialist
6,"Codeforces Round 507 (Div. 2, based on Olympiad of Metropolises)",Sep/05/2018 19:35,3510,1,-93,1366,Pupil
7,Codeforces Round 508 (Div. 2),Sep/06/2018 18:35,1927,3,39,1405,Specialist
8,Educational Codeforces Round 50 (Rated for Div. 2),Sep/07/2018 17:35,3449,1,-62,1343,Pupil
9,Codeforces Round 509 (Div. 2),Sep/16/2018 13:35,3321,2,-35,1308,Pupil
10,Educational Codeforces Round 51 (Rated for Div. 2),Sep/20/2018 17:45,2165,2,21,1329,Pupil
11,Codeforces Round 511 (Div. 2),Sep/21/2018 17:35,1671,2,42,1371,Pupil
12,Codeforces Round 515 (Div. 3),Oct/12/2018 17:35,2135,1,-24,1347,Pupil
13,"Codeforces Round 518 (Div. 2) [Thanks, Mail.Ru!]",Oct/24/2018 19:35,1109,2,70,1417,Specialist
14,Educational Codeforces Round 53 (Rated for Div. 2),Oct/25/2018 17:35,2731,2,-31,1386,Pupil
15,Codeforces Round 529 (Div. 3),Dec/27/2018 17:35,5450,0,-122,1264,Pupil
16,Codeforces Round 531 (Div. 3),Jan/09/2019 17:35,1048,3,84,1348,Pupil
17,Educational Codeforces Round 58 (Rated for Div. 2),Jan/11/2019 17:35,2254,3,33,1381,Pupil
18,Codeforces Round 532 (Div. 2),Jan/13/2019 17:35,3296,2,-35,1346,Pupil
19,Codeforces Round 538 (Div. 2),Feb/10/2019 17:05,2768,2,26,1372,Pupil
20,Codeforces Round 544 (Div. 3),Mar/07/2019 18:05,1176,3,35,1407,Specialist
21,Codeforces Round 548 (Div. 2),Mar/21/2019 18:35,4245,2,-76,1331,Pupil
22,Codeforces Round 550 (Div. 3),Mar/31/2019 17:05,2189,3,-8,1323,Pupil
23,Codeforces Round 551 (Div. 2),Apr/13/2019 17:05,2056,2,48,1371,Pupil
24,Codeforces Round 552 (Div. 3),Apr/16/2019 17:35,1571,3,26,1397,Pupil
25,Codeforces Round 553 (Div. 2),Apr/18/2019 18:35,1233,3,68,1465,Specialist
26,Forethought Future Cup - Elimination Round,Apr/20/2019 21:05,1576,2,-15,1450,Specialist
27,Educational Codeforces Round 63 (Rated for Div. 2),Apr/22/2019 17:35,758,3,93,1543,Specialist
28,Codeforces Round 556 (Div. 2),Apr/29/2019 17:35,455,3,86,1629,Expert
29,Educational Codeforces Round 65 (Rated for Div. 2),May/15/2019 17:35,750,4,37,1666,Expert
30,Codeforces Round 566 (Div. 2),Jun/11/2019 16:05,1973,2,-39,1627,Expert
31,Codeforces Round 568 (Div. 2),Jun/19/2019 17:45,1726,4,-18,1609,Expert
32,Codeforces Round 569 (Div. 2),Jun/21/2019 20:05,1586,2,-36,1573,Specialist
33,Codeforces Round 570 (Div. 3),Jun/26/2019 17:35,190,5,87,1660,Expert
34,Codeforces Round 576 (Div. 2),Jul/30/2019 17:35,1114,3,5,1665,Expert
35,Codeforces Round 577 (Div. 2),Aug/04/2019 19:35,1266,3,-6,1659,Expert
36,Codeforces Round 578 (Div. 2),Aug/11/2019 15:35,4778,1,-100,1559,Specialist
37,Codeforces Round 579 (Div. 3),Aug/13/2019 17:35,869,5,22,1581,Specialist
38,Codeforces Round 580 (Div. 2),Aug/18/2019 16:45,307,4,114,1695,Expert
39,Codeforces Round 581 (Div. 2),Aug/20/2019 17:35,5532,1,-109,1586,Specialist
40,Educational Codeforces Round 71 (Rated for Div. 2),Aug/22/2019 17:35,1725,3,13,1599,Specialist
41,"Manthan, Codefest 19 (open for everyone, rated, Div. 1 + Div. 2)",Aug/25/2019 17:35,3581,1,-52,1547,Specialist
42,Codeforces Round 582 (Div. 3),Aug/30/2019 17:35,1348,4,0,1547,Specialist
43,"Codeforces Round 583 (Div. 1 + Div. 2, based on Olympiad of Metropolises)",Sep/04/2019 12:05,2403,2,-43,1504,Specialist
44,Educational Codeforces Round 72 (Rated for Div. 2),Sep/05/2019 17:35,4127,1,-43,1461,Specialist
45,"Codeforces Round 584 - Dasha Code Championship - Elimination Round (rated, open for everyone, Div. 1 + Div. 2)",Sep/14/2019 16:05,3590,2,-29,1432,Specialist
46,Codeforces Round 585 (Div. 2),Sep/15/2019 13:35,2212,2,2,1434,Specialist
47,Codeforces Round 586 (Div. 1 + Div. 2),Sep/18/2019 19:05,3373,2,-20,1414,Specialist
48,Educational Codeforces Round 73 (Rated for Div. 2),Sep/19/2019 17:35,1038,3,80,1494,Specialist
49,Codeforces Round 589 (Div. 2),Sep/29/2019 16:05,1851,3,42,1536,Specialist
50,Codeforces Round 590 (Div. 3),Oct/01/2019 17:35,905,4,28,1564,Specialist
51,Educational Codeforces Round 74 (Rated for Div. 2),Oct/08/2019 17:35,616,4,91,1655,Expert
52,Codeforces Round 593 (Div. 2),Oct/17/2019 16:35,1440,3,1,1656,Expert
53,Educational Codeforces Round 75 (Rated for Div. 2),Oct/24/2019 18:05,3214,2,-75,1581,Specialist
54,Educational Codeforces Round 77 (Rated for Div. 2),Nov/27/2019 16:50,3270,2,-67,1514,Specialist
55,Codeforces Round 605 (Div. 3),Dec/12/2019 16:35,663,4,40,1554,Specialist
56,Codeforces Round 608 (Div. 2),Dec/15/2019 12:15,3658,1,-87,1467,Specialist
57,Educational Codeforces Round 79 (Rated for Div. 2),Dec/27/2019 17:40,1621,3,44,1511,Specialist
58,Codeforces Round 611 (Div. 3),Dec/28/2019 20:05,99,5,136,1647,Expert
59,Educational Codeforces Round 80 (Rated for Div. 2),Jan/14/2020 17:35,1216,3,17,1664,Expert
60,Codeforces Round 614 (Div. 2),Jan/19/2020 16:35,566,3,54,1718,Expert
61,Educational Codeforces Round 81 (Rated for Div. 2),Jan/29/2020 17:35,1765,3,-12,1706,Expert
62,Codeforces Round 616 (Div. 2),Feb/02/2020 17:05,944,3,20,1726,Expert
63,Codeforces Round 618 (Div. 2),Feb/09/2020 17:05,1412,3,-11,1715,Expert
64,Educational Codeforces Round 82 (Rated for Div. 2),Feb/12/2020 17:35,2121,3,-19,1696,Expert
65,Codeforces Round 619 (Div. 2),Feb/13/2020 17:35,2275,2,-26,1670,Expert
66,Codeforces Round 622 (Div. 2),Feb/23/2020 12:05,331,4,111,1781,Expert
67,"Codeforces Round 625 (Div. 2, based on Technocup 2020 Final Round)",Mar/01/2020 16:15,823,3,-10,1771,Expert
68,"Ozon Tech Challenge 2020 (Div.1 + Div.2, Rated, T-shirts + prizes!)",Mar/03/2020 17:35,3225,2,-66,1705,Expert
69,Codeforces Round 628 (Div. 2),Mar/14/2020 17:35,2915,3,-41,1664,Expert
70,Educational Codeforces Round 84 (Rated for Div. 2),Mar/23/2020 17:35,2950,3,-6,1658,Expert
71,Codeforces Round 630 (Div. 2),Mar/31/2020 16:35,2978,3,-1,1657,Expert
72,Codeforces Round 632 (Div. 2),Apr/08/2020 17:35,2468,3,13,1670,Expert
73,Educational Codeforces Round 85 (Rated for Div. 2),Apr/10/2020 17:35,9382,1,-103,1567,Specialist
74,Codeforces Round 633 (Div. 2),Apr/12/2020 17:05,1069,4,72,1639,Expert
75,Codeforces Round 635 (Div. 2),Apr/15/2020 17:35,2190,3,15,1654,Expert
76,"Codeforces Round 637 (Div. 2) - Thanks, Ivan Belonogov!",Apr/23/2020 17:45,4319,3,-30,1624,Expert
77,Educational Codeforces Round 86 (Rated for Div. 2),Apr/26/2020 17:35,3587,2,-1,1623,Expert
78,Codeforces Round 641 (Div. 2),May/12/2020 15:35,3498,2,-24,1599,Specialist
79,Codeforces Round 643 (Div. 2),May/16/2020 14:35,1667,4,57,1656,Expert
80,Educational Codeforces Round 87 (Rated for Div. 2),May/17/2020 12:20,4097,3,-48,1608,Expert
81,Codeforces Round 645 (Div. 2),May/26/2020 17:35,9781,2,-107,1501,Specialist
82,Codeforces Round 646 (Div. 2),May/31/2020 17:35,2904,3,46,1547,Specialist
83,Codeforces Round 648 (Div. 2),Jun/07/2020 17:35,2487,4,38,1585,Specialist
84,Codeforces Global Round 8,Jun/18/2020 17:45,7007,1,-77,1508,Specialist
85,Educational Codeforces Round 90 (Rated for Div. 2),Jun/25/2020 17:35,347,4,178,1686,Expert
86,Codeforces Round 657 (Div. 2),Jul/19/2020 12:00,1981,2,13,1699,Expert
87,Educational Codeforces Round 92 (Rated for Div. 2),Jul/29/2020 17:35,2709,3,-13,1686,Expert
88,Codeforces Round 660 (Div. 2),Jul/30/2020 17:35,871,4,68,1754,Expert
89,Codeforces Round 662 (Div. 2),Aug/07/2020 17:35,483,3,85,1839,Expert
90,Codeforces Round 663 (Div. 2),Aug/09/2020 17:35,773,4,26,1865,Expert
91,Educational Codeforces Round 93 (Rated for Div. 2),Aug/14/2020 17:35,454,4,54,1919,Candidate Master
92,Codeforces Round 669 (Div. 2),Sep/08/2020 17:35,167,4,100,2019,Candidate Master
93,Codeforces Round 673 (Div. 1),Sep/27/2020 18:05,546,2,14,2033,Candidate Master
94,Codeforces Round 675 (Div. 2),Oct/04/2020 19:05,475,3,-17,2016,Candidate Master
95,Educational Codeforces Round 96 (Rated for Div. 2),Oct/11/2020 12:05,499,5,-19,1997,Candidate Master
96,Educational Codeforces Round 101 (Rated for Div. 2),Dec/28/2020 17:35,351,4,23,2020,Candidate Master
97,Codeforces Round 695 (Div. 2),Jan/08/2021 17:35,213,4,51,2071,Candidate Master
98,Educational Codeforces Round 107 (Rated for Div. 2),Apr/12/2021 17:35,1037,4,-72,1999,Candidate Master
99,Codeforces Round 716 (Div. 2),Apr/19/2021 16:35,2324,2,-111,1888,Expert
100,Codeforces Round 717 (Div. 2),Apr/21/2021 16:35,1399,2,-41,1847,Expert
101,Codeforces Global Round 14,May/02/2021 17:35,1255,4,26,1873,Expert
102,Codeforces Round 728 (Div. 2),Jun/25/2021 18:35,30,3,140,2013,Candidate Master
