#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 642 (Div. 3),May/14/2020 17:35,4,6,315,1815,Expert
2,Codeforces Round 643 (Div. 2),May/16/2020 14:35,204,5,125,1940,Candidate Master
3,Codeforces Round 645 (Div. 2),May/26/2020 17:35,382,4,50,1990,Candidate Master
4,Educational Codeforces Round 88 (Rated for Div. 2),May/28/2020 17:35,425,5,31,2021,Candidate Master
5,Codeforces Round 646 (Div. 2),May/31/2020 17:35,125,5,94,2115,Master
6,"Codeforces Round 647 (Div. 1) - Thanks, Algo Muse!",Jun/04/2020 17:35,279,2,65,2180,Master
7,Codeforces Round 658 (Div. 1),Jul/21/2020 17:35,1314,1,-111,2069,Candidate Master
8,Codeforces Round 659 (Div. 1),Jul/24/2020 17:35,62,3,207,2276,Master
9,Codeforces Round 664 (Div. 1),Aug/12/2020 17:35,185,2,55,2331,International Master
10,Codeforces Global Round 10,Aug/16/2020 17:35,183,6,50,2381,International Master
11,Codeforces Round 668 (Div. 1),Sep/06/2020 17:35,418,3,-40,2341,International Master
12,Codeforces Round 673 (Div. 1),Sep/27/2020 18:05,521,2,-59,2282,Master
13,Grakn Forces 2020,Sep/30/2020 17:35,534,4,-13,2269,Master
14,"Codeforces Round 681 (Div. 1, based on VK Cup 2019-2020 - Final)",Nov/02/2020 17:35,98,3,95,2364,International Master
15,"Codeforces Round 683 (Div. 1, by Meet IT)",Nov/15/2020 17:35,379,3,-41,2323,International Master
16,Codeforces Round 684 (Div. 1),Nov/17/2020 17:35,610,2,-79,2244,Master
17,Codeforces Global Round 12,Dec/06/2020 17:35,931,3,-54,2190,Master
18,Codeforces Round 691 (Div. 1),Dec/19/2020 12:35,133,2,90,2280,Master
19,"Codeforces Round 692 (Div. 1, based on Technocup 2021 Elimination Round 3)",Dec/20/2020 18:05,469,2,-53,2227,Master
20,Good Bye 2020,Dec/30/2020 17:35,229,6,85,2312,International Master
21,Codeforces Round 694 (Div. 1),Jan/05/2021 17:35,688,2,-82,2230,Master
22,Codeforces Round 698 (Div. 1),Jan/28/2021 17:35,451,2,-35,2195,Master
23,Codeforces Round 700 (Div. 1),Feb/07/2021 17:35,660,2,-37,2158,Master
24,Codeforces Global Round 13,Feb/28/2021 16:35,121,5,149,2307,International Master
25,Codeforces Round 706 (Div. 1),Mar/10/2021 15:05,514,2,-34,2273,Master
26,"Codeforces Round 707 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/13/2021 12:05,264,2,1,2274,Master
27,"Codeforces Round 709 (Div. 1, based on Technocup 2021 Final Round)",Mar/21/2021 16:20,286,3,13,2287,Master
28,Codeforces Round 712 (Div. 1),Apr/03/2021 17:35,667,2,-70,2217,Master
29,Codeforces Global Round 22,Sep/30/2022 17:35,210,6,74,2291,Master
30,Dytechlab Cup 2022,Oct/07/2022 17:35,229,4,41,2332,International Master
31,Codeforces Global Round 23,Oct/15/2022 17:35,416,4,0,2332,International Master
32,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,261,5,12,2344,International Master
33,Codeforces Round 831 (Div. 1 + Div. 2),Oct/29/2022 12:10,400,5,-44,2300,International Master
34,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,376,4,-2,2298,Master
35,Codeforces Global Round 24,Nov/26/2022 17:05,365,5,-9,2289,Master
36,"Polynomial Round 2022 (Div. 1 + Div. 2, Rated, Prizes!)",Dec/17/2022 17:35,362,5,4,2293,Master
37,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,313,5,48,2341,International Master
38,Hello 2023,Jan/03/2023 17:35,195,6,60,2401,Grandmaster
39,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,531,4,-54,2347,International Master
40,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",Jan/29/2023 17:35,707,4,-59,2288,Master
41,"Codeforces Round 850 (Div. 1, based on VK Cup 2022 - Final Round)",Feb/05/2023 15:05,289,3,18,2306,International Master
42,Codeforces Round 854 by cybercats (Div. 1 + Div. 2),Feb/27/2023 17:35,106,7,96,2402,Grandmaster
