#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 649 (Div. 2),Jun/13/2020 18:05,2250,3,584,584,Newbie
2,Codeforces Round 667 (Div. 3),Sep/04/2020 17:35,2535,4,342,926,Newbie
3,Grakn Forces 2020,Sep/30/2020 17:35,4264,2,211,1137,Newbie
4,Codeforces Round 678 (Div. 2),Oct/24/2020 17:05,2721,2,160,1297,Pupil
5,"Codeforces Round 679 (Div. 2, based on Technocup 2021 Elimination Round 1)",Oct/25/2020 14:05,1757,2,107,1404,Specialist
6,"Codeforces Round 692 (Div. 2, based on Technocup 2021 Elimination Round 3)",Dec/20/2020 18:05,326,3,195,1599,Specialist
7,Educational Codeforces Round 103 (Rated for Div. 2),Jan/29/2021 17:35,6700,1,-82,1517,Specialist
8,Codeforces Round 699 (Div. 2),Feb/05/2021 17:35,895,3,100,1617,Expert
9,Codeforces Round 730 (Div. 2),Jul/07/2021 17:35,279,4,140,1757,Expert
10,Educational Codeforces Round 111 (Rated for Div. 2),Jul/14/2021 17:35,415,3,81,1838,Expert
11,Codeforces Round 736 (Div. 2),Aug/01/2021 17:35,4458,2,-116,1722,Expert
12,"Codeforces Round 755 (Div. 2, based on Technocup 2022 Elimination Round 2)",Nov/14/2021 09:05,72,4,119,1841,Expert
13,Codeforces Round 768 (Div. 2),Jan/27/2022 17:35,3734,2,-99,1742,Expert
14,Codeforces Global Round 19,Feb/12/2022 17:35,881,4,79,1821,Expert
15,"Codeforces Round 775 (Div. 2, based on Moscow Open Olympiad in Informatics)",Mar/06/2022 12:55,746,3,-18,1803,Expert
16,Educational Codeforces Round 131 (Rated for Div. 2),Jul/08/2022 17:35,273,4,76,1879,Expert
17,Codeforces Round 816 (Div. 2),Aug/20/2022 17:35,35,5,168,2047,Candidate Master
18,Codeforces Round 833 (Div. 2),Nov/12/2022 17:35,80,4,65,2112,Master
19,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",Jan/29/2023 17:35,185,5,121,2233,Master
20,"Codeforces Round 850 (Div. 1, based on VK Cup 2022 - Final Round)",Feb/05/2023 15:05,128,4,110,2343,International Master
