#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 491 (Div. 2),Jun/23/2018 18:35,3130,2,-70,1430,Specialist
2,Codeforces Round 493 (Div. 2),Jul/01/2018 17:05,1321,3,21,1451,Specialist
3,Codeforces Round 494 (Div. 3),Jul/03/2018 17:35,1623,3,-24,1427,Specialist
4,Codeforces Round 496 (Div. 3),Jul/09/2018 18:35,2111,2,-49,1378,Pupil
5,Codeforces Round 497 (Div. 2),Jul/13/2018 17:35,1580,3,31,1409,Specialist
6,Codeforces Round 499 (Div. 2),Jul/26/2018 18:05,415,4,135,1544,Specialist
7,Codeforces Round 500 (Div. 2) [based on EJOI],Jul/30/2018 11:15,1929,2,-57,1487,Specialist
8,Codeforces Round 501 (Div. 3),Jul/31/2018 17:35,521,4,43,1530,Specialist
9,Educational Codeforces Round 48 (Rated for Div. 2),Aug/03/2018 17:45,1006,3,46,1576,Specialist
10,"Codeforces Round 503 (by SIS, Div. 2)",Aug/11/2018 16:35,2831,2,-71,1505,Specialist
11,"Codeforces Round 504 (rated, Div. 1 + Div. 2, based on VK Cup 2018 Final)",Aug/17/2018 17:35,912,3,96,1601,Expert
12,Educational Codeforces Round 49 (Rated for Div. 2),Aug/18/2018 17:35,1559,3,-5,1596,Specialist
13,"Codeforces Round 505 (rated, Div. 1 + Div. 2, based on VK Cup 2018 Final)",Aug/19/2018 16:35,1428,2,30,1626,Expert
14,"AIM Tech Round 5 (rated, Div. 1 + Div. 2)",Aug/27/2018 19:35,1516,2,-9,1617,Expert
15,"Manthan, Codefest 18 (rated, Div. 1 + Div. 2)",Sep/02/2018 17:35,982,4,53,1670,Expert
16,Codeforces Round 509 (Div. 2),Sep/16/2018 13:35,983,4,8,1678,Expert
17,Educational Codeforces Round 51 (Rated for Div. 2),Sep/20/2018 17:45,1753,3,-51,1627,Expert
18,Codeforces Round 511 (Div. 2),Sep/21/2018 17:35,539,3,43,1670,Expert
19,"Codeforces Round 512 (Div. 2, based on Technocup 2019 Elimination Round 1)",Sep/23/2018 16:05,238,4,73,1743,Expert
20,"Codeforces Round 513 by Barcelona Bootcamp (rated, Div. 1 + Div. 2)",Oct/04/2018 10:05,331,5,97,1840,Expert
21,Codeforces Round 514 (Div. 2),Oct/05/2018 17:35,750,3,-15,1825,Expert
22,Educational Codeforces Round 52 (Rated for Div. 2),Oct/11/2018 17:50,134,4,90,1915,Candidate Master
