#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 98 (Rated for Div. 2),Nov/19/2020 17:35,3429,3,498,498,Newbie
2,Codeforces Round 720 (Div. 2),May/07/2021 17:35,6586,1,304,802,Newbie
3,Codeforces Round 729 (Div. 2),Jul/03/2021 16:05,3953,2,265,1067,Newbie
4,Codeforces Round 730 (Div. 2),Jul/07/2021 17:35,2540,3,201,1268,Pupil
5,Codeforces Round 732 (Div. 2),Jul/11/2021 17:05,809,3,214,1482,Specialist
6,Educational Codeforces Round 111 (Rated for Div. 2),Jul/14/2021 17:35,1740,3,95,1577,Specialist
7,Codeforces Round 734 (Div. 3),Jul/23/2021 17:35,3439,3,-59,1518,Specialist
8,Codeforces Global Round 15,Jul/25/2021 17:35,2675,3,27,1545,Specialist
9,Codeforces Round 735 (Div. 2),Jul/29/2021 17:35,8432,1,-114,1431,Specialist
10,Educational Codeforces Round 112 (Rated for Div. 2),Jul/30/2021 17:35,1460,4,81,1512,Specialist
11,Codeforces Round 736 (Div. 2),Aug/01/2021 17:35,2656,3,-4,1508,Specialist
12,Codeforces Round 737 (Div. 2),Aug/09/2021 17:35,1898,3,42,1550,Specialist
13,Codeforces Round 738 (Div. 2),Aug/15/2021 17:35,2550,4,5,1555,Specialist
14,Codeforces Round 741 (Div. 2),Aug/26/2021 17:35,2981,3,-21,1534,Specialist
15,"Deltix Round, Summer 2021 (open for everyone, rated, Div. 1 + Div. 2)",Aug/29/2021 17:35,2768,2,10,1544,Specialist
16,Codeforces Global Round 16,Sep/12/2021 17:35,2446,5,20,1564,Specialist
17,Technocup 2022 - Elimination Round 1,Oct/17/2021 14:05,260,3,18,1582,Specialist
18,Educational Codeforces Round 116 (Rated for Div. 2),Oct/29/2021 17:35,738,3,81,1663,Expert
19,Codeforces Round 771 (Div. 2),Feb/14/2022 17:35,1639,3,0,1663,Expert
20,Codeforces Round 772 (Div. 2),Feb/20/2022 17:35,1524,3,-5,1658,Expert
21,Educational Codeforces Round 123 (Rated for Div. 2),Feb/22/2022 17:35,1057,4,26,1684,Expert
22,Технокубок 2022 - Финал,Mar/20/2022 11:15,174,3,58,1742,Expert
23,Codeforces Round 781 (Div. 2),Apr/08/2022 17:35,79,4,153,1895,Expert
24,Codeforces Round 782 (Div. 2),Apr/17/2022 17:35,205,4,62,1957,Candidate Master
25,Educational Codeforces Round 127 (Rated for Div. 2),Apr/22/2022 17:35,57,5,107,2064,Candidate Master
26,Codeforces Round 792 (Div. 1 + Div. 2),May/19/2022 17:35,4925,2,-180,1884,Expert
27,Codeforces Round 793 (Div. 2),May/22/2022 17:35,311,4,44,1928,Candidate Master
28,Educational Codeforces Round 129 (Rated for Div. 2),May/23/2022 17:35,1694,3,-69,1859,Expert
29,Codeforces Round 794 (Div. 2),May/25/2022 20:35,1904,3,-93,1766,Expert
30,CodeCraft-22 and Codeforces Round 795 (Div. 2),May/31/2022 17:35,58,5,165,1931,Candidate Master
31,Codeforces Round 804 (Div. 2),Jul/04/2022 17:35,459,3,14,1945,Candidate Master
32,Educational Codeforces Round 131 (Rated for Div. 2),Jul/08/2022 17:35,621,4,-10,1935,Candidate Master
33,Codeforces Round 807 (Div. 2),Jul/15/2022 16:35,105,5,89,2024,Candidate Master
34,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,733,4,27,2051,Candidate Master
35,Educational Codeforces Round 134 (Rated for Div. 2),Aug/27/2022 17:35,93,5,62,2113,Master
36,Codeforces Global Round 22,Sep/30/2022 17:35,1212,3,-53,2060,Candidate Master
37,Codeforces Round 824 (Div. 2),Oct/02/2022 17:35,356,4,-15,2045,Candidate Master
38,Dytechlab Cup 2022,Oct/07/2022 17:35,886,3,-20,2025,Candidate Master
39,Codeforces Round 825 (Div. 2),Oct/10/2022 17:35,73,4,80,2105,Master
40,Codeforces Global Round 23,Oct/15/2022 17:35,1075,4,-30,2075,Candidate Master
41,Educational Codeforces Round 137 (Rated for Div. 2),Oct/17/2022 17:35,9,6,155,2230,Master
42,Codeforces Round 831 (Div. 1 + Div. 2),Oct/29/2022 12:10,379,5,-11,2219,Master
43,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,891,4,-56,2163,Master
44,Codeforces Global Round 24,Nov/26/2022 17:05,623,4,-24,2139,Master
45,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,917,4,-3,2136,Master
46,Hello 2023,Jan/03/2023 17:35,890,4,-15,2121,Master
47,VK Cup 2022 - Отборочный раунд (Engine),Jan/15/2023 15:05,99,4,-9,2112,Master
48,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",Jan/29/2023 17:35,880,4,-23,2089,Candidate Master
49,"Codeforces Round 850 (Div. 1, based on VK Cup 2022 - Final Round)",Feb/05/2023 15:05,344,3,56,2145,Master
