#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 497 (Div. 2),Jul/13/2018 17:35,1789,3,-15,1485,Specialist
2,"Codeforces Round 504 (rated, Div. 1 + Div. 2, based on VK Cup 2018 Final)",Aug/17/2018 17:35,1833,3,30,1515,Specialist
3,Educational Codeforces Round 49 (Rated for Div. 2),Aug/18/2018 17:35,2083,2,-11,1504,Specialist
4,Codeforces Round 506 (Div. 3),Aug/24/2018 17:50,433,3,65,1569,Specialist
5,Educational Codeforces Round 50 (Rated for Div. 2),Sep/07/2018 17:35,1544,2,-4,1565,Specialist
6,Educational Codeforces Round 51 (Rated for Div. 2),Sep/20/2018 17:45,1645,3,-18,1547,Specialist
7,"Codeforces Round 512 (Div. 2, based on Technocup 2019 Elimination Round 1)",Sep/23/2018 16:05,856,3,24,1571,Specialist
8,Codeforces Round 514 (Div. 2),Oct/05/2018 17:35,745,3,59,1630,Expert
9,Educational Codeforces Round 52 (Rated for Div. 2),Oct/11/2018 17:50,505,3,65,1695,Expert
10,"Codeforces Round 517 (Div. 2, based on Technocup 2019 Elimination Round 2)",Oct/21/2018 11:10,1172,2,-56,1639,Expert
11,Codeforces Round 520 (Div. 2),Nov/14/2018 18:35,2622,0,-123,1516,Specialist
12,Codeforces Round 521 (Div. 3),Nov/16/2018 17:35,1399,3,-21,1495,Specialist
13,Codeforces Round 525 (Div. 2),Dec/04/2018 17:35,207,4,168,1663,Expert
14,"Codeforces Round 528 (Div. 2, based on Technocup 2019 Elimination Round 4)",Dec/23/2018 16:35,1535,2,-51,1612,Expert
15,Codeforces Round 532 (Div. 2),Jan/13/2019 17:35,1090,3,21,1633,Expert
16,Codeforces Round 533 (Div. 2),Jan/20/2019 15:05,1461,3,-4,1629,Expert
17,Codeforces Round 534 (Div. 2),Jan/22/2019 17:35,191,4,116,1745,Expert
18,CodeCraft-19 and Codeforces Round 537 (Div. 2),Feb/03/2019 18:35,1494,1,-29,1716,Expert
19,Codeforces Global Round 1,Feb/07/2019 16:35,1104,3,49,1765,Expert
20,Codeforces Round 538 (Div. 2),Feb/10/2019 17:05,394,4,63,1828,Expert
21,Educational Codeforces Round 60 (Rated for Div. 2),Feb/18/2019 18:40,3389,2,-124,1704,Expert
22,Codeforces Round 542 [Alex Lopashev Thanks-Round] (Div. 2),Feb/24/2019 18:35,1619,3,-61,1643,Expert
23,Codeforces Round 548 (Div. 2),Mar/21/2019 18:35,1321,3,-6,1637,Expert
24,Codeforces Round 549 (Div. 2),Mar/30/2019 20:10,157,4,108,1745,Expert
25,Codeforces Global Round 2,Apr/06/2019 14:35,578,5,85,1830,Expert
26,Codeforces Round 551 (Div. 2),Apr/13/2019 17:05,1199,2,-38,1792,Expert
27,Educational Codeforces Round 63 (Rated for Div. 2),Apr/22/2019 17:35,855,3,-14,1778,Expert
28,Codeforces Round 554 (Div. 2),Apr/24/2019 17:35,1257,2,-32,1746,Expert
29,Codeforces Round 556 (Div. 2),Apr/29/2019 17:35,449,3,28,1774,Expert
30,Codeforces Round 558 (Div. 2),May/09/2019 18:05,645,3,2,1776,Expert
31,Codeforces Global Round 3,Jun/01/2019 17:35,729,4,47,1823,Expert
32,Codeforces Round 563 (Div. 2),Jun/03/2019 17:05,262,4,57,1880,Expert
33,Codeforces Round 566 (Div. 2),Jun/11/2019 16:05,648,3,-10,1870,Expert
34,Codeforces Round 573 (Div. 2),Jul/12/2019 17:35,888,3,-36,1834,Expert
35,Educational Codeforces Round 68 (Rated for Div. 2),Jul/14/2019 17:45,1561,3,-57,1777,Expert
36,Codeforces Round 578 (Div. 2),Aug/11/2019 15:35,2150,2,-52,1725,Expert
37,Codeforces Round 581 (Div. 2),Aug/20/2019 17:35,528,4,68,1793,Expert
38,"Codeforces Round 584 - Dasha Code Championship - Elimination Round (rated, open for everyone, Div. 1 + Div. 2)",Sep/14/2019 16:05,310,6,138,1931,Candidate Master
39,Educational Codeforces Round 73 (Rated for Div. 2),Sep/19/2019 17:35,347,4,11,1942,Candidate Master
40,Codeforces Global Round 5,Oct/16/2019 17:35,640,5,41,1983,Candidate Master
41,Codeforces Round 593 (Div. 2),Oct/17/2019 16:35,933,3,-50,1933,Candidate Master
42,Educational Codeforces Round 75 (Rated for Div. 2),Oct/24/2019 18:05,718,3,-27,1906,Candidate Master
43,Educational Codeforces Round 76 (Rated for Div. 2),Nov/13/2019 17:35,456,4,15,1921,Candidate Master
44,Codeforces Round 600 (Div. 2),Nov/16/2019 17:35,2489,2,-101,1820,Expert
45,Codeforces Round 604 (Div. 2),Dec/05/2019 17:35,55,5,123,1943,Candidate Master
46,"Codeforces Round 606 (Div. 1, based on Technocup 2020 Elimination Round 4)",Dec/14/2019 14:05,233,3,87,2030,Candidate Master
47,Codeforces Round 607 (Div. 1),Dec/15/2019 08:05,211,3,25,2055,Candidate Master
48,Codeforces Global Round 6,Dec/17/2019 18:05,1145,3,-51,2004,Candidate Master
49,Codeforces Round 609 (Div. 1),Dec/21/2019 14:05,101,3,144,2148,Master
50,Hello 2020,Jan/04/2020 15:05,415,4,37,2185,Master
51,Codeforces Round 614 (Div. 1),Jan/19/2020 16:35,842,1,-111,2074,Candidate Master
52,Codeforces Round 616 (Div. 1),Feb/02/2020 17:05,188,3,88,2162,Master
53,"Codeforces Round 626 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/07/2020 12:35,296,2,17,2179,Master
54,Codeforces Global Round 7,Mar/19/2020 17:35,394,5,42,2221,Master
55,"Codeforces Round 631 (Div. 1) - Thanks, Denis aramis Shitov!",Apr/03/2020 17:35,405,2,16,2237,Master
56,Codeforces Round 633 (Div. 1),Apr/12/2020 17:05,327,3,24,2261,Master
57,Codeforces Round 635 (Div. 1),Apr/15/2020 17:35,773,2,-56,2205,Master
