#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 592 (Div. 2),Oct/13/2019 12:05,5598,1,-119,1381,Pupil
2,Codeforces Global Round 5,Oct/16/2019 17:35,4980,1,-44,1337,Pupil
3,Codeforces Round 594 (Div. 2),Oct/20/2019 12:05,4779,0,-115,1222,Pupil
4,Technocup 2020 - Elimination Round 2,Oct/26/2019 14:05,1137,2,29,1251,Pupil
5,Codeforces Round 597 (Div. 2),Nov/01/2019 17:35,5647,0,-109,1142,Newbie
6,Codeforces Round 598 (Div. 3),Nov/04/2019 16:15,5723,0,-106,1036,Newbie
7,Educational Codeforces Round 76 (Rated for Div. 2),Nov/13/2019 17:35,4644,2,45,1081,Newbie
8,Technocup 2020 - Elimination Round 3,Nov/24/2019 11:05,919,1,34,1115,Newbie
9,Technocup 2020 - Elimination Round 4,Dec/14/2019 14:05,918,1,-5,1110,Newbie
10,Codeforces Global Round 6,Dec/17/2019 18:05,4134,2,22,1132,Newbie
11,Codeforces Round 609 (Div. 2),Dec/21/2019 14:05,2995,1,45,1177,Newbie
12,Educational Codeforces Round 79 (Rated for Div. 2),Dec/27/2019 17:40,5148,1,-22,1155,Newbie
13,Codeforces Round 611 (Div. 3),Dec/28/2019 20:05,2793,2,32,1187,Newbie
14,Good Bye 2019,Dec/29/2019 17:05,5285,2,12,1199,Newbie
15,Hello 2020,Jan/04/2020 15:05,5157,1,23,1222,Pupil
16,Codeforces Round 612 (Div. 2),Jan/05/2020 17:05,3033,1,30,1252,Pupil
17,Codeforces Round 614 (Div. 2),Jan/19/2020 16:35,3454,2,31,1283,Pupil
18,Codeforces Round 615 (Div. 3),Jan/22/2020 17:35,2056,3,69,1352,Pupil
19,Codeforces Round 620 (Div. 2),Feb/15/2020 16:05,3342,3,28,1380,Pupil
20,Codeforces Round 621 (Div. 1 + Div. 2),Feb/17/2020 18:35,4911,1,-45,1335,Pupil
21,"Codeforces Round 625 (Div. 2, based on Technocup 2020 Final Round)",Mar/01/2020 16:15,2419,2,22,1357,Pupil
22,Educational Codeforces Round 86 (Rated for Div. 2),Apr/26/2020 17:35,5593,2,28,1385,Pupil
23,Codeforces Round 648 (Div. 2),Jun/07/2020 17:35,10719,1,-90,1295,Pupil
24,Educational Codeforces Round 92 (Rated for Div. 2),Jul/29/2020 17:35,5013,2,35,1330,Pupil
25,Codeforces Round 668 (Div. 2),Sep/06/2020 17:35,4647,2,-4,1326,Pupil
26,Codeforces Round 675 (Div. 2),Oct/04/2020 19:05,8057,0,-141,1185,Newbie
27,Educational Codeforces Round 96 (Rated for Div. 2),Oct/11/2020 12:05,5909,2,-67,1118,Newbie
28,Codeforces Raif Round 1 (Div. 1 + Div. 2),Oct/17/2020 16:05,4284,3,72,1190,Newbie
29,Technocup 2021 - Elimination Round 1,Oct/25/2020 14:05,1050,1,-7,1183,Newbie
