#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Raif Round 1 (Div. 1 + Div. 2),Oct/17/2020 16:05,4440,3,494,494,Newbie
2,Codeforces Round 676 (Div. 2),Oct/18/2020 12:05,2252,3,386,880,Newbie
3,Codeforces Round 677 (Div. 3),Oct/20/2020 17:35,1918,5,259,1139,Newbie
4,Codeforces Round 678 (Div. 2),Oct/24/2020 17:05,2721,2,159,1298,Pupil
5,"Codeforces Round 679 (Div. 2, based on Technocup 2021 Elimination Round 1)",Oct/25/2020 14:05,379,3,230,1528,Specialist
6,Educational Codeforces Round 97 (Rated for Div. 2),Oct/27/2020 17:35,408,4,178,1706,Expert
7,"Codeforces Round 681 (Div. 2, based on VK Cup 2019-2020 - Final)",Nov/02/2020 17:35,1622,3,-39,1667,Expert
8,"Codeforces Round 683 (Div. 2, by Meet IT)",Nov/15/2020 17:35,1167,3,-17,1650,Expert
9,Codeforces Round 684 (Div. 2),Nov/17/2020 17:35,1050,3,11,1661,Expert
10,Educational Codeforces Round 98 (Rated for Div. 2),Nov/19/2020 17:35,194,4,146,1807,Expert
11,Codeforces Round 685 (Div. 2),Nov/21/2020 17:35,639,5,40,1847,Expert
12,Educational Codeforces Round 99 (Rated for Div. 2),Nov/30/2020 17:35,43,5,176,2023,Candidate Master
13,Codeforces Global Round 12,Dec/06/2020 17:35,596,5,41,2064,Candidate Master
14,Educational Codeforces Round 101 (Rated for Div. 2),Dec/28/2020 17:35,79,5,83,2147,Master
15,Codeforces Round 715 (Div. 1),Apr/16/2021 17:35,676,2,-56,2091,Candidate Master
16,Codeforces Round 728 (Div. 1),Jun/25/2021 18:35,603,1,-56,2035,Candidate Master
17,Codeforces Round 730 (Div. 2),Jul/07/2021 17:35,312,4,14,2049,Candidate Master
18,Codeforces Round 732 (Div. 1),Jul/11/2021 17:05,500,2,18,2067,Candidate Master
19,"Codeforces Round 733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))",Jul/17/2021 17:35,673,5,12,2079,Candidate Master
20,Codeforces Round 735 (Div. 2),Jul/29/2021 17:35,503,4,-21,2058,Candidate Master
21,Educational Codeforces Round 112 (Rated for Div. 2),Jul/30/2021 17:35,110,5,65,2123,Master
22,"Codeforces Round 740 (Div. 1, based on VK Cup 2021 - Final (Engine))",Aug/24/2021 17:35,510,3,-9,2114,Master
23,"Deltix Round, Summer 2021 (open for everyone, rated, Div. 1 + Div. 2)",Aug/29/2021 17:35,581,5,23,2137,Master
24,Codeforces Round 752 (Div. 1),Oct/30/2021 17:35,541,2,-7,2130,Master
25,Codeforces Global Round 17,Nov/23/2021 17:35,384,5,39,2169,Master
26,Codeforces Global Round 18,Dec/24/2021 17:35,548,4,6,2175,Master
27,Hello 2022,Jan/03/2022 17:35,394,5,46,2221,Master
28,Codeforces Global Round 23,Oct/15/2022 17:35,3157,3,-170,2051,Candidate Master
29,Educational Codeforces Round 138 (Rated for Div. 2),Oct/20/2022 17:35,115,4,48,2099,Candidate Master
30,Codeforces Round 832 (Div. 2),Nov/04/2022 17:35,189,4,14,2113,Master
31,Codeforces Round 854 by cybercats (Div. 1 + Div. 2),Feb/27/2023 17:35,463,5,19,2132,Master
