#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,"Codeforces Round 584 - Dasha Code Championship - Elimination Round (rated, open for everyone, Div. 1 + Div. 2)",Sep/14/2019 16:05,1233,4,96,1596,Specialist
2,Codeforces Round 586 (Div. 1 + Div. 2),Sep/18/2019 19:05,4466,1,-94,1502,Specialist
3,Codeforces Round 589 (Div. 2),Sep/29/2019 16:05,589,4,128,1630,Expert
4,Codeforces Round 597 (Div. 2),Nov/01/2019 17:35,4345,1,-91,1539,Specialist
5,Codeforces Round 604 (Div. 2),Dec/05/2019 17:35,1631,3,2,1541,Specialist
6,Educational Codeforces Round 79 (Rated for Div. 2),Dec/27/2019 17:40,625,4,99,1640,Expert
7,Codeforces Round 614 (Div. 2),Jan/19/2020 16:35,747,3,44,1684,Expert
8,Educational Codeforces Round 81 (Rated for Div. 2),Jan/29/2020 17:35,1025,3,36,1720,Expert
9,Codeforces Round 616 (Div. 2),Feb/02/2020 17:05,830,3,24,1744,Expert
10,Codeforces Round 618 (Div. 2),Feb/09/2020 17:05,1514,3,-20,1724,Expert
11,Codeforces Round 619 (Div. 2),Feb/13/2020 17:35,1025,3,27,1751,Expert
12,Educational Codeforces Round 85 (Rated for Div. 2),Apr/10/2020 17:35,2204,3,1,1752,Expert
13,Codeforces Round 635 (Div. 2),Apr/15/2020 17:35,662,4,55,1807,Expert
14,"Codeforces Round 637 (Div. 2) - Thanks, Ivan Belonogov!",Apr/23/2020 17:45,432,4,68,1875,Expert
15,Educational Codeforces Round 86 (Rated for Div. 2),Apr/26/2020 17:35,1475,3,-2,1873,Expert
16,Codeforces Round 645 (Div. 2),May/26/2020 17:35,1066,4,9,1882,Expert
17,Codeforces Round 658 (Div. 2),Jul/21/2020 17:35,55,5,132,2014,Candidate Master
18,Codeforces Round 662 (Div. 2),Aug/07/2020 17:35,127,4,82,2096,Candidate Master
19,Codeforces Round 663 (Div. 2),Aug/09/2020 17:35,94,4,71,2167,Master
20,Codeforces Round 664 (Div. 1),Aug/12/2020 17:35,637,1,-28,2139,Master
21,Grakn Forces 2020,Sep/30/2020 17:35,3040,2,-140,1999,Candidate Master
22,Codeforces Global Round 12,Dec/06/2020 17:35,7702,1,-223,1776,Expert
23,Educational Codeforces Round 100 (Rated for Div. 2),Dec/17/2020 17:35,218,4,113,1889,Expert
24,Codeforces Round 694 (Div. 2),Jan/05/2021 17:35,65,4,117,2006,Candidate Master
25,Codeforces Round 695 (Div. 2),Jan/08/2021 17:35,2771,1,-99,1907,Candidate Master
26,Educational Codeforces Round 102 (Rated for Div. 2),Jan/14/2021 17:35,15,5,206,2113,Master
27,Codeforces Round 706 (Div. 1),Mar/10/2021 15:05,697,2,-22,2091,Candidate Master
28,Educational Codeforces Round 106 (Rated for Div. 2),Mar/18/2021 17:50,34,5,109,2200,Master
29,"Codeforces Round 709 (Div. 1, based on Technocup 2021 Final Round)",Mar/21/2021 16:20,857,0,-107,2093,Candidate Master
30,Contest 2050 and Codeforces Round 718 (Div. 1 + Div. 2),Apr/23/2021 17:35,202,5,119,2212,Master
31,Codeforces Round 722 (Div. 1),May/24/2021 17:35,137,4,103,2315,International Master
32,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,2042,2,-141,2174,Master
33,Codeforces Round 745 (Div. 1),Sep/30/2021 13:15,239,1,23,2197,Master
34,Codeforces Round 752 (Div. 1),Oct/30/2021 17:35,425,2,6,2203,Master
35,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Nov/28/2021 17:35,141,5,111,2314,International Master
36,Codeforces Global Round 18,Dec/24/2021 17:35,93,6,115,2429,Grandmaster
37,Codeforces Round 767 (Div. 1),Jan/22/2022 17:35,388,4,-46,2383,International Master
38,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,2345,3,-168,2215,Master
39,Codeforces Round 796 (Div. 1),Jun/03/2022 17:35,514,2,-59,2156,Master
40,Codeforces Round 800 (Div. 1),Jun/16/2022 17:35,164,3,100,2256,Master
41,Codeforces Global Round 21,Jun/25/2022 17:35,290,5,47,2303,International Master
42,Codeforces Round 814 (Div. 1),Aug/16/2022 17:35,198,4,35,2338,International Master
43,Codeforces Global Round 22,Sep/30/2022 17:35,100,6,97,2435,Grandmaster
44,Codeforces Global Round 23,Oct/15/2022 17:35,119,5,74,2509,Grandmaster
45,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,138,5,21,2530,Grandmaster
46,Pinely Round 1 (Div. 1 + Div. 2),Nov/20/2022 17:35,725,3,-118,2412,Grandmaster
47,"Polynomial Round 2022 (Div. 1 + Div. 2, Rated, Prizes!)",Dec/17/2022 17:35,1151,4,-125,2287,Master
48,Hello 2023,Jan/03/2023 17:35,640,4,-22,2265,Master
49,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",Jan/29/2023 17:35,142,6,100,2365,International Master
