#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 668 (Div. 2),Sep/06/2020 17:35,230,4,705,705,Newbie
2,Codeforces Global Round 11,Oct/10/2020 17:50,832,4,488,1193,Newbie
3,Codeforces Raif Round 1 (Div. 1 + Div. 2),Oct/17/2020 16:05,321,6,435,1628,Expert
4,"Codeforces Round 679 (Div. 2, based on Technocup 2021 Elimination Round 1)",Oct/25/2020 14:05,27,5,272,1900,Candidate Master
5,Codeforces Round 691 (Div. 1),Dec/19/2020 12:35,459,2,96,1996,Candidate Master
6,Good Bye 2020,Dec/30/2020 17:35,453,6,132,2128,Master
7,Codeforces Round 700 (Div. 1),Feb/07/2021 17:35,577,2,-5,2123,Master
8,Codeforces Round 706 (Div. 1),Mar/10/2021 15:05,235,3,91,2214,Master
9,"Codeforces Round 707 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/13/2021 12:05,307,2,1,2215,Master
10,"Codeforces Round 709 (Div. 1, based on Technocup 2021 Final Round)",Mar/21/2021 16:20,635,2,-59,2156,Master
11,Codeforces Round 745 (Div. 1),Sep/30/2021 13:15,367,1,-27,2129,Master
12,Good Bye 2021: 2022 is NEAR,Dec/29/2021 18:35,1084,4,-29,2100,Master
13,Codeforces Round 767 (Div. 1),Jan/22/2022 17:35,181,5,118,2218,Master
14,Codeforces Global Round 19,Feb/12/2022 17:35,360,5,36,2254,Master
15,Codeforces Global Round 20,Apr/23/2022 17:05,1339,4,-103,2151,Master
16,Codeforces Round 831 (Div. 1 + Div. 2),Oct/29/2022 12:10,255,5,41,2192,Master
17,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,979,4,-61,2131,Master
