#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 597 (Div. 2),Nov/01/2019 17:35,5018,1,-86,1414,Specialist
2,"Codeforces Round 602 (Div. 2, based on Technocup 2020 Elimination Round 3)",Nov/24/2019 11:05,2235,1,-64,1350,Pupil
3,"Codeforces Round 606 (Div. 2, based on Technocup 2020 Elimination Round 4)",Dec/14/2019 14:05,1784,3,21,1371,Pupil
4,Educational Codeforces Round 79 (Rated for Div. 2),Dec/27/2019 17:40,4135,1,-32,1339,Pupil
5,Codeforces Round 611 (Div. 3),Dec/28/2019 20:05,2348,2,-5,1334,Pupil
6,Codeforces Round 613 (Div. 2),Jan/10/2020 17:05,4382,2,-18,1316,Pupil
7,Codeforces Round 614 (Div. 2),Jan/19/2020 16:35,5270,1,-46,1270,Pupil
8,Educational Codeforces Round 81 (Rated for Div. 2),Jan/29/2020 17:35,2676,2,81,1351,Pupil
9,Codeforces Round 617 (Div. 3),Feb/04/2020 17:35,1320,4,75,1426,Specialist
10,Educational Codeforces Round 82 (Rated for Div. 2),Feb/12/2020 17:35,5557,1,-46,1380,Pupil
11,"Codeforces Round 626 (Div. 2, based on Moscow Open Olympiad in Informatics)",Mar/07/2020 12:35,2835,2,-20,1360,Pupil
12,Codeforces Round 627 (Div. 3),Mar/12/2020 16:05,2764,3,6,1366,Pupil
13,Codeforces Round 628 (Div. 2),Mar/14/2020 17:35,4486,2,-2,1364,Pupil
14,Codeforces Global Round 7,Mar/19/2020 17:35,3221,4,75,1439,Specialist
15,Educational Codeforces Round 84 (Rated for Div. 2),Mar/23/2020 17:35,2096,3,85,1524,Specialist
16,"Codeforces Round 631 (Div. 2) - Thanks, Denis aramis Shitov!",Apr/03/2020 17:35,1827,2,53,1577,Specialist
17,Codeforces Round 632 (Div. 2),Apr/08/2020 17:35,5665,2,-41,1536,Specialist
18,Codeforces Round 633 (Div. 2),Apr/12/2020 17:05,5250,2,-41,1495,Specialist
19,Codeforces Round 635 (Div. 2),Apr/15/2020 17:35,2165,3,57,1552,Specialist
20,Codeforces Round 636 (Div. 3),Apr/21/2020 17:35,376,4,103,1655,Expert
21,Codeforces Round 670 (Div. 2),Sep/12/2020 16:45,4475,2,-70,1585,Specialist
22,Codeforces Round 671 (Div. 2),Sep/19/2020 17:35,3554,3,-39,1546,Specialist
23,Grakn Forces 2020,Sep/30/2020 17:35,3473,2,-25,1521,Specialist
24,Codeforces Raif Round 1 (Div. 1 + Div. 2),Oct/17/2020 16:05,1929,3,63,1584,Specialist
25,Codeforces Round 678 (Div. 2),Oct/24/2020 17:05,913,3,63,1647,Expert
26,"Codeforces Round 683 (Div. 2, by Meet IT)",Nov/15/2020 17:35,744,3,21,1668,Expert
27,Codeforces Round 685 (Div. 2),Nov/21/2020 17:35,835,4,61,1729,Expert
28,"Codeforces Round 687 (Div. 2, based on Technocup 2021 Elimination Round 2)",Nov/29/2020 10:05,501,3,23,1752,Expert
29,Codeforces Round 688 (Div. 2),Dec/04/2020 16:05,1148,3,-1,1751,Expert
30,"Codeforces Round 689 (Div. 2, based on Zed Code Competition)",Dec/11/2020 17:35,977,4,8,1759,Expert
31,Educational Codeforces Round 101 (Rated for Div. 2),Dec/28/2020 17:35,1259,4,5,1764,Expert
32,Good Bye 2020,Dec/30/2020 17:35,1921,5,24,1788,Expert
33,Codeforces Round 694 (Div. 2),Jan/05/2021 17:35,2826,3,-63,1725,Expert
34,Codeforces Round 699 (Div. 2),Feb/05/2021 17:35,1954,3,-16,1709,Expert
35,Codeforces Round 700 (Div. 2),Feb/07/2021 17:35,4797,2,-85,1624,Expert
36,Codeforces Round 703 (Div. 2),Feb/18/2021 17:35,1357,3,44,1668,Expert
37,Codeforces Round 706 (Div. 2),Mar/10/2021 15:05,1792,3,-21,1647,Expert
38,"Codeforces Round 707 (Div. 2, based on Moscow Open Olympiad in Informatics)",Mar/13/2021 12:05,2326,2,-55,1592,Specialist
39,Educational Codeforces Round 106 (Rated for Div. 2),Mar/18/2021 17:50,858,3,64,1656,Expert
40,"Codeforces Round 709 (Div. 2, based on Technocup 2021 Final Round)",Mar/21/2021 16:20,1577,2,-29,1627,Expert
41,CodeCraft-21 and Codeforces Round 711 (Div. 2),Mar/29/2021 17:35,2768,2,-45,1582,Specialist
42,Codeforces Round 713 (Div. 3),Apr/10/2021 17:35,215,6,85,1667,Expert
43,Divide by Zero 2021 and Codeforces Round 714 (Div. 2),Apr/11/2021 17:35,2789,2,-54,1613,Expert
44,Educational Codeforces Round 107 (Rated for Div. 2),Apr/12/2021 17:35,1008,4,45,1658,Expert
45,Codeforces Round 716 (Div. 2),Apr/19/2021 16:35,1300,3,12,1670,Expert
46,Contest 2050 and Codeforces Round 718 (Div. 1 + Div. 2),Apr/23/2021 17:35,2454,3,-4,1666,Expert
47,Educational Codeforces Round 108 (Rated for Div. 2),Apr/29/2021 17:35,1119,4,32,1698,Expert
