#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Global Round 11,Oct/10/2020 17:50,217,5,835,835,Newbie
2,Educational Codeforces Round 96 (Rated for Div. 2),Oct/11/2020 12:05,678,4,385,1220,Pupil
3,Educational Codeforces Round 97 (Rated for Div. 2),Oct/27/2020 17:35,9,6,528,1748,Expert
4,Educational Codeforces Round 98 (Rated for Div. 2),Nov/19/2020 17:35,5,5,349,2097,Candidate Master
5,Codeforces Round 685 (Div. 2),Nov/21/2020 17:35,3,7,303,2400,Grandmaster
6,"Codeforces Round 687 (Div. 1, based on Technocup 2021 Elimination Round 2)",Nov/29/2020 10:05,189,3,43,2443,Grandmaster
7,Codeforces Global Round 12,Dec/06/2020 17:35,375,5,-26,2417,Grandmaster
8,Codeforces Round 691 (Div. 1),Dec/19/2020 12:35,183,2,-1,2416,Grandmaster
9,Good Bye 2020,Dec/30/2020 17:35,392,6,-4,2412,Grandmaster
10,Codeforces Round 694 (Div. 1),Jan/05/2021 17:35,274,3,-18,2394,International Master
11,Codeforces Global Round 13,Feb/28/2021 16:35,866,4,-66,2328,International Master
12,Codeforces Round 706 (Div. 1),Mar/10/2021 15:05,23,4,205,2533,Grandmaster
13,"Codeforces Round 707 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/13/2021 12:05,473,1,-113,2420,Grandmaster
14,"Codeforces Round 709 (Div. 1, based on Technocup 2021 Final Round)",Mar/21/2021 16:20,190,4,10,2430,Grandmaster
15,Codeforces Round 712 (Div. 1),Apr/03/2021 17:35,89,4,73,2503,Grandmaster
16,Codeforces Round 715 (Div. 1),Apr/16/2021 17:35,71,3,60,2563,Grandmaster
17,Contest 2050 and Codeforces Round 718 (Div. 1 + Div. 2),Apr/23/2021 17:35,252,5,-21,2542,Grandmaster
18,Codeforces Global Round 14,May/02/2021 17:35,115,6,40,2582,Grandmaster
19,Codeforces Round 722 (Div. 1),May/24/2021 17:35,117,4,15,2597,Grandmaster
20,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,131,5,20,2617,International Grandmaster
21,Codeforces LATOKEN Round 1 (Div. 1 + Div. 2),Jun/13/2021 18:35,370,5,-80,2537,Grandmaster
22,Codeforces Round 728 (Div. 1),Jun/25/2021 18:35,152,2,-16,2521,Grandmaster
23,Codeforces Round 732 (Div. 1),Jul/11/2021 17:05,600,1,-110,2411,Grandmaster
