#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 665 (Div. 2),Aug/21/2020 17:35,1528,4,604,604,Newbie
2,Educational Codeforces Round 94 (Rated for Div. 2),Aug/25/2020 17:35,401,4,521,1125,Newbie
3,Codeforces Round 666 (Div. 2),Aug/30/2020 17:35,3570,2,197,1322,Pupil
4,Codeforces Round 667 (Div. 3),Sep/04/2020 17:35,87,5,294,1616,Expert
5,Codeforces Round 668 (Div. 2),Sep/06/2020 17:35,276,4,177,1793,Expert
6,Codeforces Round 669 (Div. 2),Sep/08/2020 17:35,300,4,141,1934,Candidate Master
7,Codeforces Round 671 (Div. 2),Sep/19/2020 17:35,15,6,205,2139,Master
8,Codeforces Round 673 (Div. 1),Sep/27/2020 18:05,900,1,-89,2050,Candidate Master
9,Grakn Forces 2020,Sep/30/2020 17:35,1633,3,-55,1995,Candidate Master
10,Codeforces Round 675 (Div. 2),Oct/04/2020 19:05,1117,3,-61,1934,Candidate Master
11,Codeforces Global Round 11,Oct/10/2020 17:50,618,4,74,2008,Candidate Master
12,Codeforces Round 676 (Div. 2),Oct/18/2020 12:05,573,4,-18,1990,Candidate Master
13,Codeforces Round 678 (Div. 2),Oct/24/2020 17:05,49,4,115,2105,Master
14,"Codeforces Round 679 (Div. 1, based on Technocup 2021 Elimination Round 1)",Oct/25/2020 14:05,200,3,89,2194,Master
15,"Codeforces Round 680 (Div. 1, based on Moscow Team Olympiad)",Nov/01/2020 14:05,436,2,-12,2182,Master
16,"Codeforces Round 681 (Div. 1, based on VK Cup 2019-2020 - Final)",Nov/02/2020 17:35,189,3,68,2250,Master
17,"Codeforces Round 683 (Div. 1, by Meet IT)",Nov/15/2020 17:35,562,3,-57,2193,Master
18,Codeforces Round 684 (Div. 1),Nov/17/2020 17:35,652,2,-60,2133,Master
19,"Codeforces Round 687 (Div. 1, based on Technocup 2021 Elimination Round 2)",Nov/29/2020 10:05,616,1,-49,2084,Candidate Master
20,Codeforces Round 688 (Div. 2),Dec/04/2020 16:05,138,4,37,2121,Master
21,Codeforces Global Round 12,Dec/06/2020 17:35,627,5,11,2132,Master
22,Codeforces Round 691 (Div. 1),Dec/19/2020 12:35,544,2,-48,2084,Candidate Master
23,"Codeforces Round 692 (Div. 1, based on Technocup 2021 Elimination Round 3)",Dec/20/2020 18:05,772,0,-101,1983,Candidate Master
24,Educational Codeforces Round 101 (Rated for Div. 2),Dec/28/2020 17:35,140,4,75,2058,Candidate Master
25,Good Bye 2020,Dec/30/2020 17:35,1002,6,11,2069,Candidate Master
26,Codeforces Round 695 (Div. 2),Jan/08/2021 17:35,85,4,83,2152,Master
27,Codeforces Global Round 15,Jul/25/2021 17:35,522,5,23,2175,Master
28,Codeforces Global Round 16,Sep/12/2021 17:35,481,6,23,2198,Master
29,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,368,5,25,2223,Master
30,Codeforces Round 751 (Div. 1),Oct/25/2021 09:35,350,2,-29,2194,Master
31,Codeforces Round 752 (Div. 1),Oct/30/2021 17:35,359,3,26,2220,Master
32,"Codeforces Round 755 (Div. 1, based on Technocup 2022 Elimination Round 2)",Nov/14/2021 09:05,425,2,-54,2166,Master
33,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Nov/28/2021 17:35,446,4,21,2187,Master
34,Codeforces Round 758 (Div.1 + Div. 2),Dec/11/2021 13:05,274,3,33,2220,Master
35,Good Bye 2021: 2022 is NEAR,Dec/29/2021 18:35,213,5,89,2309,International Master
36,Hello 2022,Jan/03/2022 17:35,440,4,1,2310,International Master
37,Codeforces Global Round 19,Feb/12/2022 17:35,228,6,49,2359,International Master
38,Codeforces Round 773 (Div. 1),Feb/23/2022 13:10,313,3,-14,2345,International Master
39,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,467,4,-30,2315,International Master
40,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,1644,3,-119,2196,Master
41,Codeforces Round 783 (Div. 1),Apr/19/2022 17:35,225,3,59,2255,Master
42,Codeforces Global Round 20,Apr/23/2022 17:05,681,5,-34,2221,Master
43,Codeforces Round 792 (Div. 1 + Div. 2),May/19/2022 17:35,522,4,-8,2213,Master
44,Codeforces Round 794 (Div. 1),May/25/2022 20:35,243,2,-1,2212,Master
45,Codeforces Round 796 (Div. 1),Jun/03/2022 17:35,198,3,53,2265,Master
46,Codeforces Global Round 21,Jun/25/2022 17:35,283,5,46,2311,International Master
47,Codeforces Round 808 (Div. 1),Jul/16/2022 17:35,154,3,56,2367,International Master
48,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,5737,2,-249,2118,Master
49,Codeforces Global Round 22,Sep/30/2022 17:35,174,5,117,2235,Master
