#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 40 (Rated for Div. 2),Mar/22/2018 09:05,1324,2,-46,1454,Specialist
2,Codeforces Round 471 (Div. 2),Mar/23/2018 19:35,1951,1,-54,1400,Specialist
3,"Codeforces Round 472 (rated, Div. 2, based on VK Cup 2018 Round 2)",Mar/24/2018 18:35,793,3,55,1455,Specialist
4,Codeforces Round 473 (Div. 2),Apr/03/2018 19:05,1788,2,-22,1433,Specialist
5,"Codeforces Round 476 (Div. 2) [Thanks, Telegram!]",Apr/25/2018 20:35,1841,1,-80,1353,Pupil
6,Codeforces Round 478 (Div. 2),May/01/2018 17:05,2749,1,-82,1271,Pupil
7,Codeforces Round 479 (Div. 3),May/06/2018 17:05,1895,3,20,1291,Pupil
8,Codeforces Round 480 (Div. 2),May/08/2018 18:05,972,2,115,1406,Specialist
9,Codeforces Round 481 (Div. 3),May/13/2018 12:05,209,7,115,1521,Specialist
10,Codeforces Round 482 (Div. 2),May/14/2018 17:35,1469,1,10,1531,Specialist
11,"Codeforces Round 483 (Div. 2) [Thanks, Botan Investments and Victor Shaburov!]",May/15/2018 17:45,2212,2,-59,1472,Specialist
12,Codeforces Round 484 (Div. 2),May/17/2018 19:35,1653,2,-7,1465,Specialist
13,Educational Codeforces Round 44 (Rated for Div. 2),May/21/2018 17:45,280,4,156,1621,Expert
14,Avito Code Challenge 2018,May/27/2018 17:50,1623,3,-48,1573,Specialist
15,Codeforces Round 485 (Div. 2),May/29/2018 18:35,730,3,27,1600,Expert
16,Codeforces Round 487 (Div. 2),Jun/11/2018 16:35,1200,2,6,1606,Expert
17,Codeforces Round 488 by NEAR (Div. 2),Jun/16/2018 19:35,668,2,16,1622,Expert
18,Codeforces Round 489 (Div. 2),Jun/18/2018 19:35,1789,1,-59,1563,Specialist
19,Codeforces Round 490 (Div. 3),Jun/21/2018 17:35,179,4,77,1640,Expert
20,"Codeforces Round 492 (Div. 2) [Thanks, uDebug!]",Jun/24/2018 19:35,492,3,33,1673,Expert
21,Educational Codeforces Round 46 (Rated for Div. 2),Jun/27/2018 17:35,846,2,0,1673,Expert
22,Codeforces Round 493 (Div. 2),Jul/01/2018 17:05,1315,2,-40,1633,Expert
23,Codeforces Round 495 (Div. 2),Jul/05/2018 19:35,639,3,29,1662,Expert
24,Codeforces Round 497 (Div. 2),Jul/13/2018 17:35,1470,3,-37,1625,Expert
25,Codeforces Round 499 (Div. 2),Jul/26/2018 18:05,348,4,74,1699,Expert
26,Educational Codeforces Round 48 (Rated for Div. 2),Aug/03/2018 17:45,1706,2,-44,1655,Expert
27,Educational Codeforces Round 49 (Rated for Div. 2),Aug/18/2018 17:35,2035,2,-42,1613,Expert
28,"Codeforces Round 505 (rated, Div. 1 + Div. 2, based on VK Cup 2018 Final)",Aug/19/2018 16:35,2235,2,-23,1590,Specialist
29,"AIM Tech Round 5 (rated, Div. 1 + Div. 2)",Aug/27/2018 19:35,1717,2,-14,1576,Specialist
30,Codeforces Round 508 (Div. 2),Sep/06/2018 18:35,108,4,194,1770,Expert
31,Educational Codeforces Round 50 (Rated for Div. 2),Sep/07/2018 17:35,2075,2,-77,1693,Expert
