#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,"Codeforces Round 709 (Div. 2, based on Technocup 2021 Final Round)",Mar/21/2021 16:20,5988,1,404,404,Newbie
2,"Codeforces Round 733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))",Jul/17/2021 17:35,5191,3,343,747,Newbie
3,"Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)",Jul/22/2021 17:35,5519,2,243,990,Newbie
4,Codeforces Round 734 (Div. 3),Jul/23/2021 17:35,4685,2,137,1127,Newbie
5,Codeforces Global Round 15,Jul/25/2021 17:35,4212,2,137,1264,Pupil
6,Codeforces Round 735 (Div. 2),Jul/29/2021 17:35,4322,1,55,1319,Pupil
7,Educational Codeforces Round 112 (Rated for Div. 2),Jul/30/2021 17:35,2518,3,66,1385,Pupil
8,Codeforces Round 736 (Div. 2),Aug/01/2021 17:35,2582,3,33,1418,Specialist
9,Codeforces Round 737 (Div. 2),Aug/09/2021 17:35,3501,2,10,1428,Specialist
10,Codeforces Round 738 (Div. 2),Aug/15/2021 17:35,4681,3,-22,1406,Specialist
11,Codeforces Round 739 (Div. 3),Aug/18/2021 17:35,495,5,103,1509,Specialist
12,"Codeforces Round 740 (Div. 2, based on VK Cup 2021 - Final (Engine))",Aug/24/2021 17:35,2046,3,11,1520,Specialist
13,Codeforces Round 741 (Div. 2),Aug/26/2021 17:35,1550,4,44,1564,Specialist
14,"Deltix Round, Summer 2021 (open for everyone, rated, Div. 1 + Div. 2)",Aug/29/2021 17:35,2189,3,31,1595,Specialist
15,Codeforces Round 742 (Div. 2),Sep/05/2021 17:35,542,4,102,1697,Expert
16,Codeforces Global Round 16,Sep/12/2021 17:35,2867,5,-36,1661,Expert
17,Educational Codeforces Round 114 (Rated for Div. 2),Sep/20/2021 17:35,2188,3,-24,1637,Expert
18,Codeforces Round 747 (Div. 2),Oct/08/2021 18:05,734,5,50,1687,Expert
19,Educational Codeforces Round 115 (Rated for Div. 2),Oct/10/2021 12:05,3693,2,-103,1584,Specialist
20,Codeforces Round 748 (Div. 3),Oct/13/2021 17:35,1282,5,-8,1576,Specialist
21,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,1432,3,53,1629,Expert
22,Educational Codeforces Round 116 (Rated for Div. 2),Oct/29/2021 17:35,1701,3,4,1633,Expert
23,Codeforces Round 752 (Div. 2),Oct/30/2021 17:35,534,4,59,1692,Expert
24,Codeforces Round 758 (Div.1 + Div. 2),Dec/11/2021 13:05,693,3,80,1772,Expert
25,Codeforces Round 761 (Div. 2),Dec/16/2021 16:35,3964,2,-114,1658,Expert
26,Educational Codeforces Round 119 (Rated for Div. 2),Dec/18/2021 18:35,1340,3,0,1658,Expert
27,Codeforces Global Round 18,Dec/24/2021 17:35,1481,3,41,1699,Expert
28,Educational Codeforces Round 120 (Rated for Div. 2),Dec/27/2021 17:35,1134,3,16,1715,Expert
29,Hello 2022,Jan/03/2022 17:35,3139,2,-34,1681,Expert
30,Codeforces Round 767 (Div. 2),Jan/22/2022 17:35,2184,3,-27,1654,Expert
31,Codeforces Round 788 (Div. 2),May/06/2022 17:35,744,4,41,1695,Expert
32,Codeforces Round 789 (Div. 2),May/08/2022 17:35,1968,3,-46,1649,Expert
33,Codeforces Round 792 (Div. 1 + Div. 2),May/19/2022 17:35,366,5,173,1822,Expert
34,Codeforces Round 793 (Div. 2),May/22/2022 17:35,350,4,54,1876,Expert
35,Educational Codeforces Round 129 (Rated for Div. 2),May/23/2022 17:35,465,4,23,1899,Expert
36,Codeforces Round 794 (Div. 2),May/25/2022 20:35,361,3,-7,1892,Expert
37,CodeCraft-22 and Codeforces Round 795 (Div. 2),May/31/2022 17:35,125,5,87,1979,Candidate Master
38,Codeforces Round 796 (Div. 1),Jun/03/2022 17:35,505,2,-4,1975,Candidate Master
39,Codeforces Round 798 (Div. 2),Jun/10/2022 19:35,558,3,-37,1938,Candidate Master
40,Codeforces Round 800 (Div. 1),Jun/16/2022 17:35,417,2,55,1993,Candidate Master
41,Codeforces Global Round 21,Jun/25/2022 17:35,836,5,20,2013,Candidate Master
42,Codeforces Round 803 (Div. 2),Jun/28/2022 17:35,87,5,76,2089,Candidate Master
43,Codeforces Round 804 (Div. 2),Jul/04/2022 17:35,1172,3,-78,2011,Candidate Master
44,Codeforces Round 808 (Div. 1),Jul/16/2022 17:35,447,2,33,2044,Candidate Master
45,Codeforces Round 809 (Div. 2),Jul/18/2022 17:35,494,4,-16,2028,Candidate Master
46,Codeforces Round 818 (Div. 2),Sep/02/2022 17:35,97,5,66,2094,Candidate Master
47,Educational Codeforces Round 135 (Rated for Div. 2),Sep/08/2022 17:35,34,5,94,2188,Master
48,Hello 2023,Jan/03/2023 17:35,906,4,-29,2159,Master
