#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 383 (Div. 2),Dec/06/2016 17:35,1982,1,-28,1472,Specialist
2,Codeforces Round 393 (Div. 2) (8VC Venture Cup 2017 - Final Round Div. 2 Edition),Jan/22/2017 21:15,1391,1,-23,1449,Specialist
3,"Codeforces Round 412 (rated, Div. 2, base on VK Cup 2017 Round 3)",May/07/2017 18:45,116,3,168,1617,Expert
4,"Codeforces Round 423 (Div. 2, rated, based on VK Cup Finals)",Jul/11/2017 19:45,111,3,129,1746,Expert
5,"Codeforces Round 424 (Div. 2, rated, based on VK Cup Finals)",Jul/13/2017 18:05,214,3,49,1795,Expert
6,Codeforces Round 427 (Div. 2),Jul/31/2017 17:35,333,3,22,1817,Expert
7,Codeforces Round 428 (Div. 2),Aug/12/2017 17:35,3048,1,-115,1702,Expert
8,Codeforces Round 429 (Div. 2),Aug/18/2017 18:05,80,4,124,1826,Expert
9,Codeforces Round 430 (Div. 2),Aug/29/2017 18:05,620,2,-15,1811,Expert
10,Codeforces Round 431 (Div. 2),Sep/01/2017 16:35,670,2,-27,1784,Expert
11,"Codeforces Round 432 (Div. 2, based on IndiaHacks Final Round 2017)",Sep/04/2017 17:35,74,3,106,1890,Expert
12,"Codeforces Round 433 (Div. 2, based on Olympiad of Metropolises)",Sep/06/2017 15:55,392,3,-20,1870,Expert
13,Codeforces Round 435 (Div. 2),Sep/19/2017 18:05,99,4,60,1930,Candidate Master
14,Codeforces Round 446 (Div. 1),Nov/17/2017 17:35,413,0,-87,1843,Expert
15,Educational Codeforces Round 33 (Rated for Div. 2),Nov/23/2017 18:05,160,4,27,1870,Expert
16,Codeforces Round 448 (Div. 2),Nov/26/2017 19:05,204,2,22,1892,Expert
17,Codeforces Round 449 (Div. 2),Dec/02/2017 17:05,2375,1,-65,1827,Expert
18,Codeforces Round 450 (Div. 2),Dec/11/2017 19:05,3574,1,-154,1673,Expert
19,Educational Codeforces Round 34 (Rated for Div. 2),Dec/12/2017 18:05,153,3,86,1759,Expert
20,Codeforces Round 453 (Div. 2),Dec/19/2017 18:35,55,4,122,1881,Expert
21,"Codeforces Round 454 (Div. 2, based on Technocup 2018 Elimination Round 4)",Dec/23/2017 17:05,2,5,253,2134,Master
22,Good Bye 2017,Dec/29/2017 18:40,2436,2,-131,2003,Candidate Master
23,Hello 2018,Jan/08/2018 17:45,1786,3,-84,1919,Candidate Master
24,"Codecraft-18 and Codeforces Round 458 (Div. 1 + Div. 2, combined)",Jan/20/2018 18:35,713,3,-7,1912,Candidate Master
25,Codeforces Round 459 (Div. 1),Jan/29/2018 17:35,225,2,23,1935,Candidate Master
