#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 67 (Rated for Div. 2),Jun/30/2019 17:45,267,3,154,1654,Expert
2,Codeforces Round 572 (Div. 2),Jul/05/2019 18:05,977,4,1,1655,Expert
3,Codeforces Round 573 (Div. 2),Jul/12/2019 17:35,1664,3,-24,1631,Expert
4,Educational Codeforces Round 68 (Rated for Div. 2),Jul/14/2019 17:45,845,4,41,1672,Expert
5,Codeforces Round 574 (Div. 2),Jul/17/2019 17:35,1392,4,-3,1669,Expert
6,Codeforces Global Round 4,Jul/20/2019 18:35,1063,4,43,1712,Expert
7,Educational Codeforces Round 69 (Rated for Div. 2),Jul/22/2019 17:35,1869,3,-37,1675,Expert
8,Codeforces Round 576 (Div. 2),Jul/30/2019 17:35,736,4,28,1703,Expert
9,Codeforces Round 577 (Div. 2),Aug/04/2019 19:35,804,3,17,1720,Expert
10,Educational Codeforces Round 70 (Rated for Div. 2),Aug/07/2019 17:35,1755,1,-54,1666,Expert
11,Codeforces Round 578 (Div. 2),Aug/11/2019 15:35,948,3,38,1704,Expert
12,Codeforces Round 581 (Div. 2),Aug/20/2019 17:35,656,3,59,1763,Expert
13,Educational Codeforces Round 71 (Rated for Div. 2),Aug/22/2019 17:35,514,5,50,1813,Expert
14,"Manthan, Codefest 19 (open for everyone, rated, Div. 1 + Div. 2)",Aug/25/2019 17:35,1450,3,-8,1805,Expert
15,Codeforces Round 588 (Div. 2),Sep/23/2019 17:05,1043,3,-30,1775,Expert
16,Codeforces Round 592 (Div. 2),Oct/13/2019 12:05,591,4,28,1803,Expert
17,Codeforces Global Round 5,Oct/16/2019 17:35,1471,4,0,1803,Expert
18,Codeforces Round 593 (Div. 2),Oct/17/2019 16:35,771,3,7,1810,Expert
19,Hello 2020,Jan/04/2020 15:05,1439,3,18,1828,Expert
20,Codeforces Round 612 (Div. 2),Jan/05/2020 17:05,131,4,80,1908,Candidate Master
21,Codeforces Round 726 (Div. 2),Jun/18/2021 17:35,1789,4,-48,1860,Expert
22,Codeforces Round 727 (Div. 2),Jun/20/2021 13:05,2701,3,-94,1766,Expert
23,Educational Codeforces Round 119 (Rated for Div. 2),Dec/18/2021 18:35,1517,3,-35,1731,Expert
24,Educational Codeforces Round 120 (Rated for Div. 2),Dec/27/2021 17:35,2844,2,-61,1670,Expert
25,Codeforces Round 763 (Div. 2),Dec/28/2021 16:35,827,3,36,1706,Expert
26,Good Bye 2021: 2022 is NEAR,Dec/29/2021 18:35,3403,3,-41,1665,Expert
27,Codeforces Global Round 21,Jun/25/2022 17:35,608,5,137,1802,Expert
28,Codeforces Round 803 (Div. 2),Jun/28/2022 17:35,251,4,79,1881,Expert
29,Codeforces Round 804 (Div. 2),Jul/04/2022 17:35,2662,2,-85,1796,Expert
30,Educational Codeforces Round 131 (Rated for Div. 2),Jul/08/2022 17:35,490,4,43,1839,Expert
31,Codeforces Round 807 (Div. 2),Jul/15/2022 16:35,440,4,38,1877,Expert
32,Codeforces Round 808 (Div. 2),Jul/16/2022 17:35,2451,2,-80,1797,Expert
33,Codeforces Round 809 (Div. 2),Jul/18/2022 17:35,232,4,94,1891,Expert
34,Codeforces Round 810 (Div. 2),Jul/24/2022 17:35,105,3,80,1971,Candidate Master
35,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,845,4,28,1999,Candidate Master
36,Educational Codeforces Round 133 (Rated for Div. 2),Aug/04/2022 17:35,1221,3,-54,1945,Candidate Master
37,Codeforces Round 812 (Div. 2),Aug/06/2022 17:35,555,4,4,1949,Candidate Master
38,Codeforces Round 813 (Div. 2),Aug/13/2022 17:35,191,4,69,2018,Candidate Master
39,Codeforces Round 814 (Div. 1),Aug/16/2022 17:35,671,2,-40,1978,Candidate Master
40,Codeforces Round 816 (Div. 2),Aug/20/2022 17:35,700,4,-23,1955,Candidate Master
41,Codeforces Round 818 (Div. 2),Sep/02/2022 17:35,49,5,122,2077,Candidate Master
42,Codeforces Round 821 (Div. 2),Sep/19/2022 17:35,394,5,-22,2055,Candidate Master
43,Codeforces Round 822 (Div. 2),Sep/23/2022 15:05,998,4,-73,1982,Candidate Master
44,Codeforces Round 823 (Div. 2),Sep/25/2022 17:35,1145,3,-63,1919,Candidate Master
45,Educational Codeforces Round 136 (Rated for Div. 2),Sep/29/2022 17:35,146,4,67,1986,Candidate Master
46,Codeforces Global Round 22,Sep/30/2022 17:35,1127,3,-14,1972,Candidate Master
47,Dytechlab Cup 2022,Oct/07/2022 17:35,270,4,115,2087,Candidate Master
48,Codeforces Global Round 23,Oct/15/2022 17:35,695,4,17,2104,Master
49,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,387,4,47,2151,Master
