#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 135 (Rated for Div. 2),Sep/08/2022 17:35,57,5,786,786,Newbie
2,Codeforces Round 821 (Div. 2),Sep/19/2022 17:35,338,5,442,1228,Pupil
3,Codeforces Round 822 (Div. 2),Sep/23/2022 15:05,405,4,304,1532,Specialist
4,Educational Codeforces Round 136 (Rated for Div. 2),Sep/29/2022 17:35,208,4,220,1752,Expert
5,Codeforces Global Round 22,Sep/30/2022 17:35,1183,3,102,1854,Expert
6,Codeforces Global Round 23,Oct/15/2022 17:35,667,4,120,1974,Candidate Master
7,Educational Codeforces Round 137 (Rated for Div. 2),Oct/17/2022 17:35,111,5,74,2048,Candidate Master
8,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,581,4,-3,2045,Candidate Master
9,Codeforces Round 832 (Div. 2),Nov/04/2022 17:35,24,4,131,2176,Master
10,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,897,4,-46,2130,Master
