#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Beta Round 65 (Div. 2),Mar/29/2011 19:00,264,2,5,1505,Specialist
2,Codeforces Beta Round 76 (Div. 2 Only),Jun/30/2011 19:00,446,2,-45,1460,Specialist
3,Codeforces Beta Round 88,Sep/23/2011 19:00,788,0,-39,1421,Specialist
4,Codeforces Beta Round 91 (Div. 2 Only),Oct/27/2011 19:00,938,1,-62,1359,Pupil
5,Codeforces Beta Round 92 (Div. 2 Only),Nov/03/2011 19:10,867,1,-47,1312,Pupil
6,Codeforces Beta Round 97 (Div. 2),Dec/09/2011 19:05,288,3,171,1483,Specialist
7,Codeforces Round 100,Jan/04/2012 19:00,685,1,130,1613,Expert
8,Codeforces Round 103 (Div. 2),Jan/18/2012 19:05,921,1,-77,1536,Specialist
9,Codeforces Round 105 (Div. 2),Feb/02/2012 20:00,1248,0,-76,1460,Specialist
10,Codeforces Round 108 (Div. 2),Feb/20/2012 19:00,101,3,154,1614,Expert
11,Codeforces Round 109 (Div. 2),Feb/24/2012 19:00,365,2,-39,1575,Specialist
12,Codeforces Round 110 (Div. 2),Feb/29/2012 21:30,7,4,127,1702,Expert
13,VK Cup 2012 Round 1,Mar/11/2012 19:05,779,2,-27,1675,Expert
14,Codeforces Round 112 (Div. 2),Mar/16/2012 19:30,343,2,-70,1605,Expert
15,Codeforces Round 113 (Div. 2),Mar/23/2012 19:30,444,2,-68,1537,Specialist
16,VK Cup 2012 Round 2 (Unofficial Div. 2 Edition),Mar/25/2012 19:05,533,1,-97,1440,Specialist
17,Codeforces Round 114 (Div. 2),Mar/27/2012 19:00,193,2,109,1549,Specialist
18,VK Cup 2012 Round 3 (Unofficial Div. 2 Edition),Apr/08/2012 19:05,145,2,-5,1544,Specialist
19,Codeforces Round 121 (Div. 2),May/27/2012 19:30,127,3,69,1613,Expert
20,Codeforces Round 122 (Div. 2),Jun/03/2012 19:30,141,2,34,1647,Expert
21,Codeforces Round 123 (Div. 2),Jun/10/2012 19:30,214,2,-40,1607,Expert
22,Codeforces Round 125 (Div. 2),Jun/22/2012 19:30,685,1,-87,1520,Specialist
23,Codeforces Round 126 (Div. 2),Jun/24/2012 19:30,725,1,-78,1442,Specialist
24,Codeforces Round 130 (Div. 2),Jul/23/2012 19:30,51,3,189,1631,Expert
25,Codeforces Round 131 (Div. 2),Jul/30/2012 19:30,303,2,-45,1586,Specialist
26,Codeforces Round 132 (Div. 2),Aug/06/2012 19:30,62,2,111,1697,Expert
