#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 353 (Div. 2),May/16/2016 19:35,938,2,24,1524,Specialist
2,Codeforces Round 355 (Div. 2),Jun/01/2016 19:35,1033,3,8,1532,Specialist
3,Codeforces Round 359 (Div. 2),Jun/23/2016 19:35,48,4,197,1729,Expert
4,Codeforces Round 360 (Div. 2),Jun/29/2016 20:05,2239,2,-102,1627,Expert
5,Codeforces Round 361 (Div. 2),Jul/06/2016 19:35,185,3,102,1729,Expert
6,Codeforces Round 362 (Div. 2),Jul/14/2016 19:35,927,2,-34,1695,Expert
7,Codeforces Round 363 (Div. 2),Jul/19/2016 16:05,580,3,18,1713,Expert
8,Codeforces Round 364 (Div. 2),Jul/22/2016 19:35,377,3,36,1749,Expert
9,Codeforces Round 366 (Div. 2),Aug/07/2016 17:05,1281,2,-49,1700,Expert
10,Codeforces Round 367 (Div. 2),Aug/11/2016 19:35,488,3,24,1724,Expert
11,Codeforces Round 368 (Div. 2),Aug/20/2016 16:05,2057,2,-62,1662,Expert
12,AIM Tech Round 3 (Div. 2),Aug/24/2016 19:35,158,4,87,1749,Expert
13,Codeforces Round 369 (Div. 2),Aug/29/2016 15:05,281,3,46,1795,Expert
14,Codeforces Round 371 (Div. 2),Sep/13/2016 19:35,302,3,26,1821,Expert
15,Codeforces Round 372 (Div. 2),Sep/17/2016 16:45,31,3,140,1961,Candidate Master
16,"Intel Code Challenge Elimination Round (Div. 1 + Div. 2, combined)",Oct/01/2016 17:05,265,4,69,2030,Candidate Master
17,"Intel Code Challenge Final Round (Div. 1 + Div. 2, Combined)",Oct/08/2016 15:15,632,3,-33,1997,Candidate Master
18,"Codeforces Round 380 (Div. 1, Rated, Based on Technocup 2017 - Elimination Round 2)",Nov/20/2016 12:05,395,0,-93,1904,Candidate Master
19,Codeforces Round 381 (Div. 1),Nov/23/2016 19:35,279,2,33,1937,Candidate Master
20,Codeforces Round 382 (Div. 1),Nov/27/2016 19:35,294,2,21,1958,Candidate Master
21,Codeforces Round 383 (Div. 1),Dec/06/2016 17:35,321,2,-3,1955,Candidate Master
22,Codeforces Round 385 (Div. 1),Dec/17/2016 19:35,513,1,-65,1890,Expert
23,Codeforces Round 388 (Div. 2),Dec/19/2016 19:35,565,3,-46,1844,Expert
24,"Codeforces Round 389 (Div. 2, Rated, Based on Technocup 2017 - Elimination Round 3)",Dec/25/2016 12:05,29,4,107,1951,Candidate Master
25,Good Bye 2016,Dec/30/2016 17:15,885,4,3,1954,Candidate Master
26,"Codecraft-17 and Codeforces Round 391 (Div. 1 + Div. 2, combined)",Jan/12/2017 18:35,421,3,31,1985,Candidate Master
27,8VC Venture Cup 2017 - Elimination Round,Jan/15/2017 20:05,676,3,-20,1965,Candidate Master
28,Codeforces Round 393 (Div. 1) (8VC Venture Cup 2017 - Final Round Div. 1 Edition),Jan/22/2017 21:15,371,2,-87,1878,Expert
29,Codeforces Round 395 (Div. 2),Feb/02/2017 16:35,128,3,45,1923,Candidate Master
30,Codeforces Round 397 by Kaspersky Lab and Barcelona Bootcamp (Div. 1 + Div. 2 combined),Feb/14/2017 11:05,132,5,120,2043,Candidate Master
31,"Divide by Zero 2017 and Codeforces Round 399 (Div. 1 + Div. 2, combined)",Feb/20/2017 19:05,402,4,10,2053,Candidate Master
32,"ICM Technex 2017 and Codeforces Round 400 (Div. 1 + Div. 2, combined)",Feb/23/2017 17:45,197,5,66,2119,Master
33,Codeforces Round 402 (Div. 1),Feb/26/2017 11:05,259,2,-38,2081,Candidate Master
34,"Codeforces Round 403 (Div. 1, based on Technocup 2017 Finals)",Mar/05/2017 16:05,197,3,18,2099,Candidate Master
35,"Codeforces Round 405 (rated, Div. 1, based on VK Cup 2017 Round 1)",Mar/18/2017 18:35,385,1,-90,2009,Candidate Master
36,Codeforces Round 407 (Div. 1),Mar/29/2017 19:05,347,1,-42,1967,Candidate Master
37,"Codeforces Round 409 (rated, Div. 1, based on VK Cup 2017 Round 2)",Apr/16/2017 18:35,167,2,15,1982,Candidate Master
38,Tinkoff Challenge - Elimination Round,Apr/23/2017 19:45,77,4,149,2131,Master
