#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 667 (Div. 3),Sep/04/2020 17:35,5,6,826,826,Newbie
2,Codeforces Round 669 (Div. 2),Sep/08/2020 17:35,518,3,442,1268,Pupil
3,Codeforces Round 673 (Div. 2),Sep/27/2020 18:05,4890,1,104,1372,Pupil
4,"Codeforces Round 681 (Div. 2, based on VK Cup 2019-2020 - Final)",Nov/02/2020 17:35,46,5,327,1699,Expert
5,"Codeforces Round 683 (Div. 2, by Meet IT)",Nov/15/2020 17:35,1120,3,42,1741,Expert
6,Educational Codeforces Round 109 (Rated for Div. 2),May/16/2021 11:00,242,4,129,1870,Expert
7,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,587,3,87,1957,Candidate Master
8,Codeforces Round 823 (Div. 2),Sep/25/2022 17:35,31,4,142,2099,Candidate Master
9,Codeforces Global Round 24,Nov/26/2022 17:05,922,3,-47,2052,Candidate Master
10,Educational Codeforces Round 139 (Rated for Div. 2),Dec/12/2022 17:35,84,4,63,2115,Master
