#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 634 (Div. 3),Apr/13/2020 17:35,3230,4,-1,1499,Specialist
2,Codeforces Round 635 (Div. 2),Apr/15/2020 17:35,2128,3,57,1556,Specialist
3,Codeforces Global Round 9,Jul/04/2020 17:45,8508,1,-110,1446,Specialist
4,Codeforces Round 661 (Div. 3),Aug/05/2020 17:35,780,4,78,1524,Specialist
5,Codeforces Round 662 (Div. 2),Aug/07/2020 17:35,4016,2,-14,1510,Specialist
6,Educational Codeforces Round 108 (Rated for Div. 2),Apr/29/2021 17:35,504,4,134,1644,Expert
7,Educational Codeforces Round 110 (Rated for Div. 2),Jun/04/2021 17:35,190,5,155,1799,Expert
8,Codeforces Round 729 (Div. 2),Jul/03/2021 16:05,127,4,135,1934,Candidate Master
9,Codeforces Round 730 (Div. 2),Jul/07/2021 17:35,105,5,99,2033,Candidate Master
10,Codeforces Round 741 (Div. 2),Aug/26/2021 17:35,677,4,-32,2001,Candidate Master
11,Educational Codeforces Round 114 (Rated for Div. 2),Sep/20/2021 17:35,36,5,140,2141,Master
12,Codeforces Round 773 (Div. 1),Feb/23/2022 13:10,303,3,47,2188,Master
13,"Codeforces Round 775 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/06/2022 12:55,341,3,11,2199,Master
14,Pinely Round 1 (Div. 1 + Div. 2),Nov/20/2022 17:35,269,5,46,2245,Master
15,Codeforces Global Round 24,Nov/26/2022 17:05,320,5,16,2261,Master
