#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 634 (Div. 3),Apr/13/2020 17:35,2108,4,26,1526,Specialist
2,Codeforces Round 636 (Div. 3),Apr/21/2020 17:35,171,4,149,1675,Expert
3,Codeforces Round 641 (Div. 2),May/12/2020 15:35,2079,3,0,1675,Expert
4,Codeforces Round 643 (Div. 2),May/16/2020 14:35,211,5,167,1842,Expert
5,Codeforces Round 645 (Div. 2),May/26/2020 17:35,76,5,162,2004,Candidate Master
6,Educational Codeforces Round 88 (Rated for Div. 2),May/28/2020 17:35,232,5,58,2062,Candidate Master
7,Codeforces Round 648 (Div. 2),Jun/07/2020 17:35,1286,4,-46,2016,Candidate Master
8,Educational Codeforces Round 89 (Rated for Div. 2),Jun/11/2020 17:35,369,4,29,2045,Candidate Master
9,Codeforces Round 649 (Div. 2),Jun/13/2020 18:05,4686,2,-131,1914,Candidate Master
10,Codeforces Global Round 8,Jun/18/2020 17:45,1429,4,15,1929,Candidate Master
11,Codeforces Round 651 (Div. 2),Jun/20/2020 17:35,579,4,27,1956,Candidate Master
12,Codeforces Round 652 (Div. 2),Jun/23/2020 17:05,870,4,-8,1948,Candidate Master
13,Educational Codeforces Round 90 (Rated for Div. 2),Jun/25/2020 17:35,19,6,187,2135,Master
14,Codeforces Global Round 9,Jul/04/2020 17:45,1047,4,-5,2130,Master
15,Codeforces Round 658 (Div. 1),Jul/21/2020 17:35,458,3,23,2153,Master
16,Codeforces Round 659 (Div. 1),Jul/24/2020 17:35,330,2,45,2198,Master
17,Codeforces Round 664 (Div. 1),Aug/12/2020 17:35,897,0,-111,2087,Candidate Master
18,Educational Codeforces Round 93 (Rated for Div. 2),Aug/14/2020 17:35,89,5,76,2163,Master
19,Codeforces Round 666 (Div. 1),Aug/30/2020 17:35,1128,1,-92,2071,Candidate Master
20,Codeforces Round 669 (Div. 2),Sep/08/2020 17:35,263,4,33,2104,Master
21,Grakn Forces 2020,Sep/30/2020 17:35,1304,3,-45,2059,Candidate Master
22,Codeforces Global Round 11,Oct/10/2020 17:50,822,3,13,2072,Candidate Master
23,Educational Codeforces Round 96 (Rated for Div. 2),Oct/11/2020 12:05,250,5,6,2078,Candidate Master
24,Codeforces Round 678 (Div. 2),Oct/24/2020 17:05,18,5,136,2214,Master
25,"Codeforces Round 681 (Div. 1, based on VK Cup 2019-2020 - Final)",Nov/02/2020 17:35,239,3,38,2252,Master
26,"Codeforces Round 683 (Div. 1, by Meet IT)",Nov/15/2020 17:35,776,2,-99,2153,Master
27,Codeforces Round 684 (Div. 1),Nov/17/2020 17:35,686,2,-59,2094,Candidate Master
28,Educational Codeforces Round 98 (Rated for Div. 2),Nov/19/2020 17:35,56,5,82,2176,Master
29,Codeforces Global Round 12,Dec/06/2020 17:35,70,7,172,2348,International Master
30,Good Bye 2020,Dec/30/2020 17:35,1020,6,-61,2287,Master
31,Codeforces Round 694 (Div. 1),Jan/05/2021 17:35,336,3,-5,2282,Master
32,Codeforces Round 698 (Div. 1),Jan/28/2021 17:35,384,2,-29,2253,Master
33,Codeforces Round 700 (Div. 1),Feb/07/2021 17:35,481,3,-15,2238,Master
34,Codeforces Global Round 13,Feb/28/2021 16:35,1585,3,-84,2154,Master
35,Codeforces Round 706 (Div. 1),Mar/10/2021 15:05,502,2,6,2160,Master
36,Codeforces Round 712 (Div. 1),Apr/03/2021 17:35,294,3,48,2208,Master
37,Codeforces Round 715 (Div. 1),Apr/16/2021 17:35,165,3,75,2283,Master
38,Contest 2050 and Codeforces Round 718 (Div. 1 + Div. 2),Apr/23/2021 17:35,1859,3,-118,2165,Master
39,Codeforces Global Round 14,May/02/2021 17:35,301,5,68,2233,Master
40,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,222,4,73,2306,International Master
41,Codeforces Round 728 (Div. 1),Jun/25/2021 18:35,191,2,24,2330,International Master
42,"Codeforces Round 733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))",Jul/17/2021 17:35,91,6,96,2426,Grandmaster
43,Codeforces Global Round 15,Jul/25/2021 17:35,520,5,-45,2381,International Master
44,Codeforces Round 736 (Div. 1),Aug/01/2021 17:35,112,4,82,2463,Grandmaster
45,"Codeforces Round 740 (Div. 1, based on VK Cup 2021 - Final (Engine))",Aug/24/2021 17:35,400,3,-62,2401,Grandmaster
46,"Deltix Round, Summer 2021 (open for everyone, rated, Div. 1 + Div. 2)",Aug/29/2021 17:35,369,5,-11,2390,International Master
47,Codeforces Global Round 16,Sep/12/2021 17:35,812,6,-74,2316,International Master
48,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,546,5,-37,2279,Master
49,Codeforces Round 752 (Div. 1),Oct/30/2021 17:35,562,2,-45,2234,Master
50,"Codeforces Round 755 (Div. 1, based on Technocup 2022 Elimination Round 2)",Nov/14/2021 09:05,195,3,30,2264,Master
51,Codeforces Global Round 17,Nov/23/2021 17:35,213,5,54,2318,International Master
52,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Nov/28/2021 17:35,100,5,106,2424,Grandmaster
53,Codeforces Global Round 18,Dec/24/2021 17:35,276,5,0,2424,Grandmaster
54,Good Bye 2021: 2022 is NEAR,Dec/29/2021 18:35,327,5,1,2425,Grandmaster
55,Hello 2022,Jan/03/2022 17:35,663,4,-61,2364,International Master
56,Codeforces Round 767 (Div. 1),Jan/22/2022 17:35,284,4,-1,2363,International Master
57,Codeforces Global Round 19,Feb/12/2022 17:35,333,5,5,2368,International Master
58,Codeforces Round 773 (Div. 1),Feb/23/2022 13:10,234,3,10,2378,International Master
59,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,169,5,44,2422,Grandmaster
60,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,75,6,108,2530,Grandmaster
61,Codeforces Round 783 (Div. 1),Apr/19/2022 17:35,150,3,6,2536,Grandmaster
62,Codeforces Global Round 20,Apr/23/2022 17:05,129,7,40,2576,Grandmaster
63,Codeforces Round 789 (Div. 1),May/08/2022 17:35,227,3,-47,2529,Grandmaster
64,Codeforces Round 796 (Div. 1),Jun/03/2022 17:35,496,2,-117,2412,Grandmaster
65,Codeforces Round 800 (Div. 1),Jun/16/2022 17:35,218,3,0,2412,Grandmaster
66,Codeforces Global Round 21,Jun/25/2022 17:35,138,6,65,2477,Grandmaster
67,Codeforces Round 808 (Div. 1),Jul/16/2022 17:35,264,2,-34,2443,Grandmaster
68,Codeforces Round 814 (Div. 1),Aug/16/2022 17:35,414,3,-68,2375,International Master
69,Dytechlab Cup 2022,Oct/07/2022 17:35,204,5,29,2404,Grandmaster
70,Codeforces Global Round 23,Oct/15/2022 17:35,213,5,37,2441,Grandmaster
71,Codeforces Round 831 (Div. 1 + Div. 2),Oct/29/2022 12:10,354,5,-57,2384,International Master
72,Codeforces Global Round 24,Nov/26/2022 17:05,208,5,17,2401,Grandmaster
73,"Polynomial Round 2022 (Div. 1 + Div. 2, Rated, Prizes!)",Dec/17/2022 17:35,358,6,-22,2379,International Master
74,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,51,6,161,2540,Grandmaster
75,Hello 2023,Jan/03/2023 17:35,116,6,48,2588,Grandmaster
76,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,71,6,51,2639,International Grandmaster
77,Codeforces Round 854 by cybercats (Div. 1 + Div. 2),Feb/27/2023 17:35,151,6,-19,2620,International Grandmaster
