#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 614 (Div. 2),Jan/19/2020 16:35,6412,1,-107,1393,Pupil
2,Codeforces Round 620 (Div. 2),Feb/15/2020 16:05,6347,1,-72,1321,Pupil
3,Codeforces Round 622 (Div. 2),Feb/23/2020 12:05,3151,1,9,1330,Pupil
4,"Codeforces Round 625 (Div. 2, based on Technocup 2020 Final Round)",Mar/01/2020 16:15,3844,1,-41,1289,Pupil
5,Codeforces Round 695 (Div. 2),Jan/08/2021 17:35,9244,1,-59,1230,Pupil
6,Codeforces Round 702 (Div. 3),Feb/16/2021 17:35,1233,5,100,1330,Pupil
7,Codeforces Round 704 (Div. 2),Feb/23/2021 12:05,1040,3,133,1463,Specialist
8,Codeforces Round 727 (Div. 2),Jun/20/2021 13:05,506,4,136,1599,Specialist
9,Codeforces Round 745 (Div. 2),Sep/30/2021 13:15,249,3,110,1709,Expert
10,Educational Codeforces Round 115 (Rated for Div. 2),Oct/10/2021 12:05,45,6,197,1906,Candidate Master
11,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,672,4,47,1953,Candidate Master
12,Codeforces Round 750 (Div. 2),Oct/24/2021 13:05,517,5,-11,1942,Candidate Master
13,Codeforces Round 751 (Div. 1),Oct/25/2021 09:35,126,3,167,2109,Master
14,"Codeforces Round 755 (Div. 1, based on Technocup 2022 Elimination Round 2)",Nov/14/2021 09:05,132,3,106,2215,Master
15,Codeforces Round 773 (Div. 1),Feb/23/2022 13:10,402,2,-4,2211,Master
16,"Codeforces Round 775 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/06/2022 12:55,310,3,15,2226,Master
17,Codeforces Round 814 (Div. 1),Aug/16/2022 17:35,441,3,-25,2201,Master
18,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,617,4,-47,2154,Master
