#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 54 (Rated for Div. 2),Nov/12/2018 17:35,1301,3,11,1511,Specialist
2,Codeforces Round 524 (Div. 2),Nov/24/2018 10:35,1272,3,4,1515,Specialist
3,Mail.Ru Cup 2018 Round 3,Nov/25/2018 19:35,1088,3,27,1542,Specialist
4,Educational Codeforces Round 55 (Rated for Div. 2),Nov/28/2018 17:35,875,3,47,1589,Specialist
5,Codeforces Round 525 (Div. 2),Dec/04/2018 17:35,941,3,28,1617,Expert
6,Educational Codeforces Round 56 (Rated for Div. 2),Dec/15/2018 17:35,940,4,14,1631,Expert
7,Avito Cool Challenge 2018,Dec/16/2018 17:35,1187,3,3,1634,Expert
8,Codeforces Round 541 (Div. 2),Feb/23/2019 13:20,1423,3,-9,1625,Expert
9,Codeforces Round 542 [Alex Lopashev Thanks-Round] (Div. 2),Feb/24/2019 18:35,1932,2,-58,1567,Specialist
10,Educational Codeforces Round 61 (Rated for Div. 2),Mar/05/2019 18:05,414,3,95,1662,Expert
11,Codeforces Round 546 (Div. 2),Mar/11/2019 19:35,539,3,43,1705,Expert
12,Educational Codeforces Round 62 (Rated for Div. 2),Mar/22/2019 18:05,310,4,77,1782,Expert
13,Codeforces Round 556 (Div. 2),Apr/29/2019 17:35,644,3,-4,1778,Expert
14,Codeforces Global Round 3,Jun/01/2019 17:35,615,4,63,1841,Expert
15,Codeforces Round 563 (Div. 2),Jun/03/2019 17:05,806,3,-18,1823,Expert
16,Educational Codeforces Round 66 (Rated for Div. 2),Jun/05/2019 17:35,546,3,18,1841,Expert
17,Codeforces Round 569 (Div. 2),Jun/21/2019 20:05,80,4,77,1918,Candidate Master
18,Codeforces Round 572 (Div. 1),Jul/05/2019 18:05,413,1,-23,1895,Expert
19,Codeforces Round 574 (Div. 2),Jul/17/2019 17:35,1192,5,-46,1849,Expert
20,Codeforces Global Round 4,Jul/20/2019 18:35,1170,4,-14,1835,Expert
21,Codeforces Round 580 (Div. 2),Aug/18/2019 16:45,472,3,15,1850,Expert
22,Codeforces Round 581 (Div. 2),Aug/20/2019 17:35,90,5,131,1981,Candidate Master
23,"Codeforces Round 583 (Div. 1 + Div. 2, based on Olympiad of Metropolises)",Sep/04/2019 12:05,1224,3,-70,1911,Candidate Master
24,Codeforces Round 592 (Div. 2),Oct/13/2019 12:05,427,4,11,1922,Candidate Master
25,Codeforces Round 622 (Div. 2),Feb/23/2020 12:05,105,4,100,2022,Candidate Master
26,Educational Codeforces Round 126 (Rated for Div. 2),Apr/09/2022 17:35,3509,2,-148,1874,Expert
27,Codeforces Round 783 (Div. 2),Apr/19/2022 17:35,267,3,26,1900,Candidate Master
28,Codeforces Round 785 (Div. 2),Apr/30/2022 17:35,286,4,41,1941,Candidate Master
29,Codeforces Round 788 (Div. 2),May/06/2022 17:35,99,5,81,2022,Candidate Master
30,Codeforces Round 789 (Div. 1),May/08/2022 17:35,627,3,-35,1987,Candidate Master
31,Educational Codeforces Round 128 (Rated for Div. 2),May/13/2022 17:35,1180,3,-65,1922,Candidate Master
32,Codeforces Round 791 (Div. 2),May/14/2022 12:35,405,4,8,1930,Candidate Master
33,Codeforces Round 792 (Div. 1 + Div. 2),May/19/2022 17:35,422,5,85,2015,Candidate Master
34,Codeforces Round 793 (Div. 2),May/22/2022 17:35,207,4,30,2045,Candidate Master
35,Codeforces Round 794 (Div. 1),May/25/2022 20:35,158,2,98,2143,Master
36,Codeforces Global Round 21,Jun/25/2022 17:35,769,5,-10,2133,Master
37,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,1117,4,-39,2094,Candidate Master
38,Educational Codeforces Round 133 (Rated for Div. 2),Aug/04/2022 17:35,120,4,49,2143,Master
39,Dytechlab Cup 2022,Oct/07/2022 17:35,694,3,-20,2123,Master
40,Codeforces Global Round 23,Oct/15/2022 17:35,1736,3,-85,2038,Candidate Master
41,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,208,5,122,2160,Master
42,Codeforces Round 830 (Div. 2),Oct/23/2022 13:05,139,5,7,2167,Master
43,Codeforces Round 831 (Div. 1 + Div. 2),Oct/29/2022 12:10,731,5,-52,2115,Master
44,Hello 2023,Jan/03/2023 17:35,445,5,53,2168,Master
45,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,712,4,-24,2144,Master
