#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 651 (Div. 2),Jun/20/2020 17:35,4618,3,514,514,Newbie
2,Codeforces Round 652 (Div. 2),Jun/23/2020 17:05,579,4,529,1043,Newbie
3,Codeforces Round 654 (Div. 2),Jul/01/2020 16:35,1246,4,316,1359,Pupil
4,Codeforces Round 665 (Div. 2),Aug/21/2020 17:35,437,4,266,1625,Expert
5,Educational Codeforces Round 94 (Rated for Div. 2),Aug/25/2020 17:35,5349,1,-1,1624,Expert
6,"Codeforces Round 689 (Div. 2, based on Zed Code Competition)",Dec/11/2020 17:35,2169,3,15,1639,Expert
7,Educational Codeforces Round 100 (Rated for Div. 2),Dec/17/2020 17:35,213,4,157,1796,Expert
8,Educational Codeforces Round 103 (Rated for Div. 2),Jan/29/2021 17:35,383,4,81,1877,Expert
9,Codeforces Round 699 (Div. 2),Feb/05/2021 17:35,855,3,2,1879,Expert
10,Codeforces Round 700 (Div. 2),Feb/07/2021 17:35,40,4,145,2024,Candidate Master
11,Educational Codeforces Round 112 (Rated for Div. 2),Jul/30/2021 17:35,519,4,-9,2015,Candidate Master
12,Codeforces Round 736 (Div. 1),Aug/01/2021 17:35,903,2,-58,1957,Candidate Master
13,Codeforces Round 747 (Div. 2),Oct/08/2021 18:05,232,5,35,1992,Candidate Master
14,Educational Codeforces Round 131 (Rated for Div. 2),Jul/08/2022 17:35,17,5,166,2158,Master
15,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,431,4,23,2181,Master
16,Codeforces Round 854 by cybercats (Div. 1 + Div. 2),Feb/27/2023 17:35,660,5,-32,2149,Master
