#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 701 (Div. 2),Feb/12/2021 17:50,990,3,629,629,Newbie
2,Codeforces Round 703 (Div. 2),Feb/18/2021 17:35,1304,3,424,1053,Newbie
3,Codeforces Round 704 (Div. 2),Feb/23/2021 12:05,1410,3,276,1329,Pupil
4,Codeforces Round 705 (Div. 2),Mar/06/2021 17:05,1092,2,188,1517,Specialist
5,Codeforces Round 706 (Div. 2),Mar/10/2021 15:05,1045,3,115,1632,Expert
6,"Codeforces Round 707 (Div. 2, based on Moscow Open Olympiad in Informatics)",Mar/13/2021 12:05,990,3,53,1685,Expert
7,Codeforces Round 712 (Div. 2),Apr/03/2021 17:35,350,4,79,1764,Expert
8,Codeforces Round 715 (Div. 2),Apr/16/2021 17:35,793,3,8,1772,Expert
9,Contest 2050 and Codeforces Round 718 (Div. 1 + Div. 2),Apr/23/2021 17:35,3067,3,-53,1719,Expert
10,Educational Codeforces Round 109 (Rated for Div. 2),May/16/2021 11:00,1381,2,-15,1704,Expert
11,Codeforces Round 723 (Div. 2),May/28/2021 17:05,780,4,50,1754,Expert
12,Educational Codeforces Round 110 (Rated for Div. 2),Jun/04/2021 17:35,623,4,49,1803,Expert
13,Codeforces Round 726 (Div. 2),Jun/18/2021 17:35,4754,3,-96,1707,Expert
14,Codeforces Round 727 (Div. 2),Jun/20/2021 13:05,718,4,39,1746,Expert
15,Codeforces Round 729 (Div. 2),Jul/03/2021 16:05,3086,2,-60,1686,Expert
16,Codeforces Round 730 (Div. 2),Jul/07/2021 17:35,756,4,56,1742,Expert
17,Codeforces Global Round 15,Jul/25/2021 17:35,1473,3,31,1773,Expert
18,Codeforces Round 735 (Div. 2),Jul/29/2021 17:35,84,4,164,1937,Candidate Master
19,Codeforces Round 736 (Div. 1),Aug/01/2021 17:35,420,3,92,2029,Candidate Master
20,"Codeforces Round 740 (Div. 1, based on VK Cup 2021 - Final (Engine))",Aug/24/2021 17:35,849,1,-77,1952,Candidate Master
21,Codeforces Round 741 (Div. 2),Aug/26/2021 17:35,232,4,50,2002,Candidate Master
22,"Codeforces Round 755 (Div. 1, based on Technocup 2022 Elimination Round 2)",Nov/14/2021 09:05,336,2,33,2035,Candidate Master
23,Codeforces Round 767 (Div. 1),Jan/22/2022 17:35,837,2,-65,1970,Candidate Master
24,Codeforces Round 773 (Div. 1),Feb/23/2022 13:10,853,1,-74,1896,Expert
25,"Codeforces Round 775 (Div. 2, based on Moscow Open Olympiad in Informatics)",Mar/06/2022 12:55,11,5,172,2068,Candidate Master
26,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,3737,2,-175,1893,Expert
27,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,802,4,51,1944,Candidate Master
28,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,858,4,33,1977,Candidate Master
29,Educational Codeforces Round 133 (Rated for Div. 2),Aug/04/2022 17:35,167,4,66,2043,Candidate Master
30,Codeforces Round 812 (Div. 2),Aug/06/2022 17:35,1247,3,-70,1973,Candidate Master
31,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,409,4,69,2042,Candidate Master
32,Codeforces Round 831 (Div. 1 + Div. 2),Oct/29/2022 12:10,224,5,81,2123,Master
33,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,624,4,-1,2122,Master
34,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,1074,4,-54,2068,Candidate Master
35,Codeforces Round 852 (Div. 2),Feb/12/2023 11:35,68,5,77,2145,Master
